step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
120,PAYMENT,9999.57,C1318765963,6019.0,0.0,M1887010983,0.0,0.0
120,PAYMENT,6113.01,C528744544,1657.0,0.0,M1724578002,0.0,0.0
120,PAYMENT,4742.07,C2128928541,52.0,0.0,M1118045406,0.0,0.0
120,PAYMENT,5521.21,C2099026922,0.0,0.0,M1277288691,0.0,0.0
120,PAYMENT,3439.05,C350605917,4522.0,1082.95,M1988470507,0.0,0.0
120,PAYMENT,12634.77,C1868541978,1082.95,0.0,M750449530,0.0,0.0
120,PAYMENT,24986.59,C385334154,0.0,0.0,M1302263105,0.0,0.0
120,PAYMENT,4931.39,C1599296392,1020.0,0.0,M612977211,0.0,0.0
120,PAYMENT,4500.11,C252284619,6833.0,2332.89,M889673366,0.0,0.0
120,PAYMENT,15470.96,C1888328877,2332.89,0.0,M507234325,0.0,0.0
120,PAYMENT,25446.8,C1569157839,0.0,0.0,M1387998223,0.0,0.0
120,PAYMENT,812.08,C1313843713,11063.0,10250.92,M242530493,0.0,0.0
120,TRANSFER,173975.18,C1745068726,64853.0,0.0,C1615491488,0.0,173975.18
120,PAYMENT,16720.54,C1674780909,99964.0,83243.46,M1358926132,0.0,0.0
120,PAYMENT,2385.86,C2078636742,30445.0,28059.14,M243687710,0.0,0.0
120,PAYMENT,5206.63,C1957227627,103432.0,98225.37,M1483908603,0.0,0.0
120,PAYMENT,1517.92,C143771513,279.0,0.0,M899865060,0.0,0.0
120,CASH_IN,40470.23,C106606735,681937.0,722407.23,C562177414,0.0,0.0
120,PAYMENT,968.08,C1263173826,222849.0,221880.92,M1298545885,0.0,0.0
120,PAYMENT,2572.0,C1856545132,244.0,0.0,M1025878782,0.0,0.0
120,PAYMENT,14655.68,C586572040,239450.0,224794.32,M1577726303,0.0,0.0
120,PAYMENT,11951.89,C1963087923,21856.0,9904.11,M1709207095,0.0,0.0
120,PAYMENT,3426.79,C1955577250,8047.0,4620.21,M2063657637,0.0,0.0
120,DEBIT,2631.76,C472184374,9932.0,7300.24,C1407589372,450584.45,453216.21
120,PAYMENT,8295.6,C2060694099,19290.0,10994.4,M1933079046,0.0,0.0
120,CASH_OUT,484207.04,C261225222,10994.4,0.0,C216620307,2552842.99,3037050.03
120,PAYMENT,17500.2,C876554628,1314.0,0.0,M1402553466,0.0,0.0
120,TRANSFER,805515.82,C1661056077,10850.0,0.0,C1914650190,351369.51,1156885.32
120,CASH_OUT,203506.95,C1674062560,26673.0,0.0,C1451098268,423428.35,626935.3
120,CASH_OUT,10592.51,C779508756,5198.0,0.0,C1434179268,268063.49,278656.0
120,DEBIT,971.49,C936732468,41882.0,40910.51,C809883352,2417371.59,2418343.08
120,CASH_IN,64661.44,C1503137375,126663.0,191324.44,C631984197,0.0,0.0
120,PAYMENT,10074.01,C2066067622,70832.0,60757.99,M1739576618,0.0,0.0
120,DEBIT,10371.14,C2069885484,9435.0,0.0,C1708235022,108128.83,118499.97
120,CASH_OUT,387585.85,C1647108590,0.0,0.0,C704570472,2382769.02,2770354.87
120,CASH_OUT,83676.12,C886758797,0.0,0.0,C753156597,849056.32,932732.44
120,CASH_OUT,37131.47,C767903929,0.0,0.0,C399742266,87989.59,125121.06
120,PAYMENT,5462.65,C697237951,100960.0,95497.35,M740931313,0.0,0.0
