step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
19,CASH_OUT,98858.4,C1958895751,646.0,0.0,C1074822163,850169.49,949027.89
19,CASH_IN,221309.75,C1923061167,100398.0,321707.75,C26253754,94581.42,164281.79
19,PAYMENT,1154.55,C1223072336,321707.75,320553.2,M1972185551,0.0,0.0
19,CASH_OUT,49210.97,C304920993,302402.0,253191.03,C986267724,80967.0,264716.94
19,CASH_OUT,229374.31,C470836390,146129.0,0.0,C231037736,2633740.03,2867968.75
19,PAYMENT,12250.52,C1616398702,0.0,0.0,M2089277435,0.0,0.0
19,PAYMENT,5190.06,C185698427,0.0,0.0,M347859179,0.0,0.0
19,CASH_OUT,212852.23,C906678315,30571.0,0.0,C2049999068,544882.36,757734.59
19,CASH_IN,193153.89,C1953554718,173954.0,367107.89,C1494057160,2159.41,0.0
19,CASH_IN,56023.18,C1940254139,76299.0,132322.18,C735386120,61845.0,0.0
19,CASH_IN,218618.78,C940752788,31301.0,249919.78,C878237058,376236.21,157617.43
19,PAYMENT,7204.2,C1492757301,249919.78,242715.58,M728946981,0.0,0.0
19,CASH_IN,163560.27,C2003182021,769520.0,933080.27,C851074936,22857.98,0.0
19,CASH_IN,26877.75,C1520815778,15207.0,42084.75,C2082035934,52460.32,25582.58
19,CASH_OUT,125006.03,C1326479040,29547.0,0.0,C641453100,0.0,125006.03
19,PAYMENT,3427.05,C1914054134,0.0,0.0,M884492920,0.0,0.0
19,CASH_OUT,166899.83,C1083986579,835.0,0.0,C1844339784,0.0,368187.94
19,CASH_OUT,256854.78,C209095222,13917.0,0.0,C664410902,85307.02,560908.48
19,PAYMENT,6241.39,C1334585307,15811.0,9569.61,M957439960,0.0,0.0
19,PAYMENT,3881.89,C465275555,9569.61,5687.72,M589599960,0.0,0.0
19,CASH_IN,194245.08,C221826456,16048.0,210293.08,C83581040,30963.0,0.0
19,PAYMENT,6487.94,C1055177848,39846.0,33358.06,M2043529109,0.0,0.0
19,PAYMENT,20962.52,C2127040032,82967.0,62004.48,M894916716,0.0,0.0
19,CASH_OUT,287005.8,C776680898,5063.0,0.0,C1248474758,102335.41,389341.21
19,PAYMENT,4265.4,C959299313,0.0,0.0,M128585466,0.0,0.0
19,PAYMENT,19187.57,C137470555,40987.0,21799.43,M2133025722,0.0,0.0
19,CASH_OUT,186318.38,C732795033,391036.0,204717.62,C2002974116,36238.79,367500.02
19,PAYMENT,19861.28,C2082965192,1817.0,0.0,M2038546541,0.0,0.0
19,CASH_IN,284048.15,C492520020,11886.0,295934.15,C1712200566,713761.19,429713.04
19,CASH_OUT,4966.95,C1521819710,9406.0,4439.05,C1265104414,369449.61,374416.55
19,CASH_OUT,205486.55,C442825830,12418.0,0.0,C157416114,0.0,205486.55
19,CASH_IN,81551.27,C1838269935,39963.0,121514.27,C1752786518,193703.64,112152.36
19,PAYMENT,5475.9,C715092971,1011.0,0.0,M1507328598,0.0,0.0
19,CASH_OUT,232323.61,C1692549831,24156.0,0.0,C1504178159,0.0,232323.61
19,PAYMENT,10075.36,C121593097,0.0,0.0,M1450075694,0.0,0.0
19,PAYMENT,12652.46,C1329398791,242844.08,230191.63,M960463709,0.0,0.0
19,CASH_OUT,129932.9,C1150637670,230191.63,100258.73,C1537132085,602515.54,777915.6
19,CASH_OUT,322285.88,C1634666444,100258.73,0.0,C1392189910,1398090.43,1549815.45
19,CASH_OUT,346748.93,C1188375258,32497.0,0.0,C1498370888,11455.0,358203.93
19,PAYMENT,8771.64,C62225462,704895.56,696123.93,M1845308480,0.0,0.0
19,PAYMENT,16997.65,C1958020948,696123.93,679126.28,M458842338,0.0,0.0
19,CASH_IN,178916.76,C858123123,0.0,178916.76,C235046645,55871.85,0.0
19,PAYMENT,5311.82,C935218811,178916.76,173604.94,M1802334335,0.0,0.0
19,PAYMENT,2450.73,C996361088,173604.94,171154.21,M662788588,0.0,0.0
19,PAYMENT,6506.44,C1644758769,171154.21,164647.76,M1650945095,0.0,0.0
19,PAYMENT,4504.72,C1136217288,164647.76,160143.04,M1859793770,0.0,0.0
19,PAYMENT,11671.96,C1154387662,160143.04,148471.08,M487774020,0.0,0.0
19,PAYMENT,14721.08,C340006690,148471.08,133750.0,M733624227,0.0,0.0
19,PAYMENT,10632.61,C456287460,133750.0,123117.39,M277948465,0.0,0.0
19,PAYMENT,6548.2,C609796102,123117.39,116569.2,M1579547649,0.0,0.0
19,PAYMENT,4703.82,C1446557285,116569.2,111865.38,M1341250611,0.0,0.0
19,PAYMENT,15307.36,C768306491,111865.38,96558.02,M1560234359,0.0,0.0
19,PAYMENT,11088.95,C1332172563,96558.02,85469.07,M238422664,0.0,0.0
19,PAYMENT,6375.44,C2019695808,85469.07,79093.63,M1584416330,0.0,0.0
19,PAYMENT,8771.09,C735731032,79093.63,70322.54,M352743649,0.0,0.0
19,PAYMENT,24647.16,C2104162973,70322.54,45675.38,M569680236,0.0,0.0
19,PAYMENT,12867.35,C1480398999,45675.38,32808.03,M2115693065,0.0,0.0
19,PAYMENT,766.52,C1418615109,32808.03,32041.51,M1349877113,0.0,0.0
19,PAYMENT,1131.35,C1614560832,32041.51,30910.16,M1231018732,0.0,0.0
19,PAYMENT,5314.61,C1874716403,30910.16,25595.55,M341364936,0.0,0.0
19,PAYMENT,6518.9,C353841725,25595.55,19076.64,M573047497,0.0,0.0
19,PAYMENT,16976.77,C581100033,19076.64,2099.87,M1882109965,0.0,0.0
19,PAYMENT,10855.12,C1543830255,2099.87,0.0,M1054377452,0.0,0.0
19,PAYMENT,503.66,C199215836,0.0,0.0,M246740346,0.0,0.0
19,CASH_OUT,88448.21,C1964815809,11218.0,0.0,C391928583,54698.37,273673.35
19,CASH_OUT,50812.07,C261208427,26342.0,0.0,C253075900,0.0,50812.07
19,CASH_OUT,434700.71,C2062355311,60696.0,0.0,C81366651,0.0,434700.71
19,PAYMENT,162.88,C1406877293,0.0,0.0,M1132018538,0.0,0.0
19,CASH_OUT,18972.31,C1092716687,445.0,0.0,C775139503,1176681.03,1195653.34
19,CASH_IN,44337.94,C1401243063,0.0,44337.94,C1919307764,106232.0,61894.07
19,CASH_OUT,37725.68,C1495740924,44337.94,6612.26,C540437331,67872.64,105598.31
19,CASH_OUT,193517.34,C1393550297,6612.26,0.0,C1710012091,356836.72,550354.06
19,CASH_OUT,149227.25,C505904327,0.0,0.0,C841073161,945846.55,1095073.8
19,CASH_OUT,83133.1,C1744185929,0.0,0.0,C2012407230,438764.08,521897.17
19,CASH_OUT,195429.45,C129916826,0.0,0.0,C1018629838,276303.87,471733.32
19,CASH_OUT,127834.8,C730035615,0.0,0.0,C107107022,459318.95,587153.75
19,CASH_OUT,422370.37,C241689964,0.0,0.0,C1223678140,713902.39,1136272.76
19,CASH_OUT,164676.66,C1477784203,0.0,0.0,C253426832,1039036.09,1203712.75
19,CASH_OUT,400289.01,C757265564,0.0,0.0,C1565885193,445466.83,845755.84
19,CASH_OUT,277544.81,C498946858,0.0,0.0,C627357682,866434.2,1143979.01
19,CASH_OUT,13731.82,C742426996,0.0,0.0,C977895157,1535840.36,1549572.18
19,CASH_OUT,732661.2,C1563453213,0.0,0.0,C892931653,8287811.4,9020472.6
