step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
127,TRANSFER,426532.4,C1729870002,426532.4,0.0,C1917348003,0.0,0.0
127,CASH_OUT,426532.4,C326519862,426532.4,0.0,C1092771337,94613.13,521145.53
127,TRANSFER,829012.31,C146118630,829012.31,0.0,C793816402,0.0,0.0
127,CASH_OUT,829012.31,C954045856,829012.31,0.0,C1422327407,0.0,829012.31
127,TRANSFER,1848199.45,C37315617,1848199.45,0.0,C115063912,0.0,0.0
127,CASH_OUT,1848199.45,C588222380,1848199.45,0.0,C1789882794,1668360.97,3516560.42
127,TRANSFER,6910926.92,C119613068,6910926.92,0.0,C947645496,0.0,0.0
127,CASH_OUT,6910926.92,C1401275229,6910926.92,0.0,C50368712,2645322.19,9556249.11
127,TRANSFER,6339.42,C441757024,6339.42,0.0,C1633571527,0.0,0.0
127,CASH_OUT,6339.42,C1165570921,6339.42,0.0,C1106863643,342469.02,348808.44
127,TRANSFER,701707.89,C1264740364,701707.89,0.0,C1367862566,0.0,0.0
127,CASH_OUT,701707.89,C906024214,701707.89,0.0,C322369737,3010281.05,3711988.94
127,TRANSFER,321883.89,C159404315,321883.89,0.0,C1578451350,0.0,0.0
127,CASH_OUT,321883.89,C99535161,321883.89,0.0,C1399433313,52392.86,374276.75
