step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
48,CASH_OUT,84303.43,C1717798159,52175.0,0.0,C1091945064,536791.85,621095.29
48,PAYMENT,2439.83,C1993091826,51891.0,49451.17,M64732567,0.0,0.0
48,PAYMENT,11751.57,C229535882,49451.17,37699.6,M1998571469,0.0,0.0
48,PAYMENT,15913.42,C1611921510,37699.6,21786.18,M1048233718,0.0,0.0
48,PAYMENT,21431.88,C1076808595,21786.18,354.3,M1225149940,0.0,0.0
48,PAYMENT,1374.83,C908680314,354.3,0.0,M1586262335,0.0,0.0
48,PAYMENT,14078.06,C1757961006,0.0,0.0,M333107758,0.0,0.0
48,PAYMENT,22999.35,C1877776035,0.0,0.0,M1389627368,0.0,0.0
48,PAYMENT,6608.74,C2028939191,0.0,0.0,M1029820710,0.0,0.0
48,PAYMENT,23891.23,C917701031,0.0,0.0,M1143651294,0.0,0.0
48,PAYMENT,721.9,C1165618803,0.0,0.0,M1990389531,0.0,0.0
48,PAYMENT,9008.16,C1479698001,0.0,0.0,M1230492354,0.0,0.0
48,PAYMENT,7306.61,C1138210797,0.0,0.0,M577524411,0.0,0.0
48,PAYMENT,26194.76,C1772599369,0.0,0.0,M504473213,0.0,0.0
48,PAYMENT,8539.33,C1619460749,0.0,0.0,M540966316,0.0,0.0
48,PAYMENT,22216.27,C1955589138,0.0,0.0,M1740545712,0.0,0.0
48,PAYMENT,591.48,C1064663968,0.0,0.0,M1819648767,0.0,0.0
48,PAYMENT,16217.13,C1729182751,0.0,0.0,M1950971219,0.0,0.0
48,PAYMENT,3575.63,C1626716161,0.0,0.0,M559324346,0.0,0.0
48,PAYMENT,1832.16,C1338617163,0.0,0.0,M1888856588,0.0,0.0
48,PAYMENT,5313.48,C1038954927,0.0,0.0,M684448228,0.0,0.0
48,PAYMENT,5349.96,C711625283,0.0,0.0,M2012381384,0.0,0.0
48,PAYMENT,1770.86,C591833040,0.0,0.0,M1429491365,0.0,0.0
48,PAYMENT,27549.97,C728956626,0.0,0.0,M1214635956,0.0,0.0
48,PAYMENT,7408.68,C1586202959,0.0,0.0,M700298589,0.0,0.0
48,PAYMENT,8812.65,C352668374,0.0,0.0,M1945878461,0.0,0.0
48,PAYMENT,4429.32,C1907921276,0.0,0.0,M904648011,0.0,0.0
48,PAYMENT,14564.0,C168262362,0.0,0.0,M607074928,0.0,0.0
48,PAYMENT,6969.89,C296316152,0.0,0.0,M2055447051,0.0,0.0
48,PAYMENT,17964.34,C1273222699,0.0,0.0,M381847965,0.0,0.0
48,PAYMENT,8015.49,C1280764177,0.0,0.0,M732072298,0.0,0.0
48,PAYMENT,2370.22,C2116374715,0.0,0.0,M2091491459,0.0,0.0
48,PAYMENT,11096.18,C122470502,0.0,0.0,M949678140,0.0,0.0
48,CASH_OUT,166321.58,C1827594012,21486.0,0.0,C722811102,865008.49,1031330.06
48,TRANSFER,289288.85,C1576196026,11634.0,0.0,C378918036,0.0,289288.85
48,PAYMENT,13674.89,C1021076370,901.0,0.0,M1395158821,0.0,0.0
48,PAYMENT,5475.74,C1235508323,20511.0,15035.26,M35659242,0.0,0.0
48,PAYMENT,2474.04,C1564425935,15035.26,12561.22,M1308500746,0.0,0.0
48,PAYMENT,10559.04,C651311506,31355.0,20795.96,M614445039,0.0,0.0
48,CASH_OUT,86772.73,C15869173,8820.0,0.0,C849308053,0.0,86772.73
48,PAYMENT,7422.68,C1009295762,0.0,0.0,M184615212,0.0,0.0
48,PAYMENT,4376.83,C1379411828,71858.0,67481.17,M1140618314,0.0,0.0
48,PAYMENT,6287.56,C975268246,42877.0,36589.44,M967448479,0.0,0.0
48,PAYMENT,1982.12,C708482137,21898.0,19915.88,M180681584,0.0,0.0
48,PAYMENT,8439.14,C991448679,402731.0,394291.86,M1382522996,0.0,0.0
48,PAYMENT,7270.75,C746683965,6193.0,0.0,M28512166,0.0,0.0
48,PAYMENT,5983.36,C2023817857,51006.0,45022.64,M388659681,0.0,0.0
48,TRANSFER,133921.34,C821927343,1276.0,0.0,C796124965,0.0,133921.34
48,PAYMENT,323.21,C690649641,0.0,0.0,M1500500103,0.0,0.0
48,PAYMENT,10268.61,C500059962,0.0,0.0,M1099086281,0.0,0.0
48,PAYMENT,11006.16,C998471906,1491.0,0.0,M474967293,0.0,0.0
48,TRANSFER,146683.17,C1939298257,304197.0,157513.83,C355485741,0.0,146683.17
48,PAYMENT,9723.31,C663745691,44941.0,35217.69,M124505312,0.0,0.0
48,PAYMENT,12038.72,C1621385332,285.0,0.0,M700746350,0.0,0.0
48,PAYMENT,7211.71,C1899469025,96044.0,88832.29,M677533419,0.0,0.0
48,PAYMENT,5166.33,C1795568723,10324.0,5157.67,M1713128615,0.0,0.0
48,CASH_OUT,24366.66,C723593237,5157.67,0.0,C2030245295,374088.77,398455.43
48,CASH_OUT,151269.83,C298772116,0.0,0.0,C1774318025,2179478.95,2330748.78
48,PAYMENT,14057.5,C1269890130,15871.0,1813.5,M1326297343,0.0,0.0
48,PAYMENT,306.95,C1842235531,51797.0,51490.05,M198375904,0.0,0.0
48,PAYMENT,9000.63,C1196218020,51490.05,42489.42,M1701059834,0.0,0.0
48,CASH_IN,62731.97,C2062654157,62119.0,124850.97,C276000478,84569.27,21837.31
48,TRANSFER,57810.44,C1727029642,5615.0,0.0,C941808317,0.0,57810.44
48,CASH_OUT,42437.28,C1193832966,0.0,0.0,C2120359123,393386.91,435824.19
48,CASH_OUT,296021.37,C40773077,0.0,0.0,C1840570054,369340.0,665361.37
48,CASH_OUT,391438.56,C1950347431,0.0,0.0,C664342764,1571006.65,1962445.21
48,CASH_OUT,151192.52,C296104859,0.0,0.0,C321783295,373073.14,524265.67
48,CASH_OUT,225475.6,C362466283,0.0,0.0,C1326591083,4794840.7,5020316.3
48,CASH_OUT,279958.11,C1722356736,0.0,0.0,C592310798,5726151.32,6006109.42
48,CASH_OUT,254215.49,C1838709434,0.0,0.0,C1805537723,2391099.33,2645314.82
48,PAYMENT,5.48,C1300407929,9978.0,9972.52,M235207089,0.0,0.0
48,PAYMENT,9433.16,C547612005,4272.0,0.0,M239081057,0.0,0.0
48,PAYMENT,8068.71,C1453967550,22304.0,14235.29,M2135521963,0.0,0.0
48,PAYMENT,11765.52,C1082011882,224272.0,212506.48,M1317258650,0.0,0.0
48,PAYMENT,11101.61,C1450641612,212506.48,201404.87,M1658825867,0.0,0.0
48,PAYMENT,3079.97,C1394026842,201404.87,198324.91,M57182647,0.0,0.0
48,PAYMENT,5278.28,C1832374398,585.0,0.0,M1922273959,0.0,0.0
48,PAYMENT,1613.3,C413415510,24605.0,22991.7,M1606823876,0.0,0.0
48,PAYMENT,15727.18,C211923042,64949.0,49221.82,M1648954875,0.0,0.0
48,PAYMENT,7411.64,C1528229740,14415.0,7003.36,M901796805,0.0,0.0
48,PAYMENT,8838.18,C878958527,50627.0,41788.82,M510603805,0.0,0.0
48,PAYMENT,16001.28,C1928250163,41788.82,25787.54,M1166534864,0.0,0.0
48,CASH_OUT,177436.73,C1878200816,511386.0,333949.27,C1454625539,0.0,177436.73
48,PAYMENT,10265.12,C149629385,115.0,0.0,M202933436,0.0,0.0
48,CASH_OUT,201921.41,C1990405255,0.0,0.0,C1626682277,279439.58,481360.99
48,PAYMENT,8220.53,C27840306,21395.0,13174.47,M1348209583,0.0,0.0
48,PAYMENT,2191.79,C413751420,124554.0,122362.21,M1996593402,0.0,0.0
48,PAYMENT,5936.83,C815204471,10715.0,4778.17,M2518201,0.0,0.0
48,PAYMENT,2256.3,C1386135161,6055.0,3798.7,M698559128,0.0,0.0
48,PAYMENT,9736.77,C561990507,21384.0,11647.23,M303016025,0.0,0.0
48,PAYMENT,14305.3,C893759767,371.0,0.0,M92449485,0.0,0.0
48,PAYMENT,5979.39,C1585290501,50566.0,44586.61,M828353523,0.0,0.0
48,PAYMENT,2099.05,C696940998,51485.0,49385.95,M961444600,0.0,0.0
48,PAYMENT,7364.59,C199839073,49385.95,42021.36,M1202024412,0.0,0.0
48,PAYMENT,7206.22,C1025211047,15866.0,8659.78,M2001231430,0.0,0.0
48,PAYMENT,1023.62,C906725259,82544.0,81520.38,M1513936153,0.0,0.0
48,PAYMENT,6018.86,C1007960763,31775.0,25756.14,M152801553,0.0,0.0
48,PAYMENT,350.94,C1665558630,50917.0,50566.06,M1609497866,0.0,0.0
48,PAYMENT,10255.77,C1097956822,50566.06,40310.28,M347602928,0.0,0.0
48,PAYMENT,6366.79,C1147314264,40310.28,33943.49,M1825313651,0.0,0.0
48,PAYMENT,4646.68,C647580913,33943.49,29296.81,M226127789,0.0,0.0
48,PAYMENT,18880.25,C1556835898,29296.81,10416.56,M1351657819,0.0,0.0
48,PAYMENT,17169.57,C1006799228,10416.56,0.0,M1658560086,0.0,0.0
48,PAYMENT,27559.09,C1709610633,0.0,0.0,M812196127,0.0,0.0
48,PAYMENT,14207.01,C411571975,0.0,0.0,M639570798,0.0,0.0
48,TRANSFER,541510.66,C2006748154,539859.0,0.0,C47334062,128930.84,670441.5
48,PAYMENT,11844.79,C235158991,0.0,0.0,M1449931559,0.0,0.0
48,PAYMENT,4726.44,C146198247,0.0,0.0,M468076368,0.0,0.0
48,PAYMENT,5980.05,C883157926,0.0,0.0,M65078046,0.0,0.0
48,PAYMENT,4423.15,C1025389683,0.0,0.0,M350955591,0.0,0.0
48,PAYMENT,26311.58,C1069420455,0.0,0.0,M877400765,0.0,0.0
48,PAYMENT,4130.15,C2017269227,0.0,0.0,M903455675,0.0,0.0
48,PAYMENT,2998.78,C2052411792,0.0,0.0,M777551261,0.0,0.0
48,PAYMENT,7000.73,C1046132720,0.0,0.0,M1181093883,0.0,0.0
48,PAYMENT,25001.23,C376381302,0.0,0.0,M2075540659,0.0,0.0
48,PAYMENT,5029.56,C280551682,0.0,0.0,M1716993337,0.0,0.0
48,PAYMENT,38559.62,C145558058,0.0,0.0,M1110768680,0.0,0.0
48,PAYMENT,64365.3,C366192029,0.0,0.0,M1253244139,0.0,0.0
48,PAYMENT,17625.19,C707679181,0.0,0.0,M1335770908,0.0,0.0
48,PAYMENT,6346.06,C1198097471,0.0,0.0,M450985373,0.0,0.0
48,PAYMENT,2998.82,C1107944759,0.0,0.0,M2094089397,0.0,0.0
48,PAYMENT,13521.23,C2006089580,0.0,0.0,M1712253334,0.0,0.0
48,PAYMENT,2690.06,C1805879357,0.0,0.0,M497130768,0.0,0.0
48,PAYMENT,10505.09,C2032990423,0.0,0.0,M1761602621,0.0,0.0
