step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
4,TRANSFER,167476.47,C605472344,63807.0,0.0,C1926673338,0.0,167476.47
4,PAYMENT,383.64,C1834961152,1081.0,697.36,M507575219,0.0,0.0
4,PAYMENT,1150.8,C458624688,30766.0,29615.2,M165687172,0.0,0.0
4,PAYMENT,4059.46,C509632753,11277.0,7217.54,M132423149,0.0,0.0
4,PAYMENT,921.61,C745287727,7217.54,6295.94,M611890729,0.0,0.0
4,PAYMENT,10739.56,C956448191,6295.94,0.0,M439010439,0.0,0.0
4,TRANSFER,43896.22,C1460298405,102539.0,58642.78,C1750563752,167163.39,252667.53
4,PAYMENT,1036.33,C908218259,58642.78,57606.45,M518349613,0.0,0.0
4,CASH_OUT,124112.03,C1386713738,3248.0,0.0,C728885526,258268.72,229190.56
4,PAYMENT,5678.23,C1446825265,0.0,0.0,M1917214386,0.0,0.0
4,PAYMENT,4848.52,C1200601052,0.0,0.0,M701652581,0.0,0.0
4,PAYMENT,562.64,C431446827,674221.0,673658.36,M1506030945,0.0,0.0
4,DEBIT,1313.51,C1666144466,49977.0,48663.49,C1877453512,116963.12,118276.63
4,PAYMENT,2681.46,C1481970600,11034.0,8352.54,M2065196426,0.0,0.0
4,PAYMENT,1677.52,C51325109,24448.0,22770.48,M438270414,0.0,0.0
4,PAYMENT,2713.07,C1789387126,96360.0,93646.93,M1386999197,0.0,0.0
4,PAYMENT,1187.17,C672869885,48450.0,47262.83,M1227612217,0.0,0.0
4,PAYMENT,347.5,C483529787,9148.0,8800.5,M286840121,0.0,0.0
4,PAYMENT,1637.03,C1612539426,220.0,0.0,M1981900848,0.0,0.0
4,PAYMENT,947.58,C2061424899,3025.0,2077.42,M767060604,0.0,0.0
4,PAYMENT,1921.43,C639579551,34622.0,32700.57,M1526901124,0.0,0.0
4,PAYMENT,2929.49,C1461216550,0.0,0.0,M958209587,0.0,0.0
4,PAYMENT,1161.22,C1727096642,0.0,0.0,M678538385,0.0,0.0
4,PAYMENT,2005.44,C1012194796,21367.0,19361.56,M1835638995,0.0,0.0
4,PAYMENT,1936.67,C5181771,10604.0,8667.33,M629092599,0.0,0.0
4,PAYMENT,8158.24,C1071522313,8667.33,509.09,M529621529,0.0,0.0
4,PAYMENT,38059.51,C1739390441,509.09,0.0,M990413155,0.0,0.0
4,PAYMENT,3272.71,C1971855969,4352.0,1079.29,M1629292387,0.0,0.0
4,PAYMENT,2707.11,C1633615132,198203.0,195495.89,M505572301,0.0,0.0
4,PAYMENT,2776.75,C713939266,20499.0,17722.25,M589489519,0.0,0.0
4,PAYMENT,3346.22,C889346570,12983.0,9636.78,M947069796,0.0,0.0
4,DEBIT,409.4,C2087758561,30810.4,30401.0,C1060830840,25390.85,21101.01
4,PAYMENT,6326.75,C1221407133,30401.0,24074.25,M1866002564,0.0,0.0
4,TRANSFER,139173.95,C1324451332,35559.0,0.0,C1289462509,0.0,139173.95
4,CASH_IN,208096.95,C925829785,0.0,208096.95,C1453128758,486798.02,42270.49
4,CASH_IN,487852.5,C382698552,208096.95,695949.45,C1816757085,9670814.67,8975709.58
4,CASH_IN,45649.91,C1046211253,695949.45,741599.36,C728885526,382380.75,229190.56
4,CASH_IN,130708.05,C2086177500,741599.36,872307.41,C997608398,245656.38,124042.91
4,CASH_IN,143618.67,C871115788,872307.41,1015926.08,C1234776885,1840076.94,1623962.37
4,CASH_IN,41385.54,C1500020749,1015926.08,1057311.62,C1467740330,65002.0,5966.04
4,CASH_IN,51147.41,C948422615,1057311.62,1108459.04,C1498438472,57792.19,6644.77
4,CASH_IN,246059.61,C11646065,1108459.04,1354518.65,C1782113663,1982491.06,1356589.82
4,CASH_IN,352364.46,C1383031847,1354518.65,1706883.11,C1789550256,2943614.6,2772312.14
4,CASH_IN,225639.52,C1327169167,1706883.11,1932522.64,C667346055,1.089654676E7,1.067090724E7
4,CASH_IN,52896.89,C1227170244,1932522.64,1985419.52,C1388157479,74267.0,0.0
4,CASH_IN,409664.42,C1144653485,1985419.52,2395083.94,C173783788,637177.97,227513.56
4,CASH_IN,308084.98,C1843207249,2395083.94,2703168.92,C1286084959,1454495.92,2648013.13
4,CASH_IN,280770.07,C1965779427,2703168.92,2983939.0,C1446521801,6540346.28,5692737.46
4,CASH_IN,221970.49,C358636931,2983939.0,2983939.0,C728526866,2983939.0,6671931.33
4,CASH_IN,68827.52,C33238764,2983939.0,3052766.52,C1452722471,72236.0,3408.48
4,CASH_IN,180075.86,C79791382,3052766.52,3232842.37,C564160838,921817.65,217964.09
4,CASH_IN,245908.29,C705400860,3232842.37,3478750.66,C97730845,1.196413105E7,1.294658344E7
4,CASH_IN,80199.62,C1024478363,3478750.66,3558950.28,C2083562754,2051802.27,2748383.99
4,CASH_IN,573435.74,C1698990491,3558950.28,4132386.02,C1870252780,7444816.87,6800716.51
4,CASH_IN,248507.58,C1839548688,4132386.02,4380893.6,C811597470,308745.42,60237.85
4,CASH_IN,137360.58,C467185608,4380893.6,4518254.18,C1782113663,1736431.45,1356589.82
4,CASH_IN,48951.75,C605244604,4518254.18,4567205.93,C997608398,114948.33,124042.91
4,CASH_IN,99107.68,C1708786164,4567205.93,4666313.62,C1721246982,1807303.97,1628181.42
4,CASH_IN,25752.66,C586164630,4666313.62,4692066.27,C1303868418,335758.15,5515949.57
4,CASH_IN,16871.14,C2089317615,4692066.27,4708937.41,C1163619825,135715.81,118844.67
4,CASH_IN,34688.77,C1119920494,4708937.41,4743626.18,C1538745405,363538.72,139849.81
4,CASH_IN,208461.54,C2007031139,4743626.18,4952087.72,C1067155425,259823.45,51361.91
4,CASH_IN,107540.28,C1413473944,4952087.72,5059628.0,C728885526,336730.84,229190.56
4,CASH_IN,180025.45,C1798299644,5059628.0,5239653.45,C1674899618,7074754.63,6894729.18
4,CASH_IN,86497.62,C748935206,5239653.45,5326151.07,C2117043942,146063.74,59566.12
4,CASH_IN,21370.5,C1561936660,5326151.07,5347521.57,C1721246982,1708196.29,1628181.42
4,CASH_IN,130407.77,C1983472905,5347521.57,5477929.34,C1122118227,1.306082621E7,0.0
4,PAYMENT,200.47,C1669104653,31051.0,30850.53,M1370231468,0.0,0.0
4,PAYMENT,3973.91,C1178270318,30850.53,26876.62,M2073484941,0.0,0.0
4,PAYMENT,1015.93,C2093834526,1168.0,152.07,M1304765785,0.0,0.0
4,PAYMENT,8221.47,C1547521797,152.07,0.0,M294817977,0.0,0.0
4,PAYMENT,7222.78,C104912388,64443.0,57220.22,M1657521272,0.0,0.0
4,PAYMENT,1161.3,C1413020227,125444.0,124282.7,M1361755941,0.0,0.0
4,PAYMENT,2463.48,C1364898802,3921.0,1457.52,M1829651877,0.0,0.0
4,CASH_OUT,51614.78,C2121744549,1457.52,0.0,C709091500,214020.92,265635.7
4,TRANSFER,25975.86,C2057313241,138.0,0.0,C903716563,0.0,25975.86
4,PAYMENT,3011.78,C2120344156,21044.0,18032.22,M1633530712,0.0,0.0
4,PAYMENT,3112.94,C627815870,18032.22,14919.27,M1609501721,0.0,0.0
4,PAYMENT,423.65,C778925754,196.0,0.0,M581359452,0.0,0.0
4,PAYMENT,1713.72,C1519927539,15759.0,14045.28,M2100297853,0.0,0.0
