step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
35,CASH_OUT,78003.86,C126771150,42002.0,0.0,C116363521,593880.49,1063041.07
35,PAYMENT,13668.06,C1098490792,21095.0,7426.94,M1217765610,0.0,0.0
35,CASH_IN,13371.09,C1366415291,170.0,13541.09,C312647747,0.0,433082.43
35,PAYMENT,26274.2,C611619444,65269.0,38994.8,M672924081,0.0,0.0
35,PAYMENT,11957.36,C1307276968,34656.0,22698.64,M309898401,0.0,0.0
35,CASH_OUT,7903.82,C312437672,123565.0,115661.18,C975302825,0.0,7903.82
35,CASH_IN,196408.53,C1522983363,15758.0,212166.53,C1963277949,59675.71,0.0
35,PAYMENT,2239.01,C1276023301,123274.0,121034.99,M457450113,0.0,0.0
35,PAYMENT,30386.14,C1928317034,8095.0,0.0,M533395213,0.0,0.0
35,CASH_IN,65176.35,C661438539,20294.0,85470.35,C713408125,0.0,0.0
35,PAYMENT,23652.47,C486977037,8367.0,0.0,M296126815,0.0,0.0
35,PAYMENT,2354.28,C1495037689,0.0,0.0,M414419721,0.0,0.0
35,PAYMENT,5987.66,C812460244,16080.0,10092.34,M354726903,0.0,0.0
35,CASH_IN,149280.4,C792048660,107832.0,257112.4,C544649302,0.0,0.0
35,PAYMENT,21084.14,C735746360,660.0,0.0,M1923628831,0.0,0.0
35,CASH_OUT,15447.25,C1118011830,1360853.72,1345406.48,C2132457875,0.0,15447.25
35,PAYMENT,21096.3,C1085544674,1345406.48,1324310.18,M1062754965,0.0,0.0
35,CASH_OUT,432560.15,C205249190,11582.0,0.0,C1177578483,0.0,432560.15
35,PAYMENT,2159.32,C1380668582,0.0,0.0,M853026053,0.0,0.0
35,CASH_OUT,274588.5,C1328106809,11313.0,0.0,C1197167302,2033898.57,2247228.83
35,TRANSFER,1518844.27,C496324752,220.0,0.0,C1874949385,3156553.35,4123318.05
35,PAYMENT,21646.56,C359909856,0.0,0.0,M1727014470,0.0,0.0
35,CASH_OUT,218641.2,C1664483108,4479.0,0.0,C878008679,0.0,218641.2
35,CASH_OUT,217570.78,C1410544130,19408.0,0.0,C981040821,231129.06,448699.84
35,TRANSFER,705903.06,C1596247465,51473.0,0.0,C36538277,168442.0,1192558.65
35,PAYMENT,3186.77,C947982877,50400.0,47213.23,M1954612982,0.0,0.0
35,CASH_IN,50412.63,C969914694,42581.0,92993.63,C1310535306,0.0,0.0
35,CASH_OUT,118676.95,C1090482771,224483.0,105806.05,C142061543,294840.53,413517.48
35,PAYMENT,32298.97,C1893634475,105806.05,73507.08,M211066864,0.0,0.0
35,CASH_OUT,42534.74,C1221919405,0.0,0.0,C1984313355,218309.82,260844.56
35,PAYMENT,4923.64,C1929616398,0.0,0.0,M2010384396,0.0,0.0
35,PAYMENT,64491.79,C1603756569,0.0,0.0,M1060623148,0.0,0.0
35,CASH_OUT,75467.66,C1354484520,52633.0,0.0,C343029885,62822.09,1689207.98
35,CASH_IN,374773.21,C125316443,22043.0,396816.21,C2079480382,1613688.41,1238915.19
35,CASH_IN,31186.81,C1671106567,21127.0,52313.81,C1836270433,0.0,0.0
35,CASH_IN,22344.68,C1647579627,14741.0,37085.68,C724530138,840468.37,818123.69
35,PAYMENT,9355.17,C1826120718,105913.0,96557.83,M713858619,0.0,0.0
35,PAYMENT,16164.71,C296532037,96557.83,80393.12,M1398102226,0.0,0.0
35,CASH_IN,39994.76,C2088939170,243786.0,283780.76,C886874200,1406448.23,1366453.47
35,CASH_IN,260288.01,C842107471,18170.0,278458.01,C880473311,115227.48,0.0
35,CASH_IN,16919.64,C1185641180,19949.0,36868.64,C634379227,0.0,0.0
35,PAYMENT,26634.54,C1061237011,2342.0,0.0,M1449095143,0.0,0.0
35,CASH_OUT,126276.2,C1753412753,100447.0,0.0,C805840125,0.0,126276.2
35,TRANSFER,2344450.69,C1965180623,11895.0,0.0,C432973899,0.0,2344450.69
35,CASH_OUT,165261.33,C1130178769,0.0,0.0,C112121302,1140242.3,1305503.62
35,CASH_OUT,16847.46,C1859143434,0.0,0.0,C2025870943,413419.32,430266.78
35,CASH_OUT,23216.61,C285806653,0.0,0.0,C298345871,1091938.48,1115155.1
35,CASH_OUT,130341.73,C1987717357,0.0,0.0,C1683259208,389897.28,520239.01
35,CASH_OUT,352131.44,C1548455251,0.0,0.0,C1141332020,802695.54,1021870.37
35,CASH_OUT,304819.19,C810510791,0.0,0.0,C1673971173,5985457.43,6290276.61
35,CASH_OUT,87101.92,C1763581707,0.0,0.0,C276629171,229149.97,316251.9
35,CASH_OUT,366221.94,C1308917637,0.0,0.0,C170168875,693247.63,1130835.12
35,CASH_OUT,39214.91,C1319457283,0.0,0.0,C1593177376,356802.36,396017.27
35,CASH_OUT,145883.51,C99552065,0.0,0.0,C1677088125,443027.05,588910.56
35,CASH_OUT,51643.18,C470854320,0.0,0.0,C915049328,5283452.22,5335095.39
35,CASH_OUT,346474.9,C1896154848,0.0,0.0,C1465478513,2553099.82,2899574.73
35,CASH_OUT,138217.52,C357853065,0.0,0.0,C724913618,148668.54,286886.06
35,CASH_OUT,77986.83,C1755104097,0.0,0.0,C776555139,3892995.78,3970982.61
35,CASH_OUT,121605.22,C1900065256,0.0,0.0,C889032061,215925.88,337531.1
35,CASH_OUT,23350.97,C682330918,0.0,0.0,C1289834062,3090280.55,3113631.51
35,CASH_OUT,158154.93,C519428501,0.0,0.0,C129146318,4420221.78,4578376.71
35,CASH_OUT,80965.57,C276596449,0.0,0.0,C138905202,3534087.66,3615053.24
35,CASH_OUT,39330.8,C1690807031,0.0,0.0,C1870870959,90832.56,227601.84
35,CASH_OUT,185351.02,C281149426,0.0,0.0,C1192376487,764762.58,763849.04
35,CASH_OUT,370515.97,C550024462,0.0,0.0,C486371171,4168534.42,4539050.39
35,CASH_OUT,56208.16,C1425503352,0.0,0.0,C836673222,5858920.37,5915128.52
35,CASH_OUT,208872.01,C230620163,50282.0,0.0,C713770722,201658.83,308211.4
35,TRANSFER,322322.82,C312458281,773.0,0.0,C2107395093,1882816.47,2205139.29
35,PAYMENT,2576.27,C2006584241,69381.0,66804.73,M404878734,0.0,0.0
35,PAYMENT,5712.61,C1644514413,49368.0,43655.39,M219466480,0.0,0.0
35,CASH_OUT,375737.82,C720670560,73637.45,0.0,C479295924,21026.73,396764.55
35,TRANSFER,323317.0,C1030652469,0.0,0.0,C1156317584,358410.57,681727.58
35,PAYMENT,15674.62,C1967179729,45991.0,30316.38,M1588117699,0.0,0.0
35,CASH_OUT,162392.33,C1353309177,92708.0,0.0,C1333723044,199555.84,361948.17
35,CASH_OUT,217538.17,C429884659,440.0,0.0,C1620573488,3.627030399E7,3.655367307E7
35,PAYMENT,5440.82,C1787999838,26035.0,20594.18,M1923403031,0.0,0.0
35,PAYMENT,14743.7,C1825355433,7868.0,0.0,M160501727,0.0,0.0
35,PAYMENT,23636.08,C1984850165,10910.0,0.0,M576114526,0.0,0.0
35,PAYMENT,6062.84,C732318787,45907.07,39844.23,M717766943,0.0,0.0
35,PAYMENT,40508.72,C793021811,39844.23,0.0,M1006406650,0.0,0.0
35,PAYMENT,49457.13,C580983954,0.0,0.0,M1242132832,0.0,0.0
35,PAYMENT,5990.93,C1101877831,0.0,0.0,M517055187,0.0,0.0
35,PAYMENT,1722.01,C876509207,0.0,0.0,M893226369,0.0,0.0
35,PAYMENT,8264.34,C506056203,0.0,0.0,M234692647,0.0,0.0
35,PAYMENT,640.27,C1254362959,0.0,0.0,M332190227,0.0,0.0
35,PAYMENT,5150.05,C1128603639,0.0,0.0,M668853152,0.0,0.0
35,PAYMENT,12986.68,C1292451427,0.0,0.0,M941633947,0.0,0.0
35,PAYMENT,9325.88,C1399929807,0.0,0.0,M469308130,0.0,0.0
35,PAYMENT,8308.07,C528993752,0.0,0.0,M647142234,0.0,0.0
35,PAYMENT,1683.49,C2095543044,0.0,0.0,M794427512,0.0,0.0
35,PAYMENT,6727.39,C236118342,0.0,0.0,M1021899669,0.0,0.0
35,PAYMENT,10872.68,C2068895839,0.0,0.0,M83254925,0.0,0.0
35,PAYMENT,7027.39,C502765444,0.0,0.0,M1727577076,0.0,0.0
35,PAYMENT,5587.67,C454493524,0.0,0.0,M765670029,0.0,0.0
35,PAYMENT,5651.56,C206166794,0.0,0.0,M802023020,0.0,0.0
35,PAYMENT,855.95,C206793572,0.0,0.0,M953157433,0.0,0.0
35,PAYMENT,647.52,C2047019682,0.0,0.0,M977104136,0.0,0.0
35,CASH_OUT,298324.7,C765602144,534.0,0.0,C2037224994,0.0,298324.7
35,TRANSFER,199404.82,C359864866,875.0,0.0,C19053330,0.0,199404.82
35,CASH_OUT,285644.84,C2009547828,5524.0,0.0,C43764182,0.0,285644.84
35,PAYMENT,20790.35,C641938153,55223.0,34432.65,M437708392,0.0,0.0
35,CASH_OUT,192777.31,C398019842,10773.0,0.0,C328374184,115733.46,414129.42
35,CASH_OUT,314940.04,C1511148837,116192.0,0.0,C981542429,499277.0,814217.04
35,PAYMENT,4051.93,C1702488308,55267.0,51215.07,M1223784341,0.0,0.0
35,CASH_OUT,240245.83,C368964308,30947.0,0.0,C1334428132,470699.43,710945.26
35,TRANSFER,2165648.72,C1565457963,20541.0,0.0,C1872824049,0.0,2165648.72
35,CASH_OUT,167043.98,C2002420542,107679.0,0.0,C1528063871,471544.32,638588.3
35,CASH_IN,156768.73,C886316959,10060.0,166828.73,C1900812498,12078.47,0.0
35,TRANSFER,110488.63,C1321545859,6014.0,0.0,C669563617,0.0,137200.94
35,CASH_OUT,270929.43,C1682976982,0.0,0.0,C472751704,1502985.18,1773914.6
35,CASH_OUT,190763.13,C1202723857,0.0,0.0,C1642905671,941432.07,1132195.2
35,CASH_OUT,396139.46,C1401740191,259.0,0.0,C2036273768,0.0,396139.46
35,CASH_OUT,246453.88,C875214917,0.0,0.0,C357028200,6248796.65,6247769.75
35,CASH_OUT,164525.45,C1369045142,24520.0,0.0,C1256831377,102556.7,267082.15
35,TRANSFER,653891.93,C370026016,0.0,0.0,C1862999440,694770.43,1348662.35
35,TRANSFER,894724.55,C594237277,403195.0,0.0,C45472052,3741393.26,4636117.81
35,CASH_IN,379608.5,C1113730021,21641.0,401249.5,C1992932799,3920490.95,3621857.06
35,PAYMENT,17597.15,C1545676407,401249.5,383652.35,M997795061,0.0,0.0
35,PAYMENT,18359.57,C1121017208,383652.35,365292.77,M289373124,0.0,0.0
35,PAYMENT,12204.74,C1157166346,365292.77,353088.04,M919879660,0.0,0.0
35,PAYMENT,6430.02,C2124844755,353088.04,346658.01,M346893208,0.0,0.0
35,PAYMENT,6243.99,C402578594,346658.01,340414.02,M12757742,0.0,0.0
35,PAYMENT,12126.0,C1255697459,340414.02,328288.02,M928280347,0.0,0.0
35,PAYMENT,1019.78,C1454288543,328288.02,327268.25,M1127148414,0.0,0.0
35,PAYMENT,2980.34,C1251913436,327268.25,324287.9,M1587952675,0.0,0.0
35,PAYMENT,15067.2,C2103425854,324287.9,309220.7,M1226758896,0.0,0.0
35,PAYMENT,6329.76,C1984525633,309220.7,302890.94,M425789583,0.0,0.0
35,PAYMENT,4393.64,C426235606,302890.94,298497.3,M638666320,0.0,0.0
35,PAYMENT,2303.81,C458214574,298497.3,296193.49,M184261176,0.0,0.0
35,PAYMENT,497.64,C755842263,296193.49,295695.85,M16960736,0.0,0.0
35,PAYMENT,6468.54,C1682787026,295695.85,289227.32,M842081849,0.0,0.0
35,PAYMENT,14781.49,C1981701932,289227.32,274445.83,M1642920131,0.0,0.0
35,PAYMENT,2638.71,C1870210550,274445.83,271807.12,M1413662414,0.0,0.0
35,CASH_OUT,281958.0,C1344345173,24501.0,0.0,C858495096,1677321.69,1959279.69
35,PAYMENT,24145.09,C1452131442,0.0,0.0,M1887243712,0.0,0.0
35,CASH_OUT,297792.09,C843829687,20684.0,0.0,C553790651,1097041.21,1201781.4
35,PAYMENT,1683.37,C1779496983,14444.0,12760.63,M1384517491,0.0,0.0
35,CASH_OUT,133978.99,C1250761710,53134.0,0.0,C1203877885,174811.86,588325.21
35,CASH_OUT,138112.82,C648527201,1502.0,0.0,C1605283162,2545.0,343558.42
35,CASH_IN,76735.84,C1268398562,20431.0,97166.84,C120786962,90684.94,13949.1
35,PAYMENT,6116.59,C688216693,97166.84,91050.25,M192243408,0.0,0.0
