step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
16,TRANSFER,202771.14,C1629262906,101.0,0.0,C1325221761,2046390.93,2249162.07
16,CASH_OUT,151125.25,C391972264,14411.0,0.0,C94249079,17563.2,168688.45
16,PAYMENT,12965.51,C1700943406,0.0,0.0,M272209151,0.0,0.0
16,CASH_OUT,130935.86,C352415622,20004.0,0.0,C1798782759,6166.16,137102.03
16,TRANSFER,357717.99,C1787709643,112568.0,0.0,C181364982,169079.14,526797.13
16,CASH_OUT,23211.78,C497725586,23493.0,281.22,C989922623,64959.32,88171.11
16,PAYMENT,14590.8,C1105744308,281.22,0.0,M1594587984,0.0,0.0
16,PAYMENT,1784.77,C1205581930,0.0,0.0,M255700515,0.0,0.0
16,TRANSFER,600843.24,C207305601,149779.0,0.0,C1956845365,199103.52,817915.85
16,TRANSFER,176221.19,C135139489,0.0,0.0,C740714263,452741.11,628962.3
16,CASH_OUT,47741.31,C302838050,69878.0,22136.69,C1595531056,0.0,47741.31
16,TRANSFER,40260.71,C1889671670,15637.0,0.0,C351565081,99133.08,139393.79
16,PAYMENT,15910.41,C636527440,12541.0,0.0,M1568875607,0.0,0.0
16,CASH_IN,232222.55,C687033124,103673.0,335895.55,C1932637868,0.0,0.0
16,CASH_OUT,175231.89,C1224645221,100.0,0.0,C360746389,465308.77,640540.66
16,CASH_OUT,332585.41,C1748257289,6068.0,0.0,C1864745052,0.0,332585.41
16,TRANSFER,1106642.4,C751921860,29355.0,0.0,C1271289269,3558161.19,4664803.59
16,CASH_OUT,242297.02,C508149265,562.0,0.0,C730072677,2239271.69,2481568.7
16,CASH_OUT,143112.13,C576205327,473.0,0.0,C545710008,5672119.82,5815231.96
16,PAYMENT,7378.78,C1752580175,14755.0,7376.22,M1339461839,0.0,0.0
16,CASH_OUT,415799.51,C482084370,7376.22,0.0,C307721497,450202.11,866001.62
16,CASH_OUT,146573.12,C2132248512,1791.0,0.0,C1074837576,11731.0,158304.12
16,PAYMENT,4694.83,C624542805,0.0,0.0,M1578268885,0.0,0.0
16,PAYMENT,6503.32,C576874899,0.0,0.0,M1636357016,0.0,0.0
16,PAYMENT,6028.1,C175679632,0.0,0.0,M1197587930,0.0,0.0
16,PAYMENT,5975.04,C1996384852,0.0,0.0,M1372418816,0.0,0.0
16,PAYMENT,3912.49,C515800449,0.0,0.0,M1417383137,0.0,0.0
16,PAYMENT,14596.04,C1372778736,0.0,0.0,M1799212217,0.0,0.0
16,PAYMENT,19453.7,C100853290,0.0,0.0,M236355215,0.0,0.0
16,PAYMENT,7910.14,C1208310477,0.0,0.0,M1306005360,0.0,0.0
16,PAYMENT,2453.93,C1559925591,0.0,0.0,M1638231105,0.0,0.0
16,PAYMENT,7119.79,C51675530,39640.0,32520.21,M247115031,0.0,0.0
16,PAYMENT,1317.36,C114485180,1773.0,455.64,M1281311811,0.0,0.0
16,TRANSFER,367776.83,C1809876115,455.64,0.0,C1529690262,775744.29,1143521.12
16,TRANSFER,583563.88,C820600557,0.0,0.0,C2112835597,2768893.56,3352457.44
16,TRANSFER,401788.93,C563589195,0.0,0.0,C643159092,623994.01,1025782.94
16,TRANSFER,123467.43,C391939430,0.0,0.0,C1579098108,721025.25,844492.67
16,TRANSFER,646413.21,C2021089026,0.0,0.0,C1523536343,1605158.96,2251572.17
16,TRANSFER,31263.38,C34826455,0.0,0.0,C224265387,212402.32,243665.7
16,TRANSFER,100824.82,C505054518,0.0,0.0,C1587438164,267106.27,367931.08
16,TRANSFER,1431918.59,C1839092774,0.0,0.0,C40013162,1845968.73,3277887.31
16,TRANSFER,475216.7,C794008024,0.0,0.0,C556088062,952084.24,1427300.94
16,TRANSFER,790575.98,C908007733,0.0,0.0,C691967035,1411047.97,2201623.94
16,TRANSFER,1456661.08,C2087066101,0.0,0.0,C1370394967,2532723.42,3989384.51
16,TRANSFER,536585.0,C1673940283,0.0,0.0,C105015847,828053.87,1364638.87
16,TRANSFER,158018.49,C1357419970,0.0,0.0,C1469234158,253538.04,411556.53
16,TRANSFER,173036.23,C519108699,0.0,0.0,C1046805113,404302.47,577338.7
16,TRANSFER,573056.67,C1377170369,0.0,0.0,C912290293,2179376.89,2752433.56
16,TRANSFER,845831.43,C57398061,0.0,0.0,C1212151219,2019961.14,2865792.57
16,TRANSFER,813874.48,C389615623,0.0,0.0,C633595446,2832385.65,3646260.13
16,TRANSFER,685294.94,C236060827,0.0,0.0,C1457990651,2208578.21,2893873.15
16,TRANSFER,172692.2,C1944351075,0.0,0.0,C1942023602,274568.83,333531.23
16,TRANSFER,370758.82,C776681097,0.0,0.0,C1711105800,2897533.33,3268292.15
16,TRANSFER,384128.48,C1898816111,0.0,0.0,C1564839974,828671.71,1212800.19
16,TRANSFER,44352.53,C1873113609,0.0,0.0,C1739490311,251923.31,296275.84
16,TRANSFER,77118.68,C1067088375,0.0,0.0,C952933933,2595061.88,2672180.56
16,TRANSFER,41709.26,C1209204723,0.0,0.0,C1003895753,58369.66,100078.91
16,CASH_OUT,120348.73,C1420825156,71521.0,0.0,C1892646174,3631229.33,3751578.06
16,CASH_OUT,382109.83,C281085921,7174.0,0.0,C861720625,4784219.64,5166329.47
16,CASH_IN,164810.5,C2088272335,22416.0,187226.5,C1727405057,4849.41,0.0
16,PAYMENT,11589.37,C592053460,187226.5,175637.14,M2000421067,0.0,0.0
16,PAYMENT,13268.57,C1868230594,31611.0,18342.43,M1469345055,0.0,0.0
16,CASH_OUT,289239.84,C604749725,18342.43,0.0,C1778232365,389241.42,678481.26
16,CASH_IN,321903.02,C858184079,1642.0,323545.02,C157316544,864847.95,542944.93
16,CASH_IN,251694.45,C196740310,40680.0,292374.45,C278369955,0.0,0.0
16,CASH_OUT,144045.76,C2134015019,35823.0,0.0,C109198669,703566.84,847612.6
16,PAYMENT,21654.99,C113033991,105631.0,83976.01,M55810302,0.0,0.0
16,CASH_OUT,229988.13,C1486135542,1020.0,0.0,C926996129,15984.0,245972.13
16,CASH_IN,235929.94,C875252971,9015.0,244944.94,C1151786374,178844.27,0.0
16,CASH_OUT,111920.28,C1424950674,259.0,0.0,C903088573,716800.61,828720.89
16,CASH_OUT,243947.26,C1264903065,24737.0,0.0,C342774175,699781.33,943728.59
16,CASH_OUT,254675.83,C915044627,10907.0,0.0,C1928349261,0.0,254675.83
16,PAYMENT,381.57,C1479030589,72063.0,71681.43,M1950837311,0.0,0.0
16,CASH_OUT,166424.09,C416491269,53962.0,0.0,C916176217,10881.0,177305.09
16,CASH_OUT,316129.78,C2104788973,0.0,0.0,C1247394840,5158222.9,5474352.68
16,PAYMENT,3760.93,C1694291617,38236.0,34475.07,M723865235,0.0,0.0
16,CASH_OUT,236989.75,C709865469,79528.0,0.0,C533722162,35679.23,272668.98
16,CASH_IN,309611.89,C1935482550,8395.0,318006.89,C1602862380,1303310.01,993698.12
16,PAYMENT,12196.34,C1897306018,29730.0,17533.66,M1883639493,0.0,0.0
16,PAYMENT,4067.9,C664889207,13109.0,9041.1,M1007838619,0.0,0.0
16,TRANSFER,966199.44,C2046578236,9041.1,0.0,C1592225714,4994412.74,5960612.18
16,TRANSFER,671820.62,C957110240,0.0,0.0,C850758425,796138.29,1467958.91
16,TRANSFER,1158069.14,C364512617,14478.0,0.0,C1093824006,50421.0,1208490.14
16,PAYMENT,9172.59,C975934712,22372.0,13199.41,M557690927,0.0,0.0
16,CASH_IN,148611.71,C2052407487,29679.0,178290.71,C751389024,1562818.31,1414206.6
16,CASH_OUT,385725.06,C1065456593,7006.0,0.0,C995361110,2487140.77,2872865.83
16,CASH_IN,768.92,C1500204173,252664.0,253432.92,C67087062,654628.61,653859.69
16,CASH_OUT,318043.03,C362492743,11286.0,0.0,C1512371018,0.0,318043.03
16,CASH_OUT,332467.21,C1159453171,0.0,0.0,C509158768,3014818.92,3347286.13
16,TRANSFER,121107.52,C1983366554,1041.0,0.0,C650371148,0.0,121107.52
16,CASH_IN,53854.68,C1966862581,20249.0,74103.68,C410825770,2084014.17,2030159.49
16,PAYMENT,26234.8,C972481566,34674.0,8439.2,M574191250,0.0,0.0
16,TRANSFER,1150344.63,C1785363546,26557.0,0.0,C2090186380,3414459.4,4564804.03
16,CASH_OUT,201039.69,C1090295226,199724.0,0.0,C621152583,7879.0,208918.69
16,CASH_OUT,198001.54,C1319395247,92583.0,0.0,C801076516,0.0,198001.54
16,CASH_OUT,55639.16,C666905871,16692.0,0.0,C936567893,2648251.47,2777989.31
16,CASH_OUT,388035.56,C510725377,23342.0,0.0,C1469293879,658415.89,1046451.46
16,PAYMENT,1611.1,C981735984,0.0,0.0,M1446081512,0.0,0.0
16,PAYMENT,12197.11,C1891599476,0.0,0.0,M1714460263,0.0,0.0
16,CASH_OUT,149828.62,C2097104139,19850.0,0.0,C1854714462,0.0,149828.62
16,CASH_OUT,277534.35,C562878287,119429.21,0.0,C1483401645,19376.0,296910.35
16,TRANSFER,471303.24,C765229870,0.0,0.0,C1219735992,817945.17,1289248.41
16,CASH_OUT,17969.09,C1333613396,50819.0,32849.91,C1956845365,799946.76,817915.85
16,CASH_OUT,157422.99,C1227657389,15380.0,0.0,C285926907,0.0,157422.99
16,TRANSFER,328522.05,C249368680,0.0,0.0,C239803276,1079903.45,1408425.5
16,PAYMENT,3188.0,C1079402390,21655.0,18467.0,M1695830843,0.0,0.0
16,CASH_IN,135011.74,C1209011916,53393.0,188404.74,C1566323389,0.0,0.0
16,PAYMENT,18876.27,C782768630,18200.0,0.0,M1550866778,0.0,0.0
16,CASH_OUT,346491.19,C456807524,21203.0,0.0,C2099513383,3116529.08,3463020.27
16,CASH_OUT,445138.94,C1393840033,10721.0,0.0,C1654583020,1513357.52,1958496.46
16,CASH_OUT,209234.21,C1025350556,0.0,0.0,C2106717263,1603165.68,1812399.89
16,CASH_OUT,595708.48,C1668923372,0.0,0.0,C837328272,1097471.98,1693180.45
16,CASH_OUT,15339.73,C715742867,0.0,0.0,C1038425485,2334676.04,2350015.76
16,CASH_OUT,181412.21,C1538356512,0.0,0.0,C229023796,859036.26,1040448.47
16,CASH_OUT,24438.13,C169985201,0.0,0.0,C496851933,1283070.25,1307508.38
16,CASH_OUT,228274.83,C604609734,0.0,0.0,C1653497755,916441.58,1144716.41
16,CASH_OUT,65151.11,C1144263442,0.0,0.0,C836148567,258515.27,323666.38
16,CASH_OUT,264066.79,C352085697,0.0,0.0,C1620824600,701463.38,965530.17
16,CASH_OUT,109762.33,C284961955,0.0,0.0,C1842945902,320825.38,430587.7
16,CASH_OUT,472919.06,C2029743574,0.0,0.0,C290966672,525404.65,998323.71
16,CASH_OUT,6039.02,C473128280,0.0,0.0,C1155337528,1646689.08,1652728.1
16,CASH_OUT,407444.8,C1796139633,0.0,0.0,C769668250,636496.92,1043941.72
16,CASH_OUT,114564.9,C442911367,0.0,0.0,C613128565,148606.55,263171.45
16,CASH_OUT,260184.95,C969937344,0.0,0.0,C1969829178,1.107120509E7,1.133139004E7
16,CASH_OUT,188717.92,C1057964607,0.0,0.0,C904650100,315104.39,503822.31
16,CASH_OUT,352280.62,C592341709,0.0,0.0,C1006358184,466218.83,818499.45
16,CASH_OUT,167403.21,C198458961,0.0,0.0,C2117999483,1584342.7,1751745.91
16,CASH_OUT,293114.88,C850620666,0.0,0.0,C1380789797,376667.14,669782.02
16,CASH_OUT,317726.47,C2003358249,0.0,0.0,C2107395093,625866.52,943592.99
16,CASH_OUT,143450.85,C664851979,0.0,0.0,C1116529621,374775.82,518226.66
16,CASH_OUT,28194.04,C221004312,0.0,0.0,C659787299,4198177.82,4226371.86
16,CASH_OUT,349615.72,C615630823,0.0,0.0,C496337361,9844896.78,1.01945125E7
16,CASH_OUT,339954.98,C368681154,0.0,0.0,C2099473765,939528.27,1279483.25
16,CASH_OUT,75202.46,C885533944,0.0,0.0,C495893488,342027.43,417229.89
16,CASH_OUT,5372.64,C1528530171,0.0,0.0,C1275415305,49732.0,55104.64
16,CASH_OUT,44865.52,C1900019328,0.0,0.0,C57215989,4227205.76,4272071.29
16,CASH_OUT,8613.87,C697872341,0.0,0.0,C1463753062,21138.0,29751.87
16,CASH_OUT,122608.25,C1556281842,0.0,0.0,C700524814,2666968.6,2789576.85
