step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
8,PAYMENT,2363.5,C1957951848,11518.0,9154.5,M1274315527,0.0,0.0
8,PAYMENT,1025.83,C1738171284,21104.0,20078.17,M959097834,0.0,0.0
8,PAYMENT,638.14,C1379495198,20177.0,19538.86,M1027223781,0.0,0.0
8,CASH_OUT,373404.04,C151544341,375640.0,2235.96,C1284149862,0.0,2465823.51
8,PAYMENT,5527.84,C1695673637,204496.0,198968.16,M2094607620,0.0,0.0
8,CASH_OUT,142406.28,C268998498,20263.0,0.0,C1459693562,0.0,71863.87
8,PAYMENT,5322.01,C1515870140,164.0,0.0,M818475287,0.0,0.0
8,CASH_IN,40197.38,C88886023,21033.0,61230.38,C33574809,134.0,153166.15
8,CASH_OUT,153939.93,C1361805131,61230.38,0.0,C79467401,283346.9,287210.83
8,CASH_OUT,297977.27,C1506030949,110046.0,0.0,C540629758,12268.0,0.0
8,PAYMENT,216.12,C787687171,20294.0,20077.88,M1233147305,0.0,0.0
8,CASH_OUT,88810.74,C1138473717,582.0,0.0,C1847521348,55550.0,99302.15
8,PAYMENT,6635.39,C994885878,110397.0,103761.61,M212870051,0.0,0.0
8,PAYMENT,7821.43,C1196819073,6332.0,0.0,M1506022540,0.0,0.0
8,TRANSFER,1130004.37,C72496178,11251.0,0.0,C1740764606,16054.0,1939726.07
8,PAYMENT,12906.44,C166896160,45609.0,32702.56,M2118642581,0.0,0.0
8,PAYMENT,8883.19,C132047013,406.0,0.0,M314095560,0.0,0.0
8,PAYMENT,11517.96,C247981085,176425.0,164907.04,M1327349011,0.0,0.0
8,TRANSFER,1371578.05,C1060550557,5432.0,0.0,C518953848,0.0,1571399.65
8,PAYMENT,7982.99,C1751597380,92204.0,84221.01,M1504814937,0.0,0.0
8,CASH_OUT,292149.08,C2070314073,84221.01,0.0,C1429623854,765373.69,2256720.17
8,PAYMENT,20684.2,C1902552823,349.0,0.0,M593081598,0.0,0.0
8,CASH_OUT,103556.89,C1996899491,119278.0,15721.11,C1825389809,1034120.48,1077837.29
8,PAYMENT,8161.23,C1070234286,11538.0,3376.77,M2069836478,0.0,0.0
8,PAYMENT,11627.36,C365926255,64922.0,53294.64,M1353316905,0.0,0.0
8,CASH_OUT,49048.43,C1020982680,9559.0,0.0,C1730964371,199273.0,4416336.25
8,TRANSFER,362124.88,C1041427071,0.0,0.0,C329829198,4496702.45,5102121.72
8,TRANSFER,372303.15,C1469015613,0.0,0.0,C1052170153,884244.41,151635.37
8,TRANSFER,353840.77,C1214817879,0.0,0.0,C1778300121,1012423.43,3089439.33
8,TRANSFER,3236850.76,C594935031,148.0,0.0,C1452722471,50570.65,3197038.27
8,DEBIT,640.5,C169720820,36128.0,35487.5,C99509209,19926.0,0.0
8,CASH_OUT,221750.78,C646945284,79877.0,0.0,C1269336757,34791.0,0.0
8,CASH_OUT,287495.44,C727239324,15208.0,0.0,C323302928,17860.2,717277.68
8,CASH_OUT,354162.24,C667294020,206.0,0.0,C875917495,1236748.42,6097795.83
8,PAYMENT,7748.41,C1080280147,0.0,0.0,M451291617,0.0,0.0
8,CASH_IN,195613.53,C1996954635,25937.0,221550.53,C911380925,387531.75,348075.46
8,CASH_IN,209079.69,C1612457878,185181.0,394260.69,C736709391,33383.01,333394.92
8,CASH_IN,48300.73,C1040397978,394260.69,442561.43,C653745564,168115.49,2463244.43
8,CASH_IN,105993.59,C352434586,442561.43,548555.02,C577924039,109483.0,0.0
8,PAYMENT,13543.36,C1521027189,5189.0,0.0,M1527292961,0.0,0.0
8,CASH_OUT,304875.06,C2090401340,0.0,0.0,C1013700132,2347517.86,4619940.36
8,CASH_OUT,42710.48,C1691178332,0.0,0.0,C1626288305,44178.59,0.0
8,PAYMENT,9575.45,C1991574288,8005.0,0.0,M1753385035,0.0,0.0
8,CASH_OUT,152939.48,C1397813881,19913.0,0.0,C1616972331,14123.0,42525.46
8,PAYMENT,2129.18,C1572420346,36765.0,34635.82,M63578078,0.0,0.0
8,CASH_OUT,78785.27,C2138447676,22977.0,0.0,C323761934,8759.08,16629.35
