step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
10,PAYMENT,13061.48,C48889477,21417.0,8355.52,M1846159540,0.0,0.0
10,PAYMENT,24640.79,C792515776,8355.52,0.0,M96967051,0.0,0.0
10,PAYMENT,14574.27,C1217876576,17141.0,2566.73,M2003278926,0.0,0.0
10,CASH_OUT,423380.36,C1043647670,20954.0,0.0,C912252532,1477415.13,2415873.02
10,PAYMENT,10813.59,C117834042,265143.0,254329.41,M1978685416,0.0,0.0
10,TRANSFER,1882883.22,C1052647668,69898.0,0.0,C1777939053,12162.0,2271983.66
10,PAYMENT,16137.59,C645335785,95693.0,79555.41,M290439372,0.0,0.0
10,PAYMENT,2702.3,C1719110170,20898.0,18195.7,M687976352,0.0,0.0
10,CASH_OUT,342970.71,C926926891,18195.7,0.0,C837588739,1827293.9,1800930.78
10,PAYMENT,461.34,C1486432160,1550.0,1088.66,M48513523,0.0,0.0
10,PAYMENT,3738.81,C649888416,21490.0,17751.19,M1863022796,0.0,0.0
10,CASH_OUT,279427.93,C2126444202,28434.0,0.0,C571113365,8271112.52,8550540.45
10,CASH_IN,278697.37,C1593166679,103234.0,381931.37,C1492252108,136848.58,383718.82
10,CASH_OUT,33488.55,C471792555,381931.37,348442.81,C1192240143,1661876.43,2623145.79
10,CASH_IN,354705.84,C686243324,52788.0,407493.84,C719546194,43486.21,0.0
10,PAYMENT,15932.34,C560301548,329896.36,313964.02,M1371168228,0.0,0.0
10,PAYMENT,9561.31,C974272475,313964.02,304402.7,M730588600,0.0,0.0
10,PAYMENT,8411.55,C650928064,304402.7,295991.15,M622486400,0.0,0.0
10,CASH_IN,466502.13,C236790807,220317.86,686819.99,C2053726978,126012.23,0.0
10,PAYMENT,20148.16,C2052044361,686819.99,666671.83,M1052365983,0.0,0.0
10,PAYMENT,7743.78,C1212786347,136552.0,128808.22,M789777961,0.0,0.0
10,PAYMENT,842.32,C686360700,128808.22,127965.9,M1485061330,0.0,0.0
10,PAYMENT,25096.88,C1576908183,127965.9,102869.02,M1781045831,0.0,0.0
10,PAYMENT,8579.25,C182633878,125410.0,116830.75,M1945705140,0.0,0.0
10,PAYMENT,7147.32,C1125668945,85179.0,78031.68,M1833699543,0.0,0.0
10,PAYMENT,20789.09,C1897836189,495424.0,474634.91,M1242117808,0.0,0.0
10,CASH_OUT,630833.87,C1263678832,31359.0,0.0,C1420285572,312824.0,2725712.53
10,PAYMENT,1141.73,C1188402813,26310.0,25168.27,M1111208572,0.0,0.0
10,PAYMENT,29053.67,C1099210813,25168.27,0.0,M455603400,0.0,0.0
10,PAYMENT,8878.35,C1907097519,77776.0,68897.65,M1847331764,0.0,0.0
10,PAYMENT,15918.19,C176016130,22631.0,6712.81,M777580337,0.0,0.0
10,TRANSFER,1116367.13,C2112466,0.0,0.0,C540629758,115940.63,1232307.77
10,PAYMENT,10078.75,C250597833,0.0,0.0,M1789804237,0.0,0.0
10,PAYMENT,715.98,C57042382,4076.0,3360.02,M43593947,0.0,0.0
10,CASH_OUT,161312.14,C1913178328,2961.0,0.0,C631431512,69500.0,0.0
10,CASH_OUT,142587.59,C1774966786,19914.0,0.0,C323761934,110830.66,15258.21
10,PAYMENT,5071.97,C1504938208,18111.0,13039.03,M308770021,0.0,0.0
10,CASH_OUT,444954.64,C647831673,159.0,0.0,C538246534,0.0,150660.8
10,PAYMENT,10849.78,C295823200,12036.0,1186.22,M1418762556,0.0,0.0
10,CASH_OUT,379243.41,C2113478423,110505.0,0.0,C1109421585,635100.04,1471995.78
10,CASH_OUT,240330.12,C849897017,32016.0,0.0,C1671657651,1054.0,143641.39
10,CASH_OUT,23545.26,C741084651,22297.0,0.0,C590310947,53567.5,77112.75
10,PAYMENT,11170.92,C2082813995,68087.0,56916.08,M1234272543,0.0,0.0
10,CASH_OUT,110211.21,C955891642,45.0,0.0,C993553319,135962.96,1930417.62
10,CASH_IN,255134.69,C1953938971,0.0,255134.69,C1278362250,538169.92,239081.74
10,CASH_IN,30729.2,C558314718,255134.69,285863.89,C1073161843,153761.48,0.0
10,CASH_IN,175694.09,C1679540368,285863.89,461557.98,C1954751748,1227620.51,1135870.7
10,CASH_IN,205360.32,C292202438,461557.98,666918.3,C33603018,944180.45,240546.51
10,CASH_IN,264298.21,C1345144214,666918.3,931216.51,C2024554839,3649926.04,2909913.72
10,CASH_IN,63531.97,C1213495945,931216.51,994748.48,C218598269,1777757.56,2011297.98
10,CASH_IN,219509.62,C1928408147,994748.48,1214258.09,C520251006,233211.09,13701.47
10,CASH_IN,175635.2,C920777052,1214258.09,1389893.29,C1956477953,257550.58,0.0
10,CASH_IN,167589.51,C207229923,1389893.29,1557482.8,C898862917,1502974.29,2235192.02
10,CASH_IN,198533.71,C1731305683,1557482.8,1756016.51,C1211003759,375040.79,955948.75
10,CASH_IN,98220.55,C484023250,1756016.51,1854237.06,C280960713,990887.47,1021269.26
10,CASH_OUT,93960.91,C621539844,29824.0,0.0,C851079134,72814.0,166774.91
10,PAYMENT,10613.39,C2031237197,675536.0,664922.61,M323954820,0.0,0.0
10,CASH_IN,334278.8,C1125660212,462185.28,796464.08,C1238308127,1018952.47,727557.08
10,PAYMENT,18687.83,C972646273,796464.08,777776.25,M1363275939,0.0,0.0
10,PAYMENT,18304.59,C1000401159,39149.06,20844.47,M957075921,0.0,0.0
10,PAYMENT,17355.58,C1270643742,20844.47,3488.89,M363223330,0.0,0.0
10,PAYMENT,11725.33,C695366208,145406.0,133680.67,M1318108134,0.0,0.0
10,CASH_OUT,333776.89,C1717858982,24952.0,0.0,C1640624477,248012.45,581789.34
10,PAYMENT,30228.77,C1101813761,11475.79,0.0,M2071384582,0.0,0.0
10,TRANSFER,605396.74,C812779781,0.0,0.0,C1566158153,1.00170925E7,1.04041215E7
10,TRANSFER,57610.14,C1975954671,0.0,0.0,C1517016560,498100.82,555710.96
10,CASH_OUT,24398.99,C1443466758,124411.0,100012.01,C696705647,254490.27,441902.25
10,CASH_OUT,444451.83,C463634467,50123.0,0.0,C1654960215,378426.01,826904.23
10,PAYMENT,25998.17,C1001953395,69691.0,43692.83,M2077878847,0.0,0.0
10,PAYMENT,10003.19,C1639592700,137288.0,127284.81,M1846941040,0.0,0.0
10,PAYMENT,2313.46,C294810561,748641.0,746327.54,M623832030,0.0,0.0
10,PAYMENT,1036.14,C355668053,10086.0,9049.86,M1271937558,0.0,0.0
10,CASH_OUT,498145.36,C1230914774,140193.86,0.0,C1465813088,0.0,822833.03
10,CASH_OUT,454704.97,C461125176,0.0,0.0,C1892922524,5483304.98,6429794.36
10,CASH_OUT,175715.82,C373304506,0.0,0.0,C1411830789,455363.51,1117043.99
10,CASH_OUT,66692.5,C1552590062,0.0,0.0,C1886938557,350426.27,130204.72
10,CASH_OUT,8687.05,C1741239133,0.0,0.0,C2004947954,63826.79,72513.84
10,CASH_OUT,105956.61,C494802026,0.0,0.0,C108034745,1235514.13,1329581.52
10,CASH_OUT,25479.5,C172809859,0.0,0.0,C791710001,1940845.51,2291939.98
10,CASH_OUT,3259.46,C57194224,0.0,0.0,C1183572822,203461.96,206721.42
10,CASH_OUT,110233.37,C764755483,0.0,0.0,C993119318,584079.51,694312.88
10,CASH_OUT,228803.48,C1076212359,0.0,0.0,C788934076,1692875.1,2494244.32
10,CASH_OUT,54852.29,C745657542,0.0,0.0,C732929122,4993609.09,5380167.7
10,CASH_OUT,96697.53,C1793603726,0.0,0.0,C9633495,649129.87,2431231.93
10,CASH_OUT,99474.13,C1854518830,0.0,0.0,C444870547,238397.97,337872.1
