step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
21,TRANSFER,100151.57,C525682612,11503.0,0.0,C825468375,0.0,100151.57
21,PAYMENT,7579.09,C144480435,8729.0,1149.91,M1808389156,0.0,0.0
21,CASH_IN,120173.56,C1262865668,2236.0,122409.56,C861194583,79.0,0.0
21,TRANSFER,96089.2,C2123909951,122409.56,26320.36,C1808051559,2314957.03,2411046.24
21,CASH_IN,50734.25,C313331039,84329.0,135063.25,C944407195,0.0,0.0
21,CASH_OUT,117582.25,C929072090,99068.0,0.0,C1114454717,1034791.03,1152373.28
21,DEBIT,1794.85,C1378371039,10451.0,8656.15,C4995053,897872.78,899667.63
21,CASH_IN,125624.15,C1859468566,11659.0,137283.15,C554572940,295092.96,169468.81
21,PAYMENT,2665.3,C350749286,137283.15,134617.85,M665140594,0.0,0.0
21,PAYMENT,4409.09,C934515428,134617.85,130208.75,M1883845769,0.0,0.0
21,PAYMENT,1564.69,C610726868,130208.75,128644.06,M715523207,0.0,0.0
21,PAYMENT,1580.4,C27891589,128644.06,127063.66,M947717701,0.0,0.0
21,PAYMENT,8243.04,C722905805,79582.0,71338.96,M831389972,0.0,0.0
21,CASH_IN,158251.98,C2094447903,30858.0,189109.98,C1201310032,146501.99,0.0
21,CASH_OUT,11146.19,C743031790,49173.0,38026.81,C1958561859,171223.49,182369.68
21,TRANSFER,669081.45,C840385640,20645.0,0.0,C1565966579,0.0,669081.45
21,PAYMENT,2201.67,C1934648735,10948.0,8746.33,M975634607,0.0,0.0
21,CASH_IN,202928.67,C1477702326,8030.0,210958.67,C247934335,2261731.86,2058803.19
21,CASH_OUT,148397.15,C1353701848,210958.67,62561.53,C1860726150,154483.75,302880.89
21,CASH_OUT,92922.53,C547566287,4463.0,0.0,C2025585778,122315.24,215237.77
21,PAYMENT,6671.48,C570649612,0.0,0.0,M1707261112,0.0,0.0
21,PAYMENT,14569.31,C1267587265,0.0,0.0,M1921105461,0.0,0.0
21,CASH_IN,116923.45,C1264308069,40142.0,157065.45,C1085922461,752295.69,635372.24
21,PAYMENT,3652.52,C999071178,157065.45,153412.93,M509743530,0.0,0.0
21,PAYMENT,6011.91,C1642951749,153412.93,147401.03,M1951969274,0.0,0.0
21,PAYMENT,9669.79,C736431734,335.0,0.0,M621065697,0.0,0.0
21,CASH_IN,202321.13,C801223256,15896.0,218217.13,C34286387,0.0,0.0
21,CASH_OUT,22406.92,C509079333,9292.0,0.0,C1506367632,0.0,22406.92
21,PAYMENT,746.82,C490918951,0.0,0.0,M493470163,0.0,0.0
21,PAYMENT,6211.27,C1058599764,0.0,0.0,M504827221,0.0,0.0
21,CASH_OUT,16380.74,C369037660,51436.0,35055.26,C1863526573,2920328.65,2885807.65
21,PAYMENT,817.92,C1179336041,4340.0,3522.08,M1051845799,0.0,0.0
21,PAYMENT,8350.52,C418003841,15817.0,7466.48,M1978842161,0.0,0.0
21,PAYMENT,5990.8,C1783457683,5322.0,0.0,M1533551265,0.0,0.0
21,CASH_OUT,93871.51,C303512702,404.0,0.0,C1236806377,0.0,93871.51
21,PAYMENT,7056.71,C1927547193,517.0,0.0,M1939114249,0.0,0.0
21,CASH_OUT,228846.01,C1769197808,52060.0,0.0,C2060517537,1216910.0,1445756.02
21,PAYMENT,7871.36,C1118631276,647654.0,639782.64,M273908161,0.0,0.0
21,TRANSFER,1004451.4,C1196985859,11653.0,0.0,C1519708858,1131.0,1005582.4
21,PAYMENT,2641.24,C819667528,92.0,0.0,M360298154,0.0,0.0
21,CASH_OUT,196372.21,C422080589,43770.0,0.0,C324226202,710525.2,906897.41
21,PAYMENT,7321.17,C444849661,0.0,0.0,M1940092295,0.0,0.0
21,TRANSFER,65521.87,C725041599,80436.0,14914.13,C1306085681,91970.15,157492.02
21,DEBIT,3362.07,C1900537484,31145.0,27782.93,C287178653,578658.21,582020.29
21,PAYMENT,150.43,C1966059884,24603.0,24452.57,M499711235,0.0,0.0
21,PAYMENT,215.99,C216231356,24452.57,24236.58,M1121880362,0.0,0.0
21,PAYMENT,2693.75,C1249043660,15441.0,12747.25,M277362788,0.0,0.0
21,PAYMENT,13890.57,C126957892,79688.0,65797.43,M825255749,0.0,0.0
21,PAYMENT,10980.13,C1815716139,65797.43,54817.31,M1025765328,0.0,0.0
21,PAYMENT,4309.42,C863418921,50496.0,46186.58,M21948749,0.0,0.0
21,PAYMENT,4.15,C543109302,46186.58,46182.43,M44045826,0.0,0.0
21,PAYMENT,7337.38,C67191693,32014.0,24676.62,M1928578753,0.0,0.0
21,TRANSFER,220290.44,C728793769,24676.62,0.0,C817405398,1354085.27,1574375.72
21,TRANSFER,196146.38,C694321603,0.0,0.0,C2015263217,731417.31,985572.99
21,TRANSFER,1341321.67,C661758537,0.0,0.0,C1016981311,1538552.7,2879874.37
21,TRANSFER,674115.63,C1272495528,0.0,0.0,C1795026220,2258712.59,2932828.22
21,TRANSFER,2658530.31,C1687292848,0.0,0.0,C1049795740,5416033.63,8074563.94
21,TRANSFER,192348.58,C1497621112,0.0,0.0,C1480093219,725531.28,917879.86
21,TRANSFER,1040295.0,C1930060019,0.0,0.0,C911380925,4325978.99,5366274.0
21,TRANSFER,757474.79,C2100405959,0.0,0.0,C1750350389,4134552.62,4892027.4
21,TRANSFER,151847.27,C160099674,0.0,0.0,C449961778,189997.22,341844.49
21,TRANSFER,1126388.23,C1335664177,0.0,0.0,C1692119129,1323891.6,2450279.83
21,TRANSFER,1038245.84,C1873896137,0.0,0.0,C916641446,6437734.5,7475980.35
21,TRANSFER,1020200.67,C524744294,0.0,0.0,C2046542498,2364605.67,3384806.33
21,CASH_OUT,160466.51,C1106786537,424992.0,264525.49,C859193874,949018.57,1109485.08
21,CASH_OUT,81037.68,C1782471665,101128.0,20090.32,C256786165,628903.65,709941.32
21,PAYMENT,4483.52,C243129173,20090.32,15606.81,M639695162,0.0,0.0
21,PAYMENT,2400.14,C639611495,855.0,0.0,M1046905990,0.0,0.0
21,PAYMENT,3675.05,C1587627884,0.0,0.0,M2137627819,0.0,0.0
21,CASH_IN,136359.73,C608077227,61825.0,198184.73,C1937294500,6140090.83,6003731.1
21,PAYMENT,767.31,C787904286,198184.73,197417.42,M2058936203,0.0,0.0
21,CASH_OUT,163406.97,C1233623219,27872.0,0.0,C1648692463,158080.36,321487.33
21,PAYMENT,4357.63,C423907317,206813.0,202455.37,M68650308,0.0,0.0
21,PAYMENT,3611.71,C955205322,202455.37,198843.66,M1297617764,0.0,0.0
21,PAYMENT,3710.76,C1985529565,198843.66,195132.9,M1323127031,0.0,0.0
21,PAYMENT,19225.69,C214337264,7002.0,0.0,M25720639,0.0,0.0
21,CASH_OUT,141469.43,C827729917,11147.0,0.0,C479263037,641819.88,783289.3
21,CASH_OUT,53307.78,C354980808,76250.0,22942.22,C876080387,1004652.96,1057960.74
21,PAYMENT,3857.4,C769746587,22212.0,18354.6,M1863507351,0.0,0.0
21,PAYMENT,122.4,C1878746695,179.0,56.6,M1042026147,0.0,0.0
21,PAYMENT,23760.96,C418341445,56.6,0.0,M1634269866,0.0,0.0
21,PAYMENT,136.54,C1427464606,167110.0,166973.46,M195167369,0.0,0.0
21,PAYMENT,13719.61,C1748808434,121194.0,107474.39,M1319610613,0.0,0.0
21,CASH_OUT,154001.92,C817899822,29845.0,0.0,C1158899502,170046.78,324048.7
21,PAYMENT,7458.04,C727574003,0.0,0.0,M645622088,0.0,0.0
21,PAYMENT,1381.83,C1441308018,0.0,0.0,M1682986936,0.0,0.0
21,PAYMENT,6322.34,C551961788,42518.0,36195.66,M1571444929,0.0,0.0
21,PAYMENT,1851.31,C1278762251,36195.66,34344.36,M716390051,0.0,0.0
21,CASH_OUT,64522.54,C945966317,187.0,0.0,C1507061714,0.0,64522.54
21,PAYMENT,7711.63,C922838896,45725.0,38013.37,M970957982,0.0,0.0
21,PAYMENT,10136.87,C178967328,38013.37,27876.5,M537256892,0.0,0.0
21,PAYMENT,21509.51,C478362155,689201.0,667691.49,M1480361585,0.0,0.0
21,CASH_OUT,81060.28,C80969093,1162.0,0.0,C2120566940,58125.67,139185.95
21,PAYMENT,3641.78,C197420704,0.0,0.0,M236148625,0.0,0.0
21,TRANSFER,29475.4,C840976172,220754.0,191278.6,C1974895957,2422650.37,2452125.77
21,CASH_IN,57969.38,C763378616,191278.6,249247.99,C308249257,3120638.07,3062668.69
21,CASH_IN,198479.21,C89762254,249247.99,447727.19,C529406677,199163.12,683.91
21,CASH_IN,335679.38,C300079403,447727.19,783406.57,C1562852586,402853.97,67174.59
21,CASH_IN,403600.96,C558621980,783406.57,1187007.53,C656113585,1829710.61,1867913.22
21,CASH_IN,285826.81,C221927286,1187007.53,1472834.34,C1025530795,2558687.64,2272860.83
21,CASH_IN,680518.92,C1172670662,1472834.34,2153353.26,C2011763876,823297.56,142778.64
21,CASH_IN,459192.89,C1120479952,2153353.26,2612546.15,C1356054329,2299215.13,1840022.24
21,CASH_IN,535960.86,C1012155536,2612546.15,3148507.01,C1149365528,1049218.38,513257.53
21,CASH_IN,146214.7,C1670002059,3148507.01,3294721.71,C1317586615,261172.28,114957.58
21,CASH_IN,551283.21,C171979396,3294721.71,3846004.92,C384062473,1513362.73,962079.53
