step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
13,CASH_OUT,221034.38,C1620409482,20245.0,0.0,C282017325,0.0,221034.38
13,CASH_OUT,291044.99,C1731130021,389210.3,98165.32,C532306141,0.0,291044.99
13,PAYMENT,16089.45,C1416941423,98165.32,82075.87,M1517533853,0.0,0.0
13,PAYMENT,23348.94,C290061429,155234.0,131885.06,M23236387,0.0,0.0
13,PAYMENT,13166.02,C1939814359,131885.06,118719.04,M880794731,0.0,0.0
13,PAYMENT,32779.39,C1779119301,32427.0,0.0,M2131080496,0.0,0.0
13,PAYMENT,17036.91,C1965954184,0.0,0.0,M1073218242,0.0,0.0
13,CASH_IN,111006.79,C208057572,1196.0,112202.79,C1463942959,5053479.35,8714990.31
13,PAYMENT,382.05,C1587031149,12054.0,11671.95,M1528297826,0.0,0.0
13,CASH_OUT,105778.36,C604376784,39674.0,0.0,C920484824,1091046.26,1674707.45
13,PAYMENT,35481.1,C503205664,105072.0,69590.9,M43705270,0.0,0.0
13,TRANSFER,374510.58,C1721947758,43496.0,0.0,C1220911229,6661626.59,7225222.68
13,CASH_OUT,186582.65,C1917203684,20315.0,0.0,C99872915,743981.87,930564.52
13,TRANSFER,779226.94,C498004675,120420.0,0.0,C1508364204,5001.0,275388.4
13,CASH_IN,21483.29,C1224484243,59833.0,81316.29,C1658942503,273896.54,10040.09
13,CASH_IN,19668.32,C941460292,3404.0,23072.32,C1213637351,54863.77,35195.45
13,CASH_OUT,316622.54,C2076146103,10139.0,0.0,C601273889,3047150.56,3363773.09
13,TRANSFER,782869.45,C300786921,140965.0,0.0,C1487810622,0.0,782869.45
13,DEBIT,3710.62,C940887034,39116.0,35405.38,C773358407,161929.52,0.0
13,CASH_IN,122388.45,C1820794903,147277.0,269665.45,C679893395,149435.55,27047.1
13,CASH_IN,104109.44,C1819643633,26451.0,130560.44,C2139106882,3949330.89,3958848.01
13,TRANSFER,496292.08,C281257338,130560.44,0.0,C351240345,986887.4,1971795.17
13,TRANSFER,785612.77,C236386179,0.0,0.0,C604555852,4591359.29,6322125.0
13,TRANSFER,74096.0,C1531247054,0.0,0.0,C1244093207,1508743.77,1784085.93
13,TRANSFER,118015.12,C461829713,0.0,0.0,C1829344035,269202.87,387217.99
13,TRANSFER,807260.57,C375617582,0.0,0.0,C872485269,1651109.55,2814704.55
13,TRANSFER,627081.02,C804269966,0.0,0.0,C987060415,2455038.34,6632427.74
13,TRANSFER,216074.22,C1392916791,0.0,0.0,C2029406675,2020468.91,3174967.49
13,TRANSFER,294903.13,C2141088120,0.0,0.0,C1564787278,4025065.83,4319968.95
13,TRANSFER,262344.83,C1924254893,0.0,0.0,C1000630508,697030.5,1025757.49
13,TRANSFER,145761.49,C1544749354,0.0,0.0,C1680365536,235745.64,406026.95
13,TRANSFER,357893.47,C1044272158,0.0,0.0,C865922491,3795956.42,4215045.95
13,TRANSFER,189073.26,C845623048,0.0,0.0,C1972739201,766315.64,1017997.24
13,TRANSFER,963190.59,C1322207565,0.0,0.0,C345891541,1630353.21,2611815.04
13,CASH_OUT,122293.24,C177282031,51571.0,0.0,C705480294,1663387.55,2060274.39
13,PAYMENT,8451.01,C1187196935,0.0,0.0,M1297565880,0.0,0.0
13,PAYMENT,17938.9,C2036790654,0.0,0.0,M2066405342,0.0,0.0
13,PAYMENT,3254.34,C607556532,0.0,0.0,M1397951746,0.0,0.0
13,CASH_OUT,561436.96,C500223763,0.0,0.0,C1378215782,855859.37,1417296.33
13,CASH_OUT,109914.3,C812220240,0.0,0.0,C2144647660,556450.54,666364.84
13,CASH_OUT,249891.38,C542302682,0.0,0.0,C869030806,420343.64,379647.35
13,CASH_OUT,70063.93,C1805833167,0.0,0.0,C1804883318,6800457.42,6979323.81
13,CASH_OUT,204110.56,C1888559615,0.0,0.0,C1737918957,7516370.34,7720480.9
13,CASH_OUT,233403.83,C192500546,0.0,0.0,C360804355,699445.75,932849.58
13,CASH_OUT,146946.48,C1007824838,0.0,0.0,C723021488,1867813.9,1850896.9
13,CASH_OUT,126327.23,C1096003360,0.0,0.0,C701855966,1828745.97,2136303.24
13,CASH_OUT,43051.37,C951382060,0.0,0.0,C1888151451,276354.21,319405.59
13,CASH_OUT,48007.2,C2031503163,0.0,0.0,C1577826863,363318.48,411325.68
13,CASH_OUT,35425.33,C1414998976,0.0,0.0,C1698707072,1442875.67,1478301.0
13,CASH_IN,511699.79,C136426693,14769.0,526468.79,C1297342391,378830.04,0.0
