step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
11,CASH_OUT,361489.71,C1721094820,19111.0,0.0,C1131138067,0.0,13277.21
11,CASH_OUT,490908.5,C303404123,14688.0,0.0,C483370168,46331.87,537240.36
11,CASH_IN,308605.41,C47112015,53074.0,361679.41,C1794607688,1980718.09,4580208.79
11,PAYMENT,19598.84,C146233901,1192108.08,1172509.23,M1090496877,0.0,0.0
11,TRANSFER,514117.49,C2130074213,1172509.23,658391.74,C1996526533,784590.77,812630.85
11,PAYMENT,5837.97,C179754579,72776.0,66938.03,M945984282,0.0,0.0
11,CASH_IN,198248.69,C90956218,41232.0,239480.69,C715907650,1700692.91,2806941.66
11,CASH_OUT,816078.18,C1224910336,67097.0,0.0,C1541125198,0.0,2337723.27
11,CASH_OUT,538576.41,C1966798141,661.0,0.0,C630085121,0.0,368058.75
11,CASH_OUT,31050.93,C1508659907,21409.0,0.0,C1173563346,31314.0,0.0
11,CASH_OUT,16085.12,C55582325,1083.0,0.0,C883481793,31291.0,367314.78
11,CASH_IN,418419.15,C1606322873,107002.0,525421.15,C1121002285,0.0,0.0
11,PAYMENT,8584.88,C2098143086,5200.0,0.0,M1187917894,0.0,0.0
11,PAYMENT,22965.41,C1173237084,22275.0,0.0,M1848548378,0.0,0.0
11,CASH_IN,190432.27,C1801394910,82518.0,272950.27,C834334360,82680.33,0.0
11,CASH_OUT,497753.33,C1545886707,31831.0,0.0,C1881960472,712694.47,2288249.41
11,PAYMENT,990.67,C1746147814,0.0,0.0,M1916831410,0.0,0.0
11,PAYMENT,8550.15,C1633348558,45513.0,36962.85,M534761429,0.0,0.0
11,PAYMENT,651.41,C1464610529,36962.85,36311.44,M558847916,0.0,0.0
11,PAYMENT,3013.14,C394124496,50367.0,47353.86,M1992099981,0.0,0.0
11,PAYMENT,5747.89,C1076890525,47353.86,41605.97,M454673920,0.0,0.0
11,CASH_OUT,23421.75,C1660621551,2507.0,0.0,C14289904,41755.0,65176.75
11,CASH_OUT,105529.59,C2082248541,5264.0,0.0,C1522840787,0.0,200153.74
11,PAYMENT,8504.27,C1018169248,0.0,0.0,M1775038448,0.0,0.0
