step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
14,CASH_OUT,248247.96,C125577948,22326.0,0.0,C1804168461,787662.45,1035910.41
14,CASH_IN,7088.78,C1302427477,200145.0,207233.78,C934300202,1971671.36,1964582.58
14,CASH_OUT,53215.85,C2107239855,207233.78,154017.93,C1553848604,1616090.86,1669306.71
14,CASH_OUT,352877.68,C2052428626,154017.93,0.0,C685802025,498131.54,851009.21
14,CASH_OUT,116101.94,C471432206,0.0,0.0,C1627055761,953681.28,1069783.22
14,CASH_OUT,90201.9,C1514453767,0.0,0.0,C1144869775,347766.0,437967.9
14,CASH_OUT,151007.19,C1745015157,0.0,0.0,C975681160,738272.05,889279.24
14,CASH_OUT,100934.73,C1041956900,0.0,0.0,C1669546416,291693.29,975134.21
14,CASH_OUT,132257.93,C1765143269,0.0,0.0,C708943249,240777.99,373035.92
14,CASH_OUT,192065.73,C383184967,0.0,0.0,C2130872679,1644441.26,1836506.99
14,CASH_OUT,9347.54,C1755386513,0.0,0.0,C1491213790,5646361.08,5655708.62
14,CASH_OUT,35689.33,C240985473,0.0,0.0,C686805794,520244.0,0.0
14,CASH_IN,133112.97,C1220103285,20687.0,153799.97,C271894137,2274656.61,2141543.65
14,CASH_OUT,161936.71,C1775028717,153799.97,0.0,C1726408169,1427200.99,1589137.7
14,TRANSFER,753328.07,C161053663,31226.0,0.0,C425902101,173839.65,927167.72
14,CASH_OUT,6386.94,C1854879296,272758.14,266371.2,C1893299627,0.0,6386.94
14,CASH_OUT,25851.15,C1817646336,266371.2,240520.05,C1568703436,38798.16,64649.31
14,CASH_OUT,700139.63,C1666919110,22215.0,0.0,C582111174,2087167.94,2787307.57
14,PAYMENT,3909.04,C559866609,0.0,0.0,M922021292,0.0,0.0
14,PAYMENT,7118.57,C1650397543,0.0,0.0,M1491606256,0.0,0.0
14,CASH_OUT,81344.64,C242692726,105040.0,23695.36,C901623794,996233.59,1077578.24
14,CASH_OUT,3461.5,C536819609,35221.0,31759.5,C1937871407,0.0,3461.5
14,PAYMENT,2383.57,C87152936,823.0,0.0,M488008932,0.0,0.0
14,TRANSFER,315409.24,C717560242,4515.0,0.0,C1048494489,0.0,88106.55
14,CASH_OUT,287729.91,C1289793676,0.0,0.0,C913400302,1335259.98,1622989.89
14,CASH_OUT,86499.23,C1192478881,0.0,0.0,C957917689,234504.41,321003.64
14,CASH_OUT,44464.18,C1766649323,0.0,0.0,C212778231,468929.17,506451.14
14,CASH_OUT,163935.07,C1808167417,0.0,0.0,C491446721,1198371.55,1637696.56
14,CASH_OUT,123279.88,C577489117,0.0,0.0,C1504420803,1052379.26,1175659.15
14,CASH_OUT,143942.49,C2070170353,0.0,0.0,C195132477,2185143.06,2396616.35
14,CASH_OUT,136799.79,C1976157123,0.0,0.0,C223031720,1368144.2,1760501.11
14,CASH_OUT,61715.27,C769146170,0.0,0.0,C1170436567,902550.76,964266.03
14,CASH_OUT,106100.59,C1359558012,0.0,0.0,C266352984,3156142.18,3262242.78
14,CASH_OUT,225719.47,C149151342,0.0,0.0,C547350274,575856.79,801576.26
14,PAYMENT,9305.67,C856675178,47078.0,37772.33,M1607600604,0.0,0.0
14,PAYMENT,3136.68,C1206412687,37772.33,34635.65,M1374606258,0.0,0.0
14,PAYMENT,12072.52,C473419366,34635.65,22563.13,M1407498453,0.0,0.0
14,PAYMENT,15541.95,C1462004539,22563.13,7021.18,M1886409006,0.0,0.0
14,PAYMENT,5475.74,C1385620920,7021.18,1545.44,M616746287,0.0,0.0
14,PAYMENT,6305.9,C1355487039,1545.44,0.0,M583062825,0.0,0.0
14,PAYMENT,2644.42,C1193168876,0.0,0.0,M1963415957,0.0,0.0
14,PAYMENT,11842.22,C2113788645,0.0,0.0,M1504715246,0.0,0.0
14,PAYMENT,7928.35,C1818518555,0.0,0.0,M593511411,0.0,0.0
14,PAYMENT,9522.2,C819568520,0.0,0.0,M1757308716,0.0,0.0
14,PAYMENT,8071.35,C657822364,5119.0,0.0,M107684434,0.0,0.0
14,PAYMENT,279.2,C2050148552,0.0,0.0,M1630427045,0.0,0.0
14,PAYMENT,3127.94,C1787070574,0.0,0.0,M891440862,0.0,0.0
14,PAYMENT,33726.08,C1497015354,0.0,0.0,M1253725127,0.0,0.0
14,PAYMENT,3456.4,C70481158,0.0,0.0,M599822304,0.0,0.0
14,PAYMENT,16961.6,C802677974,0.0,0.0,M938192512,0.0,0.0
14,PAYMENT,14503.04,C678393406,0.0,0.0,M267862876,0.0,0.0
14,PAYMENT,12313.53,C529983264,0.0,0.0,M1969473020,0.0,0.0
14,PAYMENT,12859.86,C653165544,0.0,0.0,M330750410,0.0,0.0
14,PAYMENT,10303.65,C993104763,0.0,0.0,M1352072644,0.0,0.0
14,PAYMENT,5094.52,C45471229,0.0,0.0,M661136616,0.0,0.0
14,PAYMENT,5340.96,C276156725,0.0,0.0,M2003465762,0.0,0.0
14,PAYMENT,10797.83,C1541168911,0.0,0.0,M1031106552,0.0,0.0
14,PAYMENT,32579.77,C53996826,0.0,0.0,M667435064,0.0,0.0
14,CASH_OUT,10401.46,C517298153,40632.0,30230.54,C129256058,0.0,10401.46
14,PAYMENT,6568.22,C139059556,10336.0,3767.78,M875201098,0.0,0.0
14,PAYMENT,17941.25,C1359400311,3767.78,0.0,M1700307617,0.0,0.0
14,CASH_OUT,321899.47,C576535983,273557.0,0.0,C610018122,0.0,321899.47
14,PAYMENT,6671.01,C1107673980,0.0,0.0,M630178622,0.0,0.0
14,PAYMENT,7140.46,C98705540,14610.0,7469.54,M1310315986,0.0,0.0
14,CASH_IN,7068.66,C585883982,6052.0,13120.66,C513222306,532451.46,501065.3
14,TRANSFER,934404.44,C2032554014,28795.0,0.0,C1108093045,352838.92,1287243.36
14,PAYMENT,21463.12,C1842653630,20613.0,0.0,M1843611283,0.0,0.0
14,PAYMENT,5485.5,C285162480,0.0,0.0,M1536307025,0.0,0.0
14,PAYMENT,14830.05,C323216580,0.0,0.0,M1692659681,0.0,0.0
14,CASH_OUT,446484.44,C229275702,13698.0,0.0,C1554796237,46679.54,493163.98
14,CASH_OUT,84127.59,C1200109173,247344.0,163216.41,C1293730363,0.0,84127.59
14,CASH_OUT,164472.42,C1273073540,7156.0,0.0,C1287782964,61051.0,225523.42
14,PAYMENT,19104.48,C805760510,39363.0,20258.52,M1848858624,0.0,0.0
14,CASH_OUT,172747.44,C1754193965,140121.0,0.0,C1809586539,327798.15,500545.59
14,CASH_OUT,81191.99,C802479895,194.0,0.0,C634288586,0.0,81191.99
14,PAYMENT,5098.93,C674938382,79411.0,74312.07,M1555894353,0.0,0.0
14,PAYMENT,2176.98,C1127029859,116655.0,114478.02,M1242062710,0.0,0.0
14,CASH_OUT,400654.22,C926896887,80318.0,0.0,C254107271,79499.0,751165.58
14,PAYMENT,2379.48,C62186457,1645.0,0.0,M676407752,0.0,0.0
14,CASH_OUT,220201.27,C548024411,18444.0,0.0,C356793986,0.0,421330.4
14,CASH_OUT,156790.44,C1833924179,12412.0,0.0,C1290402961,0.0,203800.0
14,CASH_OUT,271593.85,C1229060616,0.0,0.0,C1848586606,3742996.57,4014590.42
14,CASH_IN,108710.01,C1761580417,9971.0,118681.01,C910408510,135404.24,26694.23
14,CASH_IN,283479.61,C430331949,100955.0,384434.61,C1712496369,0.0,0.0
14,CASH_OUT,40495.39,C256723108,460.0,0.0,C1640183084,805691.48,846186.86
14,CASH_IN,214042.12,C1226466047,49670.0,263712.12,C1882789841,289284.98,75242.86
