step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
59,TRANSFER,394388.09,C1625333778,394388.09,0.0,C940087282,0.0,0.0
59,CASH_OUT,394388.09,C1802030448,394388.09,0.0,C707965723,1260564.49,1654952.58
59,TRANSFER,3904257.51,C1648039979,3904257.51,0.0,C1502171587,0.0,0.0
59,CASH_OUT,3904257.51,C280132554,3904257.51,0.0,C858291954,0.0,3904257.51
59,TRANSFER,3857176.83,C1675721447,3857176.83,0.0,C892636220,0.0,0.0
59,CASH_OUT,3857176.83,C1585480308,3857176.83,0.0,C78663667,228541.62,4085718.45
59,TRANSFER,21174.45,C1690317775,21174.45,0.0,C1829927547,0.0,0.0
59,CASH_OUT,21174.45,C1739548854,21174.45,0.0,C240278716,31409.08,52583.53
59,TRANSFER,192765.49,C267452646,192765.49,0.0,C243306413,0.0,0.0
59,CASH_OUT,192765.49,C1429774414,192765.49,0.0,C764672612,3252407.57,3445173.06
59,TRANSFER,1011606.26,C813936493,1011606.26,0.0,C1382261132,0.0,0.0
59,CASH_OUT,1011606.26,C754293523,1011606.26,0.0,C1247187194,0.0,1011606.26
59,TRANSFER,2050727.81,C721700955,2050727.81,0.0,C1996747267,0.0,0.0
59,CASH_OUT,2050727.81,C992917413,2050727.81,0.0,C104038589,0.0,2050727.81
59,TRANSFER,9748.89,C385589098,9748.89,0.0,C1606057909,0.0,0.0
59,CASH_OUT,9748.89,C383165349,9748.89,0.0,C868497487,180869.12,190618.01
59,TRANSFER,44733.5,C521758644,44733.5,0.0,C1703221504,0.0,0.0
59,CASH_OUT,44733.5,C1363437677,44733.5,0.0,C1445811732,2534461.11,2579194.61
59,TRANSFER,1367340.03,C453950944,1367340.03,0.0,C1875884022,0.0,0.0
59,CASH_OUT,1367340.03,C954658479,1367340.03,0.0,C845870432,296833.6,1664173.63
