step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
111,TRANSFER,3595911.39,C2078704475,3595911.39,0.0,C248250646,0.0,0.0
111,CASH_OUT,3595911.39,C1877698691,3595911.39,0.0,C1757559397,82970.96,3678882.35
111,TRANSFER,98692.72,C782313486,98692.72,0.0,C280090898,0.0,0.0
111,CASH_OUT,98692.72,C982480526,98692.72,0.0,C1665025289,67599.16,166291.88
111,TRANSFER,1129884.18,C211453570,1129884.18,0.0,C1975305951,0.0,0.0
111,CASH_OUT,1129884.18,C1714764214,1129884.18,0.0,C2126609733,510421.5,1640305.68
111,TRANSFER,574709.63,C1494632213,574709.63,0.0,C664508349,0.0,0.0
111,CASH_OUT,574709.63,C132473843,574709.63,0.0,C101909578,0.0,574709.63
111,TRANSFER,501496.31,C1595104027,501496.31,0.0,C643646528,0.0,0.0
111,CASH_OUT,501496.31,C279192006,501496.31,0.0,C2046472223,0.0,501496.31
