step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
18,PAYMENT,1069.67,C1056716307,100766.0,99696.33,M435301485,0.0,0.0
18,TRANSFER,311028.85,C133201723,31342.0,0.0,C1526448702,296810.56,607839.4
18,CASH_OUT,223112.83,C1107623111,5088.0,0.0,C460360775,694591.91,917704.73
18,PAYMENT,733.15,C496436794,33281.0,32547.85,M353292449,0.0,0.0
18,CASH_IN,203995.89,C285441180,53.0,204048.89,C613801234,1211619.4,1007623.51
18,CASH_OUT,98593.69,C1946441919,22036.0,0.0,C968614268,1300698.45,1399292.14
18,CASH_IN,287625.88,C1359427283,24878.0,312503.88,C1010863449,96.0,0.0
18,PAYMENT,15447.65,C854552458,28592.0,13144.35,M939659991,0.0,0.0
18,CASH_IN,111919.61,C1846899912,2406.0,114325.61,C367959555,0.0,0.0
18,TRANSFER,33845.84,C114062967,114325.61,80479.77,C1829300505,267843.6,301689.44
18,TRANSFER,515069.03,C1326893595,24963.0,0.0,C1354269090,16537.75,395094.18
18,CASH_OUT,66530.58,C1739255172,0.0,0.0,C1656761227,375644.35,442174.93
18,CASH_OUT,194838.54,C576485005,0.0,0.0,C1171142045,260115.01,454953.55
18,CASH_OUT,28700.16,C1204212607,0.0,0.0,C869110370,1164958.03,1193658.2
18,CASH_OUT,632.43,C1056542606,0.0,0.0,C1514002870,50687.01,51319.44
18,CASH_OUT,68006.24,C244286232,0.0,0.0,C1186893363,330407.64,398413.88
18,CASH_OUT,170401.64,C1327916122,0.0,0.0,C658759267,415685.52,586087.15
18,CASH_OUT,260286.55,C1040845802,0.0,0.0,C370428315,1722071.76,1982358.31
18,CASH_OUT,74796.13,C1283286618,0.0,0.0,C1135161133,265054.28,208216.89
18,CASH_OUT,361213.73,C1041808270,0.0,0.0,C1404867668,1264783.59,1625997.32
18,CASH_OUT,38043.69,C1121983651,0.0,0.0,C822359325,97252.58,135296.26
18,CASH_OUT,502442.21,C744168014,0.0,0.0,C734711541,665484.48,1167926.69
18,CASH_OUT,185065.93,C196343337,0.0,0.0,C2075529855,222175.75,407241.68
18,CASH_OUT,76079.62,C1879898138,0.0,0.0,C332863491,436791.92,132478.05
18,CASH_OUT,351107.7,C843839420,0.0,0.0,C1651924497,5090980.25,5442087.95
18,CASH_OUT,320413.37,C1186337489,0.0,0.0,C609116570,7104186.01,7438597.89
18,CASH_OUT,30665.57,C1377871504,0.0,0.0,C1852790850,3215119.61,3245785.18
18,CASH_OUT,70914.46,C1174100198,0.0,0.0,C1788444346,672982.61,743897.07
18,CASH_OUT,151823.99,C677421554,10736.0,0.0,C1285422987,105173.0,69366.32
18,CASH_IN,179189.85,C1588989621,102753.0,281942.85,C641453100,29706.0,0.0
18,CASH_OUT,165056.88,C158676949,10176.0,0.0,C2088436643,0.0,165056.88
18,CASH_OUT,399484.93,C374764149,107.0,0.0,C468105021,1624706.26,2024191.19
18,CASH_OUT,47508.51,C999571068,31071.0,0.0,C1858807817,5532416.07,5579924.58
18,CASH_OUT,146016.06,C1438211101,18998.0,0.0,C442086721,0.0,146016.06
18,CASH_OUT,116224.37,C1968313056,0.0,0.0,C771303504,8460182.13,8576406.5
18,CASH_OUT,101271.82,C1353847781,5037.0,0.0,C215201917,99950.3,201222.12
18,CASH_IN,80514.85,C1246736465,5092.0,85606.85,C1336487891,242777.46,162262.62
18,PAYMENT,12384.03,C1426674865,20688.0,8303.97,M816417250,0.0,0.0
18,CASH_OUT,236031.83,C1891932457,8303.97,0.0,C1158805146,1167217.36,1403249.19
18,CASH_OUT,37758.38,C1195270744,21103.0,0.0,C1328991385,5337303.32,5375061.7
18,TRANSFER,1310870.07,C1485642450,100626.0,0.0,C495185250,56807.34,1367677.4
18,CASH_OUT,71795.79,C605515448,66744.0,0.0,C730585383,2392854.88,2464650.67
18,TRANSFER,665026.2,C1884206786,10182.0,0.0,C977923705,263773.57,928799.77
18,CASH_IN,90954.01,C1154889265,13289.0,104243.01,C736526399,1155645.73,1064691.72
18,CASH_IN,458.87,C1958608883,771.0,1229.87,C1477591142,8945968.39,9002150.21
18,CASH_IN,135546.93,C1799368050,501.0,136047.93,C1316168429,1287925.67,1152378.74
18,CASH_OUT,262566.72,C1857912446,19968.0,0.0,C1224232011,61437.62,324004.34
18,CASH_OUT,306546.65,C464497190,32020.0,0.0,C1097384505,36524.0,343070.65
18,CASH_OUT,73094.53,C16157895,0.0,0.0,C1543735785,77338.25,150432.78
18,CASH_IN,147724.76,C1790384662,15603.0,163327.76,C633195824,50101.0,0.0
18,CASH_OUT,144103.91,C1870452656,20364.0,0.0,C1173121971,642058.22,786162.12
18,PAYMENT,13458.95,C165981923,21850.0,8391.05,M1036032940,0.0,0.0
18,CASH_OUT,37489.34,C1869959592,30457.0,0.0,C1247626959,650881.0,688370.34
18,PAYMENT,346.38,C1723718305,2170.0,1823.62,M1250091811,0.0,0.0
18,CASH_IN,77305.81,C1940261924,20356.0,97661.81,C1162775738,4819835.47,4969272.84
18,CASH_IN,76029.59,C907799529,50699.0,126728.59,C1023526764,3123202.68,3047173.09
18,PAYMENT,2049.16,C1048270681,66.0,0.0,M1673343054,0.0,0.0
18,CASH_IN,111637.28,C540661553,10068.0,121705.28,C57767498,2149613.14,2037975.86
18,TRANSFER,400601.66,C1234449532,121705.28,0.0,C1772301094,850564.41,1601219.13
18,CASH_IN,14362.65,C766604168,31.0,14393.65,C243014983,0.0,0.0
18,CASH_OUT,136407.96,C654575920,215148.0,78740.04,C361268035,2851061.05,2987469.01
18,CASH_OUT,144889.2,C1231733438,52952.0,0.0,C593175517,128952.68,273841.88
18,CASH_OUT,262550.12,C557131835,0.0,0.0,C329305631,893610.23,1156160.35
18,TRANSFER,797575.32,C129905318,20963.0,0.0,C1085309563,549215.54,1346790.86
18,CASH_IN,381324.1,C7661288,29849.0,411173.1,C76471942,174089.17,0.0
18,CASH_OUT,68520.83,C521448298,29724.0,0.0,C977763188,394429.43,462950.26
18,TRANSFER,460268.31,C401091651,516.0,0.0,C822122883,112486.29,572754.6
18,CASH_IN,235706.0,C1639257882,10802.79,246508.79,C1540212561,0.0,106917.37
18,PAYMENT,13747.68,C1179774562,246508.79,232761.11,M2091143737,0.0,0.0
18,PAYMENT,2981.41,C720958426,31043.0,28061.59,M1673280600,0.0,0.0
18,PAYMENT,9374.48,C710405299,28061.59,18687.11,M1958499930,0.0,0.0
18,PAYMENT,7722.69,C423042356,11079.0,3356.31,M468430006,0.0,0.0
18,CASH_OUT,128574.66,C248310028,49460.0,0.0,C972865751,0.0,128574.66
18,CASH_OUT,75226.37,C408182793,0.0,0.0,C1906492932,1141259.68,1216486.04
18,CASH_IN,359452.48,C967512202,25915.0,385367.48,C604001271,0.0,0.0
18,TRANSFER,67387.63,C2137232661,385367.48,317979.85,C618155294,767281.96,834669.59
18,TRANSFER,56958.44,C378439548,317979.85,261021.42,C1287626432,81548.3,138506.73
18,TRANSFER,464744.2,C769780108,261021.42,0.0,C1576475986,2607520.45,3072264.65
18,TRANSFER,96167.05,C1278186490,0.0,0.0,C1763052044,5406856.08,5503023.13
18,TRANSFER,384836.13,C789015639,0.0,0.0,C276492325,565208.0,950044.13
18,TRANSFER,443777.45,C1297132460,0.0,0.0,C2023879880,614395.29,1058172.74
18,TRANSFER,689480.26,C1868531203,0.0,0.0,C820422676,4549169.43,5238649.7
18,TRANSFER,3211433.59,C1608476753,0.0,0.0,C975904548,4825336.61,8036770.21
18,TRANSFER,1074200.48,C1261355561,0.0,0.0,C1240730624,1494526.3,2568726.78
18,TRANSFER,571560.26,C65735979,0.0,0.0,C314471105,7969587.1,8541147.36
18,TRANSFER,1246740.09,C278392011,0.0,0.0,C1563929103,2775309.13,4022049.22
18,TRANSFER,195965.18,C875463528,0.0,0.0,C346020085,1.450315712E7,1.455214305E7
18,TRANSFER,2614.45,C153886798,0.0,0.0,C1328839342,26245.25,28859.7
18,TRANSFER,295683.41,C1383458325,0.0,0.0,C876626936,1482602.96,1778286.37
18,TRANSFER,888709.17,C2108401956,0.0,0.0,C510724456,9958526.12,1.084723528E7
18,TRANSFER,778172.64,C1029591098,0.0,0.0,C937195105,5127411.24,5905583.88
18,TRANSFER,43879.22,C1436039567,0.0,0.0,C893038039,1.020574134E7,1.024962056E7
18,PAYMENT,21622.0,C673200231,0.0,0.0,M149046990,0.0,0.0
18,DEBIT,3195.18,C1198655592,0.0,0.0,C1492277693,9167020.75,9104415.29
18,DEBIT,2948.73,C1404175688,273050.64,270101.92,C1611874445,4087005.28,4089954.0
18,PAYMENT,10364.77,C2063133785,270101.92,259737.15,M1622544894,0.0,0.0
18,CASH_IN,254634.81,C936404168,319983.34,574618.15,C1014937031,966685.89,712051.08
18,PAYMENT,6292.39,C1955315519,574618.15,568325.75,M1227628499,0.0,0.0
18,CASH_IN,166672.62,C432398057,815.0,167487.62,C329627557,0.0,0.0
18,CASH_OUT,123340.77,C763825981,52271.0,0.0,C221012137,69787.34,193128.11
18,CASH_OUT,152658.11,C73150453,553885.0,401226.89,C49651407,1519800.41,1672458.52
18,CASH_OUT,74123.52,C757561898,35054.0,0.0,C1130186632,86311.31,160434.83
18,CASH_OUT,25185.05,C438488049,0.0,0.0,C711248671,5931943.96,5957129.01
18,CASH_OUT,122347.07,C256491887,0.0,0.0,C309079784,749116.04,1025835.72
18,CASH_OUT,86028.04,C1787782388,41601.0,0.0,C945960989,436589.02,522617.06
18,CASH_OUT,8554.24,C2096080293,153279.0,144724.76,C860726527,699547.47,708101.71
18,PAYMENT,17793.34,C1881052298,144724.76,126931.42,M824013151,0.0,0.0
18,PAYMENT,5493.62,C539233100,12157.0,6663.38,M568803424,0.0,0.0
18,CASH_IN,133904.54,C626604562,876.0,134780.54,C820451977,0.0,0.0
18,CASH_IN,38601.46,C2140414063,47091.0,85692.46,C1410393548,0.0,0.0
18,PAYMENT,15566.53,C2146056890,85692.46,70125.93,M1679135079,0.0,0.0
18,CASH_OUT,338538.03,C141606493,53819.0,0.0,C33956056,194647.49,533185.53
18,PAYMENT,4570.32,C1446600804,0.0,0.0,M2015936499,0.0,0.0
18,TRANSFER,599690.37,C813598520,13793.0,0.0,C97839717,0.0,599690.37
18,PAYMENT,3113.27,C1039222076,31934.0,28820.73,M542517414,0.0,0.0
18,CASH_OUT,95968.05,C498916472,50956.0,0.0,C870558930,10959.0,106927.05
18,TRANSFER,335440.18,C1505746864,0.0,0.0,C1538870136,570072.8,905512.98
18,PAYMENT,26208.76,C1850779934,757.0,0.0,M2144513898,0.0,0.0
18,PAYMENT,12749.55,C74904564,860.0,0.0,M596897429,0.0,0.0
18,PAYMENT,10518.56,C1214299040,107418.0,96899.44,M581166137,0.0,0.0
18,CASH_OUT,420123.28,C301554378,35565.0,0.0,C1869826560,7118.0,377368.5
18,TRANSFER,260915.33,C757262630,319941.0,59025.67,C2104098790,0.0,260915.33
18,PAYMENT,5605.63,C1624439449,59025.67,53420.04,M1567443094,0.0,0.0
18,CASH_IN,207416.75,C102332155,20593.0,228009.75,C1103378880,596564.45,389147.71
18,TRANSFER,924289.41,C1019794631,319943.0,0.0,C492393468,107520.21,1031809.62
18,CASH_IN,223566.76,C1270474741,69705.0,293271.76,C330164318,514056.64,211065.59
18,PAYMENT,15047.99,C2082947052,52189.0,37141.01,M834936893,0.0,0.0
18,CASH_OUT,331916.0,C1271968814,36863.0,0.0,C193169235,518810.25,850726.26
18,PAYMENT,6260.56,C1339188462,260409.0,254148.44,M181398183,0.0,0.0
18,CASH_OUT,80518.94,C446363147,452213.0,371694.06,C677561051,672427.1,752946.05
18,CASH_IN,197472.88,C1420116146,51931.0,249403.88,C124259355,0.0,0.0
18,TRANSFER,546015.71,C143436764,249403.88,0.0,C1136811657,5401881.45,5947897.16
18,TRANSFER,758675.14,C2112090808,0.0,0.0,C2046023382,2215868.47,2974543.6
18,TRANSFER,26781.69,C805599649,0.0,0.0,C689665706,7333256.56,7360038.25
18,TRANSFER,232080.37,C1322917827,0.0,0.0,C110819689,634500.41,866580.78
18,TRANSFER,210820.86,C602251151,0.0,0.0,C2064980231,1031608.39,1242429.26
18,TRANSFER,584614.01,C1106370425,0.0,0.0,C247785956,962688.81,1547302.82
18,TRANSFER,426653.74,C1386966935,0.0,0.0,C1708409552,586765.0,1013418.74
18,TRANSFER,2173994.69,C1284593158,0.0,0.0,C1822874454,2319363.38,4493358.07
18,TRANSFER,565749.66,C1132966396,0.0,0.0,C2122967975,705941.6,1644326.48
18,TRANSFER,1382957.83,C205698274,0.0,0.0,C1697216461,1782549.5,3165507.33
18,TRANSFER,644079.56,C85767466,0.0,0.0,C1101967436,932031.53,1576111.08
18,TRANSFER,1340909.48,C1132192489,0.0,0.0,C267939889,2711383.68,4052293.17
18,CASH_OUT,227031.1,C1032692523,90671.0,0.0,C2004693650,321472.2,548503.3
18,PAYMENT,2455.75,C611444188,20471.0,18015.25,M1151644061,0.0,0.0
18,CASH_IN,169780.61,C1490321226,32567.0,202347.61,C758731395,2053149.59,1883368.98
18,CASH_IN,122026.1,C135273344,122869.9,244895.99,C164163741,1336266.06,1214239.97
18,PAYMENT,26621.35,C602161243,244895.99,218274.64,M1118643683,0.0,0.0
18,PAYMENT,21415.98,C964181203,9222.0,0.0,M826076263,0.0,0.0
18,TRANSFER,670914.48,C811304067,11217.0,0.0,C915384039,0.0,670914.48
18,PAYMENT,22025.2,C460471638,0.0,0.0,M1662260303,0.0,0.0
18,PAYMENT,10063.17,C891130782,0.0,0.0,M1502508578,0.0,0.0
18,CASH_IN,232285.06,C1394374856,15648.0,247933.06,C1643315505,1170245.17,937960.1
18,CASH_OUT,81865.66,C275363976,247933.06,166067.4,C337885846,1302031.29,1383896.95
18,CASH_OUT,231020.81,C1227970680,166067.4,0.0,C1110751962,1292375.82,1523396.62
18,CASH_OUT,62362.01,C1671698458,0.0,0.0,C447933528,414563.37,476925.37
18,CASH_OUT,192698.48,C1397683870,0.0,0.0,C800197150,351648.38,544346.86
18,CASH_OUT,191884.89,C247376263,0.0,0.0,C1761324386,5444673.76,5636558.65
18,CASH_OUT,261848.88,C1292878512,0.0,0.0,C1718405753,596066.21,646905.57
18,CASH_OUT,373649.09,C237529027,0.0,0.0,C991002716,665183.0,1038832.09
18,CASH_OUT,576879.22,C720804510,0.0,0.0,C2141879417,1936561.44,2513440.66
18,CASH_OUT,368169.58,C1375730902,0.0,0.0,C1423179243,474374.92,842544.5
18,CASH_OUT,129418.69,C1658240539,0.0,0.0,C2068785174,1120517.32,1249936.0
18,PAYMENT,6541.77,C797821949,163133.0,156591.23,M825333496,0.0,0.0
18,CASH_OUT,57493.14,C520537412,198685.0,141191.86,C908281111,0.0,57493.14
