step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
40,CASH_IN,37200.65,C1531492225,60616.0,97816.65,C1396794397,2329925.82,2349122.11
40,PAYMENT,2926.92,C901089330,29977.0,27050.08,M298779626,0.0,0.0
40,PAYMENT,29664.02,C2000631944,21202.0,0.0,M1767206225,0.0,0.0
40,PAYMENT,44139.67,C1882754129,50626.0,6486.33,M427889135,0.0,0.0
40,TRANSFER,138600.72,C393511215,82935.0,0.0,C623302137,763759.46,902360.17
40,CASH_OUT,224926.99,C1435060597,9988.0,0.0,C239958726,0.0,185822.16
40,PAYMENT,10745.16,C1642536337,0.0,0.0,M1886942763,0.0,0.0
40,CASH_OUT,442834.44,C1127673074,5474.0,0.0,C322484166,0.0,442834.44
40,PAYMENT,8693.74,C1558959872,0.0,0.0,M96031385,0.0,0.0
40,CASH_OUT,257775.94,C910402859,168325.0,0.0,C110921582,530926.61,788702.56
40,CASH_OUT,235622.94,C1114021485,14867.0,0.0,C466247062,0.0,404101.76
40,CASH_OUT,455490.27,C1085735670,49829.0,0.0,C1378951885,257017.33,712507.6
40,CASH_OUT,16120.31,C265666019,300694.0,284573.69,C1220968975,0.0,16120.31
40,PAYMENT,17392.21,C605301711,284573.69,267181.48,M1383554262,0.0,0.0
40,PAYMENT,21498.46,C707740892,188.0,0.0,M146263775,0.0,0.0
40,CASH_OUT,26859.72,C234411605,10069.0,0.0,C827945218,1256120.6,1282980.32
40,CASH_IN,264880.12,C1702996688,58220.0,323100.12,C2130699331,2003320.64,1738440.52
40,CASH_OUT,300198.84,C894966552,323100.12,22901.28,C1174713268,399694.45,2248919.84
40,PAYMENT,12945.63,C53471834,30483.0,17537.37,M1219415572,0.0,0.0
40,CASH_OUT,508037.82,C546388731,10167.0,0.0,C835258484,0.0,508037.82
40,CASH_OUT,218996.1,C1441035562,5309.0,0.0,C1451868199,2973071.1,3192067.2
40,PAYMENT,9465.13,C694499574,0.0,0.0,M394632608,0.0,0.0
40,PAYMENT,4689.01,C1055533897,0.0,0.0,M1221678235,0.0,0.0
40,PAYMENT,947.53,C1223911423,0.0,0.0,M1931516892,0.0,0.0
40,PAYMENT,3857.19,C478107282,0.0,0.0,M1581820938,0.0,0.0
40,PAYMENT,3510.13,C223868067,0.0,0.0,M2053005486,0.0,0.0
40,PAYMENT,22962.57,C477323953,0.0,0.0,M121677257,0.0,0.0
40,PAYMENT,6637.66,C897624942,0.0,0.0,M1012069984,0.0,0.0
40,PAYMENT,4737.54,C993230257,0.0,0.0,M970979827,0.0,0.0
40,PAYMENT,29522.53,C162852477,21001.0,0.0,M587135197,0.0,0.0
40,CASH_OUT,352457.99,C41994182,213570.0,0.0,C668813827,0.0,352457.99
40,PAYMENT,14944.51,C1154921988,2496.0,0.0,M1790935013,0.0,0.0
40,CASH_OUT,519390.15,C1070746239,924.0,0.0,C1647573227,36863.44,556253.59
40,CASH_IN,75212.12,C996676788,105694.0,180906.12,C1563843987,1720078.01,1644865.89
40,CASH_OUT,439575.14,C1258287947,14667.0,0.0,C522553046,3943962.92,4383538.07
40,PAYMENT,451.8,C1538190758,0.0,0.0,M1979897118,0.0,0.0
40,CASH_OUT,51980.71,C221553374,2048.0,0.0,C1883077410,506447.22,558427.93
40,TRANSFER,540412.65,C954498456,0.0,0.0,C110416257,8447527.37,8987940.03
40,CASH_OUT,283534.72,C336291071,6705.0,0.0,C1738494888,0.0,283534.72
40,TRANSFER,796931.68,C1958865221,0.0,0.0,C1271098857,6315127.25,7112058.93
40,TRANSFER,203173.24,C1556846417,0.0,0.0,C737986943,2409962.86,2613136.09
40,TRANSFER,1106881.32,C1205348845,0.0,0.0,C881121415,2916270.68,4023152.0
40,TRANSFER,311724.81,C146510197,0.0,0.0,C1401442663,707191.8,1018916.61
40,TRANSFER,501693.99,C1934351078,0.0,0.0,C1954751748,3152757.04,3850703.43
40,TRANSFER,252158.9,C1933228737,0.0,0.0,C919488700,4314790.56,4566949.45
40,TRANSFER,52315.5,C1965777418,0.0,0.0,C429901391,1120436.04,1172751.54
40,TRANSFER,745123.69,C567244259,0.0,0.0,C1428195532,1439924.65,2185048.34
40,PAYMENT,7079.09,C209586134,247324.0,240244.91,M708073514,0.0,0.0
40,TRANSFER,979110.25,C77677652,240244.91,0.0,C812586739,4399945.43,5410778.56
40,CASH_OUT,572757.36,C1587235150,16320.0,0.0,C563457965,39972.86,612730.22
40,PAYMENT,25064.97,C573027836,175021.0,149956.03,M718953626,0.0,0.0
40,CASH_IN,212445.72,C609693297,23155.0,235600.72,C260168146,0.0,0.0
40,CASH_OUT,252633.9,C537055884,20038.0,0.0,C1861692583,216146.12,728792.44
40,CASH_IN,156223.84,C1058343717,54563.0,210786.84,C1816384733,120126.62,0.0
40,CASH_OUT,4698.71,C1196666577,210786.84,206088.13,C1719351666,2472253.72,2777122.0
40,CASH_OUT,363496.98,C1516909804,206088.13,0.0,C1813863333,4176716.68,4540213.66
40,CASH_OUT,66947.61,C1825180575,0.0,0.0,C1996294372,310420.74,377368.35
40,CASH_OUT,211810.96,C2073131264,0.0,0.0,C221536892,1673703.14,1885514.1
40,CASH_OUT,20879.91,C569271685,0.0,0.0,C1334327935,1932678.79,1953558.7
40,CASH_OUT,151607.37,C715712512,0.0,0.0,C649542449,333095.35,484702.71
40,CASH_OUT,1618.95,C377653305,74769.0,73150.05,C786544094,63261.91,64880.86
40,CASH_IN,157420.78,C1722530448,114346.0,271766.78,C2044762345,680065.4,522644.61
40,CASH_OUT,69397.92,C884681101,311194.0,241796.08,C2031135236,4486126.37,4555524.29
40,CASH_OUT,274648.84,C1497247730,10844.0,0.0,C219843173,154645.11,480260.56
40,CASH_OUT,747315.2,C1535092652,11150.0,0.0,C2078155533,0.0,747315.2
40,PAYMENT,3002.94,C1622931817,0.0,0.0,M228672434,0.0,0.0
40,DEBIT,2327.55,C625519691,35420.0,33092.45,C2000209967,190632.91,192960.46
40,CASH_OUT,347754.89,C53226889,181763.0,0.0,C819671620,333140.64,680895.53
40,PAYMENT,12696.32,C1021570100,0.0,0.0,M1004049609,0.0,0.0
40,CASH_IN,175143.73,C1536314637,96476.0,271619.73,C1131722399,1406646.56,1231502.83
40,CASH_IN,120022.1,C967861139,90.0,120112.1,C1406925123,0.0,0.0
40,PAYMENT,2500.65,C445754077,120112.1,117611.45,M1695554458,0.0,0.0
40,PAYMENT,748.79,C740542480,117611.45,116862.66,M372607740,0.0,0.0
40,PAYMENT,4926.86,C31788453,116862.66,111935.8,M1691093704,0.0,0.0
40,PAYMENT,16311.48,C1444756745,111935.8,95624.32,M1824866140,0.0,0.0
40,PAYMENT,5082.76,C1164218180,95624.32,90541.56,M1098532714,0.0,0.0
40,PAYMENT,5.97,C2117127993,90541.56,90535.6,M1003106428,0.0,0.0
40,TRANSFER,543458.42,C1513457390,51425.0,0.0,C1904758217,0.0,543458.42
40,TRANSFER,257180.97,C1239927765,99931.0,0.0,C1289446048,1135591.47,1392772.44
40,PAYMENT,17263.46,C836144343,0.0,0.0,M1542787905,0.0,0.0
40,PAYMENT,14134.18,C763489319,0.0,0.0,M1515139873,0.0,0.0
40,PAYMENT,7287.88,C1601879179,0.0,0.0,M753324862,0.0,0.0
40,PAYMENT,3406.22,C237298257,0.0,0.0,M768675471,0.0,0.0
40,PAYMENT,8596.6,C658862426,0.0,0.0,M1025517999,0.0,0.0
40,PAYMENT,5464.28,C339702320,0.0,0.0,M826254158,0.0,0.0
40,PAYMENT,3684.02,C1039981458,0.0,0.0,M28176595,0.0,0.0
40,PAYMENT,10314.83,C1861008420,0.0,0.0,M579159908,0.0,0.0
40,PAYMENT,2800.51,C2046699757,0.0,0.0,M389768297,0.0,0.0
40,PAYMENT,18899.02,C473818934,0.0,0.0,M344665522,0.0,0.0
40,PAYMENT,8497.59,C482002574,0.0,0.0,M1357836636,0.0,0.0
40,PAYMENT,12100.45,C597272608,0.0,0.0,M1857222492,0.0,0.0
40,PAYMENT,7923.9,C620155570,0.0,0.0,M62235489,0.0,0.0
40,PAYMENT,8653.76,C1837355935,0.0,0.0,M351457636,0.0,0.0
40,PAYMENT,44925.02,C100917770,0.0,0.0,M671344384,0.0,0.0
40,PAYMENT,19934.77,C1542440628,0.0,0.0,M1502889308,0.0,0.0
40,PAYMENT,16971.7,C1084157910,0.0,0.0,M1997683490,0.0,0.0
40,PAYMENT,9013.93,C1391302930,0.0,0.0,M698914998,0.0,0.0
40,PAYMENT,41050.93,C520036874,0.0,0.0,M2018693596,0.0,0.0
40,PAYMENT,15252.04,C1187635917,0.0,0.0,M734637962,0.0,0.0
40,PAYMENT,1420.98,C1279342475,0.0,0.0,M586404846,0.0,0.0
40,PAYMENT,24188.14,C723878647,0.0,0.0,M1308020198,0.0,0.0
40,PAYMENT,11872.46,C139351740,0.0,0.0,M882809080,0.0,0.0
40,PAYMENT,42971.12,C866879142,0.0,0.0,M1221194952,0.0,0.0
40,TRANSFER,859882.4,C843624667,11268.0,0.0,C1584142236,627223.0,1523954.94
40,PAYMENT,9555.93,C1917957938,9148.0,0.0,M488673640,0.0,0.0
40,CASH_OUT,298074.73,C440949168,122284.0,0.0,C955026404,2731650.06,3029724.79
40,TRANSFER,1360989.01,C1844571210,25877.0,0.0,C558258017,177933.2,1739819.29
40,CASH_OUT,483431.82,C317079265,98633.0,0.0,C940152529,0.0,145982.43
40,PAYMENT,7257.9,C198460932,0.0,0.0,M1401490199,0.0,0.0
40,PAYMENT,8561.67,C829959824,106116.0,97554.33,M306843496,0.0,0.0
40,PAYMENT,13863.31,C998739779,97554.33,83691.02,M541977239,0.0,0.0
40,CASH_OUT,60529.23,C1353796768,14925.0,0.0,C182885243,0.0,60529.23
40,CASH_OUT,62072.18,C314714257,9094.0,0.0,C944073827,20211.0,0.0
40,PAYMENT,3020.68,C356012061,0.0,0.0,M1517160831,0.0,0.0
40,PAYMENT,5842.58,C14715614,21078.0,15235.42,M65387763,0.0,0.0
40,CASH_OUT,83088.43,C1409989674,23977.0,0.0,C1428825774,0.0,9920.93
40,CASH_OUT,245918.39,C2122670629,0.0,0.0,C20460194,1093074.85,1338993.24
40,CASH_IN,180847.96,C2058858833,315766.0,496613.96,C975904548,8343079.67,8162231.71
40,CASH_IN,417732.6,C1419483344,50983.0,468715.6,C219076415,174399.35,0.0
40,CASH_OUT,292779.16,C1433507205,103135.0,0.0,C667332062,0.0,229605.85
40,CASH_OUT,224764.42,C3162436,0.0,0.0,C1985530450,686984.33,911748.75
40,PAYMENT,22775.67,C1204442410,107985.0,85209.33,M1327437851,0.0,0.0
40,CASH_OUT,70797.7,C370893248,4180.0,0.0,C2015447741,34986.43,105784.14
40,CASH_IN,207260.49,C337852454,533.0,207793.49,C980653167,51.0,0.0
