step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
47,CASH_OUT,112568.59,C663265689,27102.0,0.0,C2144566532,154441.09,267009.68
47,CASH_OUT,167194.27,C949680325,11068.0,0.0,C1718025779,2088620.03,2255814.3
47,CASH_OUT,102783.44,C1951307732,9931.0,0.0,C1313802155,15775.69,118559.13
47,PAYMENT,173.47,C1432812442,5098.0,4924.53,M931142854,0.0,0.0
47,PAYMENT,4312.05,C1488164387,5054.0,741.95,M1489197782,0.0,0.0
47,CASH_IN,138707.89,C974901375,20460.0,159167.89,C976598256,1150159.17,1011451.28
47,PAYMENT,1317.77,C222989782,21234.0,19916.23,M1233916114,0.0,0.0
47,PAYMENT,7786.58,C190572255,19916.23,12129.65,M1873233891,0.0,0.0
47,PAYMENT,5956.48,C911885308,502.0,0.0,M528076645,0.0,0.0
47,CASH_OUT,306185.01,C1262534475,0.0,0.0,C1326243087,1207550.7,1513735.72
47,PAYMENT,14942.99,C504197535,29767.0,14824.01,M2058126337,0.0,0.0
47,PAYMENT,412.27,C729771734,14824.01,14411.74,M1703618069,0.0,0.0
47,PAYMENT,538.68,C285160114,12379.0,11840.32,M242036768,0.0,0.0
47,PAYMENT,13092.19,C1580525285,21082.0,7989.81,M1647564984,0.0,0.0
47,PAYMENT,5147.11,C196087022,31421.0,26273.89,M1815859592,0.0,0.0
47,PAYMENT,5678.02,C364974372,2181.0,0.0,M1766583612,0.0,0.0
47,PAYMENT,10444.35,C1645697927,40477.0,30032.65,M1343386076,0.0,0.0
47,TRANSFER,98258.03,C1304892107,30032.65,0.0,C525141182,2971573.98,3069832.02
47,PAYMENT,12737.95,C2069050434,27380.0,14642.05,M591430604,0.0,0.0
47,CASH_OUT,12275.09,C1621068521,71023.0,58747.91,C177343871,0.0,12275.09
47,DEBIT,6499.61,C364617083,198618.0,192118.39,C1334840701,329382.18,335881.79
47,PAYMENT,766.96,C1999129258,16431.0,15664.04,M1347549536,0.0,0.0
47,PAYMENT,7873.43,C1275459905,15664.04,7790.61,M94172671,0.0,0.0
47,PAYMENT,7391.01,C819237628,393745.0,386353.99,M1871837055,0.0,0.0
47,PAYMENT,5668.38,C213767229,386353.99,380685.62,M1852631896,0.0,0.0
47,PAYMENT,15545.79,C2059126555,300421.0,284875.21,M452062524,0.0,0.0
47,PAYMENT,956.77,C2014301795,284875.21,283918.44,M1907411985,0.0,0.0
47,PAYMENT,175.85,C1435983395,283918.44,283742.59,M1083888032,0.0,0.0
47,PAYMENT,8913.26,C1180726022,283742.59,274829.33,M826802079,0.0,0.0
47,PAYMENT,5548.36,C1582225874,274829.33,269280.97,M1221530730,0.0,0.0
47,PAYMENT,21638.89,C234010166,269280.97,247642.08,M54987536,0.0,0.0
47,PAYMENT,21073.22,C737133283,247642.08,226568.86,M456388528,0.0,0.0
47,PAYMENT,831.0,C65583590,226568.86,225737.86,M952904960,0.0,0.0
47,PAYMENT,44842.69,C1835075616,225737.86,180895.17,M1764435027,0.0,0.0
47,PAYMENT,15258.72,C793413401,180895.17,165636.46,M1991707613,0.0,0.0
47,PAYMENT,34546.62,C334638371,165636.46,131089.84,M600545970,0.0,0.0
47,PAYMENT,1854.03,C1489150877,131089.84,129235.81,M384148155,0.0,0.0
47,PAYMENT,29517.87,C352067185,129235.81,99717.95,M1805453398,0.0,0.0
47,PAYMENT,6591.84,C638488819,99717.95,93126.1,M491069171,0.0,0.0
47,PAYMENT,13303.45,C1774097596,93126.1,79822.65,M1793261157,0.0,0.0
47,PAYMENT,16772.23,C943284930,79822.65,63050.42,M222183856,0.0,0.0
47,PAYMENT,10815.95,C280506335,63050.42,52234.48,M1834285691,0.0,0.0
47,PAYMENT,2662.7,C503884385,52234.48,49571.77,M1640258513,0.0,0.0
47,PAYMENT,8828.14,C810768097,49571.77,40743.63,M2048845234,0.0,0.0
47,PAYMENT,10358.53,C555619122,40743.63,30385.11,M1657265683,0.0,0.0
47,PAYMENT,8941.51,C1208580340,30385.11,21443.6,M1169631026,0.0,0.0
47,PAYMENT,1854.66,C350300981,21443.6,19588.93,M1208633596,0.0,0.0
47,CASH_IN,189378.0,C1262966737,22833.0,212211.0,C1227318087,0.0,0.0
47,CASH_IN,95883.37,C926250812,212211.0,308094.38,C669244570,705862.1,609978.72
47,CASH_IN,75621.58,C705710700,308094.38,383715.95,C973491531,339580.28,263958.71
47,CASH_IN,109021.41,C810007162,383715.95,492737.36,C927894452,1434755.33,1325733.92
47,CASH_IN,11042.97,C1095731836,492737.36,503780.33,C2034522428,307625.0,296582.03
47,CASH_IN,281469.31,C1566546430,503780.33,785249.64,C2003618003,451561.28,170091.97
47,CASH_IN,289591.28,C1966402323,785249.64,1074840.92,C1520928508,1345472.37,1055881.09
47,CASH_IN,44547.31,C2016218021,1074840.92,1119388.23,C1973008973,201708.29,157160.97
47,CASH_IN,75280.71,C1158443702,1119388.23,1194668.94,C959887258,1.899857974E7,1.892329903E7
47,CASH_IN,398468.03,C1690141568,1194668.94,1593136.98,C529632678,4645230.18,4246762.14
47,CASH_IN,329450.76,C914591863,1593136.98,1922587.73,C657496906,911378.42,581927.66
47,CASH_IN,13096.59,C652461345,1922587.73,1935684.32,C1205661192,1908367.64,1895271.05
47,CASH_IN,62160.53,C6068873,1935684.32,1997844.85,C839431155,314370.65,252210.12
47,CASH_IN,143823.93,C141932673,1997844.85,2141668.78,C2029406675,3491039.51,3347215.58
47,CASH_IN,83027.87,C576684496,2141668.78,2224696.65,C3923670,125195.2,42167.33
47,CASH_IN,126963.44,C447582839,2224696.65,2351660.09,C1731493383,630106.25,503142.81
47,CASH_IN,97462.15,C2126633849,2351660.09,2449122.24,C2127123719,2631441.34,2533979.19
47,CASH_IN,2836.86,C1532351888,2449122.24,2451959.1,C1538435886,68724.62,65887.76
47,CASH_IN,42159.26,C89820715,2451959.1,2494118.36,C478062711,52118.64,9959.38
47,CASH_IN,159329.98,C1938987741,2494118.36,2653448.34,C1379319395,1635045.93,1475715.95
47,CASH_IN,83101.43,C66620869,2653448.34,2736549.77,C1329859708,92881.6,9780.16
47,CASH_IN,131391.31,C1995714943,2736549.77,2867941.09,C362362034,274578.0,143186.69
47,CASH_IN,12479.24,C655278684,2867941.09,2880420.33,C812560982,4792609.11,4780129.87
47,CASH_IN,308761.13,C1076748306,2880420.33,3189181.46,C779184860,1699653.14,1390892.01
47,CASH_IN,368461.52,C134007671,3189181.46,3557642.97,C532593878,2695160.14,2326698.62
47,CASH_IN,91547.59,C1347710270,3557642.97,3649190.56,C143417138,147551.11,56003.53
47,CASH_IN,57625.68,C26827082,3649190.56,3706816.24,C1789425526,341456.88,283831.21
47,CASH_IN,241106.99,C773526555,3706816.24,3947923.23,C392981119,1342098.86,1100991.87
47,CASH_IN,110260.39,C1339934172,3947923.23,4058183.62,C1635985705,131895.25,21634.86
47,CASH_IN,95786.64,C1007905924,4058183.62,4153970.26,C222289559,619355.36,523568.72
47,CASH_IN,434659.33,C1997218117,4153970.26,4588629.59,C495368770,1178898.57,744239.23
47,CASH_IN,53355.51,C21383283,4588629.59,4641985.1,C1513332652,372550.96,319195.45
47,CASH_IN,26140.29,C538222242,4641985.1,4668125.39,C763918567,940470.56,914330.26
47,CASH_IN,45838.12,C121942376,4668125.39,4713963.51,C594558777,47140.84,1302.73
47,CASH_IN,66765.91,C703310284,4713963.51,4780729.41,C425256616,712157.82,645391.92
47,CASH_IN,44787.72,C450722130,4780729.41,4825517.14,C1607422223,635409.06,590621.34
47,CASH_IN,33015.45,C506991909,4825517.14,4858532.59,C1150259611,537309.51,504294.06
47,CASH_IN,85587.46,C1012213883,4858532.59,4944120.04,C1181723827,1106890.05,1021302.59
47,CASH_IN,181063.17,C1216631796,4944120.04,5125183.22,C811702023,352127.25,171064.08
47,CASH_IN,305805.84,C962770015,5125183.22,5430989.06,C1525639605,1661500.19,1355694.34
47,CASH_IN,12290.23,C1731010411,5430989.06,5443279.29,C1536228074,1.310303333E7,1.30907431E7
47,CASH_IN,148335.29,C1915675909,5443279.29,5591614.58,C1408872166,193094.32,44759.03
47,CASH_IN,35182.1,C417272647,5591614.58,5626796.68,C1244821447,659137.82,623955.71
47,PAYMENT,8279.58,C875797583,128.0,0.0,M996805605,0.0,0.0
47,PAYMENT,3638.04,C1055512384,15856.0,12217.96,M1582087921,0.0,0.0
47,CASH_OUT,191988.17,C1983221907,12217.96,0.0,C1345763155,333429.55,525417.73
47,PAYMENT,1772.97,C501975187,444419.0,442646.03,M1841831865,0.0,0.0
47,TRANSFER,2400.79,C1455984583,442646.03,440245.24,C1809990964,1394145.61,1396546.41
47,TRANSFER,4070.56,C212024453,440245.24,436174.68,C1175199409,7049528.09,7053598.65
47,TRANSFER,744665.65,C1305318034,436174.68,0.0,C961629914,1011030.34,1755695.98
47,TRANSFER,847731.44,C1616214341,0.0,0.0,C2126988635,1.783468703E7,1.868241847E7
47,PAYMENT,519.7,C1928422463,3074.0,2554.3,M1730357744,0.0,0.0
47,PAYMENT,735.1,C1180401284,30664.0,29928.9,M227522651,0.0,0.0
47,PAYMENT,947.33,C1948710217,246614.0,245666.67,M171196052,0.0,0.0
47,CASH_OUT,202425.77,C386321928,245666.67,43240.9,C1950337295,2302216.54,2504642.31
47,PAYMENT,4925.65,C1731981779,15940.0,11014.35,M620027072,0.0,0.0
47,TRANSFER,22593.6,C262116948,11014.35,0.0,C782860487,52584.65,75178.25
47,PAYMENT,560.24,C776498977,1067.0,506.76,M382051922,0.0,0.0
47,TRANSFER,610785.21,C349534870,506.76,0.0,C1568734573,4898206.26,5508991.47
47,PAYMENT,12986.01,C1728803694,1890.0,0.0,M181873097,0.0,0.0
