step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
43,CASH_OUT,49176.03,C1842241141,107318.0,58141.97,C306797798,8917439.59,9016868.66
43,CASH_IN,176362.9,C1736796868,10611.0,186973.9,C539987329,904820.62,728457.73
43,TRANSFER,361044.62,C1654653430,117.0,0.0,C713185324,436544.16,797588.78
43,CASH_OUT,78208.22,C877867056,0.0,0.0,C853110940,441683.26,519891.48
43,CASH_OUT,61275.93,C737275193,0.0,0.0,C376806993,155473.85,216749.78
43,CASH_IN,13916.99,C1735291337,12313.0,26229.99,C1934361212,168645.4,154728.41
43,PAYMENT,15761.74,C86205283,29704.0,13942.26,M685510983,0.0,0.0
43,TRANSFER,788456.82,C216054080,50807.0,0.0,C701259537,8267297.86,9055754.68
43,CASH_OUT,62625.81,C403988780,0.0,0.0,C1276895583,1071382.97,1134008.78
43,CASH_OUT,54152.47,C112337206,0.0,0.0,C933418781,1828275.67,2081451.85
43,CASH_OUT,104884.64,C1319915150,0.0,0.0,C647880453,184283.81,217883.51
43,CASH_OUT,13369.98,C1200604322,0.0,0.0,C299288112,138838.47,152208.44
43,CASH_OUT,196228.47,C2083111038,0.0,0.0,C1419886138,1271213.63,1467442.1
43,CASH_OUT,51198.03,C1803937116,0.0,0.0,C1334383456,1155164.5,1206362.53
43,CASH_OUT,150671.32,C1206980252,0.0,0.0,C751887847,188422.87,339094.19
43,CASH_OUT,55226.71,C2128766996,20140.0,0.0,C83578653,0.0,55226.71
43,CASH_OUT,168291.98,C1291484550,0.0,0.0,C843086663,614007.82,782299.8
43,PAYMENT,1821.26,C135388736,647.0,0.0,M1205580848,0.0,0.0
43,CASH_OUT,72307.28,C706008599,6050.0,0.0,C1638574619,0.0,72307.28
43,PAYMENT,3880.26,C899516574,0.0,0.0,M871932851,0.0,0.0
43,PAYMENT,448.54,C689499080,0.0,0.0,M623916178,0.0,0.0
43,PAYMENT,4183.75,C2091946450,0.0,0.0,M178471116,0.0,0.0
43,PAYMENT,4.94,C1686879483,0.0,0.0,M1086034012,0.0,0.0
43,PAYMENT,12954.81,C947759000,0.0,0.0,M675820923,0.0,0.0
43,PAYMENT,8954.19,C295516397,0.0,0.0,M221799410,0.0,0.0
43,PAYMENT,20129.05,C1479296170,0.0,0.0,M832979257,0.0,0.0
43,PAYMENT,56643.14,C1233407408,0.0,0.0,M124620929,0.0,0.0
43,PAYMENT,6991.46,C1029610962,0.0,0.0,M1056091337,0.0,0.0
43,PAYMENT,10960.91,C1433444202,0.0,0.0,M1047721181,0.0,0.0
43,PAYMENT,18250.1,C2005618380,0.0,0.0,M1546924048,0.0,0.0
43,PAYMENT,14335.79,C233733939,0.0,0.0,M613660239,0.0,0.0
43,PAYMENT,44590.6,C155414847,0.0,0.0,M1946838199,0.0,0.0
43,PAYMENT,11691.64,C174299874,0.0,0.0,M863728687,0.0,0.0
43,PAYMENT,40983.19,C555954678,0.0,0.0,M103536313,0.0,0.0
43,PAYMENT,13373.0,C277477396,0.0,0.0,M2025536550,0.0,0.0
43,CASH_IN,5056.7,C1085218374,118913.0,123969.7,C1374654645,640.0,206039.86
43,CASH_OUT,201967.73,C417957620,101426.0,0.0,C578317080,324369.84,724317.36
43,CASH_IN,261245.41,C1199543461,30120.0,291365.41,C1338896253,393171.2,131925.79
43,CASH_OUT,81102.08,C1719982688,4206.0,0.0,C632652730,44525.34,125627.42
43,CASH_IN,121226.87,C1583457752,102193.0,223419.87,C1233683071,0.0,0.0
43,CASH_OUT,29537.53,C183191238,11081.0,0.0,C812796443,535511.67,1241073.68
43,CASH_OUT,24819.79,C822751618,9289.0,0.0,C1567085971,0.0,24819.79
43,CASH_OUT,50106.3,C1897769497,287.0,0.0,C1031639563,1.729027551E7,1.776233225E7
43,CASH_IN,450936.99,C578920071,50299.0,501235.99,C1844129881,2718426.55,2698782.29
43,PAYMENT,8652.04,C1921790311,501235.99,492583.95,M317360277,0.0,0.0
43,CASH_OUT,272770.11,C247178675,351.0,0.0,C1083957665,668757.43,941527.53
43,CASH_OUT,288208.84,C551581509,2006.0,0.0,C1607357456,0.0,288208.84
43,PAYMENT,2526.48,C863272247,10558.0,8031.52,M1973216748,0.0,0.0
43,CASH_OUT,222345.86,C651776209,102716.0,0.0,C1866850777,285436.15,507782.01
43,DEBIT,5534.09,C94392592,10370.0,4835.91,C837637428,278246.65,125299.73
43,CASH_OUT,222859.37,C355273046,104415.0,0.0,C1324765503,163732.33,386591.7
43,CASH_IN,35605.47,C126631322,247373.0,282978.47,C1708093689,71494.14,35888.68
43,CASH_OUT,160377.49,C1799338594,9930.0,0.0,C601773938,0.0,160377.49
