step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
2,PAYMENT,1826.81,C70165127,24622.0,22795.19,M2026706491,0.0,0.0
2,PAYMENT,7709.2,C520830206,52152.0,44442.8,M351216770,0.0,0.0
2,PAYMENT,3023.16,C1705281026,178.0,0.0,M1967667267,0.0,0.0
2,PAYMENT,3708.43,C862062296,0.0,0.0,M1589968642,0.0,0.0
2,PAYMENT,8702.16,C521270862,20929.0,12226.84,M724525007,0.0,0.0
2,PAYMENT,1552.48,C140040372,485.0,0.0,M1897732690,0.0,0.0
2,PAYMENT,5427.59,C1630413241,6307.0,879.41,M808377204,0.0,0.0
2,PAYMENT,5179.7,C2130520253,105425.0,100245.3,M1730900666,0.0,0.0
2,PAYMENT,292.45,C1998103567,157212.0,156919.55,M824915171,0.0,0.0
2,PAYMENT,4424.09,C646204091,10691.0,6266.91,M445010547,0.0,0.0
2,PAYMENT,13400.4,C680306160,297576.0,284175.6,M1080561710,0.0,0.0
2,PAYMENT,10967.1,C1153256202,284175.6,273208.5,M1811975204,0.0,0.0
2,PAYMENT,16171.2,C560858993,679.0,0.0,M554146322,0.0,0.0
2,CASH_IN,171039.04,C265052195,19276.0,190315.04,C662736689,4800392.81,4629353.77
2,PAYMENT,1876.99,C1741007954,38629.0,36752.01,M910260820,0.0,0.0
2,PAYMENT,8053.59,C730575236,80291.0,72237.41,M1193939374,0.0,0.0
2,PAYMENT,458.45,C231182885,108051.0,107592.55,M820627987,0.0,0.0
2,DEBIT,3167.07,C1176001051,131947.57,128780.5,C1899073220,628145.74,877201.48
2,PAYMENT,6550.89,C1361609751,128780.5,122229.61,M1624203949,0.0,0.0
2,PAYMENT,191.73,C503879157,1077.0,885.27,M449105069,0.0,0.0
2,PAYMENT,14287.64,C265939934,885.27,0.0,M345516674,0.0,0.0
2,PAYMENT,3849.14,C1323676377,20303.0,16453.86,M1928900108,0.0,0.0
2,PAYMENT,9006.17,C843005078,30911.0,21904.83,M1730595945,0.0,0.0
2,PAYMENT,2876.88,C79092014,109.0,0.0,M864657274,0.0,0.0
2,PAYMENT,1128.88,C2023349777,89406.0,88277.12,M688722159,0.0,0.0
2,PAYMENT,4089.67,C465621833,124579.0,120489.33,M1682828548,0.0,0.0
2,PAYMENT,3021.67,C1385352906,10215.0,7193.33,M332998175,0.0,0.0
2,PAYMENT,5061.75,C245298614,21090.0,16028.25,M87035052,0.0,0.0
2,PAYMENT,7807.42,C1091597918,29982.0,22174.58,M463690173,0.0,0.0
2,PAYMENT,10684.01,C1659452474,22174.58,11490.57,M1731795367,0.0,0.0
2,PAYMENT,6328.21,C634991000,9009.0,2680.79,M607578671,0.0,0.0
2,PAYMENT,6125.72,C261429887,20994.0,14868.28,M550424075,0.0,0.0
2,CASH_IN,186660.82,C1282899579,56323.93,242984.75,C503195940,0.0,0.0
2,CASH_IN,168258.14,C1594065480,242984.75,411242.89,C1870252780,7515467.71,7416184.79
2,CASH_IN,142236.29,C2028088629,411242.89,553479.18,C1750905143,424250.45,282014.16
2,CASH_IN,29488.46,C780802740,553479.18,582967.64,C306206744,3554299.27,3541578.38
2,CASH_IN,452478.54,C1509506488,582967.64,1035446.18,C1782113663,3997768.55,2798692.37
2,CASH_IN,206432.17,C447477005,1035446.18,1241878.36,C1335050193,260175.23,53743.06
2,CASH_IN,88447.92,C1942612200,1241878.36,1330326.28,C667346055,1.113556219E7,1.069548059E7
2,CASH_IN,68513.25,C233309087,1330326.28,1398839.54,C1577213552,156315.24,8722.97
2,CASH_IN,147141.81,C502066023,1398839.54,1545981.34,C557041912,221285.85,74144.04
2,CASH_IN,208973.73,C1479177802,1545981.34,1754955.07,C1916720513,2999734.12,2906551.06
2,CASH_IN,202758.62,C1687702287,1754955.07,1957713.69,C1068824137,631528.6,45982.28
2,CASH_IN,305762.25,C690051320,1957713.69,1957713.69,C1778801068,1957713.69,8813776.61
2,CASH_IN,238861.93,C1407986024,1957713.69,2196575.62,C1262822392,1.240983949E7,1.191471026E7
2,CASH_IN,156534.89,C1493142905,2196575.62,2353110.51,C1318822808,483525.74,11142.89
2,CASH_IN,255232.66,C2115597658,2353110.51,2608343.17,C884457408,337842.3,84916.82
2,CASH_IN,564827.72,C1566311673,2608343.17,3173170.89,C1782113663,3545290.01,2798692.37
2,CASH_IN,297037.63,C1867108691,3173170.89,3470208.52,C1504109395,593737.38,1528227.01
2,CASH_IN,129909.22,C1266224518,3470208.52,3600117.74,C1740000325,1226096.46,0.0
2,CASH_IN,209929.52,C2122252822,3600117.74,3810047.26,C836514715,708608.07,449166.44
2,CASH_IN,9023.2,C1127856876,3810047.26,3819070.46,C1850180796,1055997.26,1187114.17
2,CASH_IN,20000.32,C1658534033,3819070.46,3839070.78,C124540047,62933.0,13002.91
2,CASH_IN,172485.68,C1640832113,3839070.78,4011556.46,C1538745405,434269.29,469207.53
2,CASH_IN,260880.32,C1730465260,4011556.46,4272436.78,C1286084959,2468769.87,1923836.34
2,CASH_IN,398355.98,C1766122814,4272436.78,4670792.76,C97730845,9734705.24,9367714.52
2,CASH_IN,131637.92,C1390430007,4670792.76,4802430.68,C1498438472,199873.79,68235.87
2,CASH_IN,52309.48,C1539827598,4802430.68,4854740.16,C1112414583,67762.92,15453.44
2,CASH_IN,46615.49,C441260727,4854740.16,4901355.64,C193864812,189611.81,75329.4
2,CASH_IN,174213.34,C1416520149,4901355.64,5075568.98,C1360767589,1557034.82,1155321.27
2,CASH_IN,98104.83,C73878928,5075568.98,5173673.81,C1076835071,487496.88,267912.2
2,CASH_IN,67666.92,C1618489605,5173673.81,5241340.73,C193864812,142996.32,75329.4
2,CASH_IN,177577.58,C311559967,5241340.73,5418918.31,C1068824137,428769.98,45982.28
2,CASH_IN,308322.0,C903195729,5418918.31,5727240.3,C1262822392,1.217097757E7,1.191471026E7
2,CASH_IN,121479.85,C190868662,5727240.3,5848720.16,C1076835071,389392.05,267912.2
2,CASH_IN,320217.01,C707892422,5848720.16,6168937.16,C1318822808,326990.85,11142.89
2,CASH_IN,28247.25,C672777312,6168937.16,6197184.41,C24119573,204741.13,51574.35
2,CASH_IN,83247.74,C808862230,6197184.41,6280432.15,C1899073220,631312.81,877201.48
2,CASH_IN,64978.38,C951819642,6280432.15,6345410.53,C193625667,284927.14,0.0
2,CASH_IN,278703.6,C512407823,6345410.53,6624114.13,C1749186397,364773.76,86070.17
2,CASH_IN,158226.9,C2027308154,6624114.13,6782341.03,C97730845,9336349.25,9367714.52
2,CASH_IN,284839.92,C2054332292,6782341.03,7067180.95,C1286084959,2207889.56,1923836.34
2,CASH_IN,137964.43,C507944445,7067180.95,7205145.37,C248609774,6096807.93,6534746.07
2,CASH_IN,160690.6,C1431244283,7205145.37,7365835.98,C1816757085,1.049697491E7,1.013591123E7
2,CASH_IN,72644.99,C527464124,7365835.98,7438480.97,C306206744,3524810.81,3541578.38
2,CASH_IN,151228.18,C1905280105,7438480.97,7589709.15,C33524623,503849.77,138395.49
2,CASH_IN,29929.77,C1536399059,7589709.15,7619638.92,C124540047,42932.68,13002.91
2,CASH_IN,30070.91,C1981708431,7619638.92,7649709.82,C42158278,53275.0,241346.84
2,CASH_IN,209159.54,C1783047526,7649709.82,7858869.37,C1997859171,603117.3,393957.76
2,CASH_IN,109768.65,C419923787,7858869.37,7968638.01,C451111351,3668518.43,3419944.48
2,CASH_IN,216556.93,C1583722422,7968638.01,8185194.94,C564160838,1453254.77,1070702.75
2,CASH_IN,85917.73,C1530560245,8185194.94,8271112.67,C459857341,387263.02,360326.58
2,CASH_IN,208366.03,C142941409,8271112.67,8479478.7,C1782113663,2980462.29,2798692.37
2,CASH_IN,36251.27,C765329253,8479478.7,8515729.97,C1491676195,87060.0,206.12
2,CASH_IN,149683.03,C1593245055,8515729.97,8665413.0,C1789550256,4325493.65,3964356.31
2,CASH_IN,56238.58,C1446243714,8665413.0,8721651.58,C357863579,103695.75,47457.17
2,CASH_IN,105173.53,C1987154353,8721651.58,8826825.11,C793315160,139915.18,64836.97
2,CASH_IN,32852.19,C886386381,8826825.11,8859677.3,C657736958,5638293.96,5579568.65
2,CASH_IN,22096.38,C1562452013,8859677.3,8881773.68,C481402298,871439.65,330085.6
2,PAYMENT,3840.87,C347572726,17057.0,13216.13,M1857126088,0.0,0.0
2,TRANSFER,53763.65,C1930401429,539.0,0.0,C63387985,3883.96,86242.27
2,PAYMENT,3604.2,C662433937,112703.0,109098.8,M262878641,0.0,0.0
2,TRANSFER,106141.92,C1778994610,109098.8,2956.89,C481402298,849343.27,330085.6
2,TRANSFER,82616.3,C1706939736,2956.89,0.0,C905650857,106637.0,283047.18
2,TRANSFER,149935.68,C498748934,0.0,0.0,C811597470,204822.85,354758.53
2,TRANSFER,13126.23,C1273689789,0.0,0.0,C1353512285,15349.0,0.0
2,PAYMENT,2507.52,C1798194863,5242.0,2734.48,M1613912455,0.0,0.0
2,DEBIT,3718.7,C792195577,20793.0,17074.3,C1041638599,13785.78,17504.47
2,PAYMENT,4343.55,C863286716,30732.0,26388.45,M720803395,0.0,0.0
2,PAYMENT,157.91,C1484397819,172.0,14.09,M1213367860,0.0,0.0
2,CASH_OUT,55898.94,C1578959831,14.09,0.0,C2063763486,525593.05,792325.38
2,PAYMENT,3838.0,C1078448857,1995.0,0.0,M1221759982,0.0,0.0
2,PAYMENT,2038.61,C342740966,30034.0,27995.39,M576222471,0.0,0.0
2,CASH_OUT,52054.69,C1551350415,27995.39,0.0,C1262822392,1.186265557E7,1.191471026E7
2,PAYMENT,61.68,C6688524,6461.0,6399.32,M2047799833,0.0,0.0
2,PAYMENT,10553.58,C455036946,130239.0,119685.42,M2061316668,0.0,0.0
2,PAYMENT,9034.36,C1249070084,19862.0,10827.64,M1197535593,0.0,0.0
2,DEBIT,1332.91,C639542871,5582.0,4249.09,C1955948959,31184.0,0.0
2,PAYMENT,13832.09,C901852282,4249.09,0.0,M1703040426,0.0,0.0
2,PAYMENT,29.26,C623446986,10460.0,10430.74,M1985363238,0.0,0.0
2,CASH_OUT,26596.11,C1254649194,10430.74,0.0,C1782113663,2772096.26,2798692.37
2,PAYMENT,5179.74,C1032867484,24506.0,19326.26,M1351247295,0.0,0.0
2,PAYMENT,1470.16,C401792389,39703.0,38232.84,M509104428,0.0,0.0
2,PAYMENT,11760.28,C553846997,74741.0,62980.72,M581383895,0.0,0.0
2,PAYMENT,4733.94,C599316979,731863.0,727129.06,M2134195609,0.0,0.0
2,PAYMENT,6466.5,C1179244298,14990.0,8523.5,M1564688538,0.0,0.0
2,DEBIT,7677.73,C953253248,92385.0,84707.27,C564160838,1236697.84,1070702.75
2,TRANSFER,147176.03,C1860060918,31755.0,0.0,C2117043942,80624.91,173135.98
2,DEBIT,309.33,C1713847712,70255.0,69945.67,C1401316767,583425.68,61151.23
2,PAYMENT,819.45,C556263022,356658.0,355838.55,M304718519,0.0,0.0
2,PAYMENT,8892.44,C240959474,30607.0,21714.56,M1372150180,0.0,0.0
2,PAYMENT,311.38,C1338229093,1461.0,1149.62,M278986288,0.0,0.0
2,CASH_OUT,222108.22,C2070438137,1149.62,0.0,C248609774,5958843.51,6534746.07
2,PAYMENT,4485.32,C1626800713,250393.0,245907.68,M837693403,0.0,0.0
2,DEBIT,4241.78,C640161448,57664.0,53422.22,C1883840933,1.687464309E7,1.668492993E7
2,PAYMENT,9723.57,C520082748,20027.0,10303.43,M1187146208,0.0,0.0
2,TRANSFER,38473.99,C110233108,203.0,0.0,C13226198,0.0,38473.99
2,PAYMENT,24445.19,C1617550648,0.0,0.0,M6267452,0.0,0.0
2,PAYMENT,2976.86,C1434932926,771.0,0.0,M1127434428,0.0,0.0
2,PAYMENT,15774.38,C1830669823,0.0,0.0,M271502370,0.0,0.0
2,PAYMENT,4723.65,C2146654783,239578.0,234854.35,M651992021,0.0,0.0
2,PAYMENT,3452.17,C623757508,345.0,0.0,M1124360095,0.0,0.0
2,PAYMENT,21501.47,C641980258,215933.0,194431.53,M1677976140,0.0,0.0
2,PAYMENT,3562.21,C790851040,2170.0,0.0,M1320826684,0.0,0.0
2,PAYMENT,311.28,C1987707214,19221.0,18909.72,M219192399,0.0,0.0
2,PAYMENT,6190.73,C963165280,4022.0,0.0,M653553574,0.0,0.0
2,PAYMENT,380.02,C2259527,196.0,0.0,M156855528,0.0,0.0
2,CASH_OUT,65971.82,C1974356511,0.0,0.0,C13329486,84212.94,10659.79
2,PAYMENT,9971.14,C1881309779,40653.0,30681.86,M1673604690,0.0,0.0
2,PAYMENT,4700.07,C566042862,4115.0,0.0,M650410100,0.0,0.0
2,PAYMENT,349.63,C1108367077,9037.0,8687.37,M675889995,0.0,0.0
2,PAYMENT,5581.28,C1622912252,106305.0,100723.72,M1706655559,0.0,0.0
2,DEBIT,2290.11,C626961003,54507.3,52217.19,C1711105800,157289.57,147251.58
2,PAYMENT,12165.21,C1198515856,52217.19,40051.99,M2047770317,0.0,0.0
2,PAYMENT,1383.91,C1424188812,40051.99,38668.08,M71209097,0.0,0.0
2,TRANSFER,106622.7,C1012776440,30870.0,0.0,C1183572822,73012.0,141949.63
2,DEBIT,634.95,C892093608,30365.0,29730.05,C990398217,83845.22,6768.24
2,PAYMENT,6013.05,C2058127492,43830.0,37816.95,M174515584,0.0,0.0
2,PAYMENT,15186.43,C1535454025,20145.0,4958.57,M215690645,0.0,0.0
2,DEBIT,2307.17,C304966690,15629.0,13321.83,C884457408,82609.64,84916.82
2,PAYMENT,9541.85,C794476802,5356.0,0.0,M1576499395,0.0,0.0
2,PAYMENT,5206.23,C143999341,243.0,0.0,M1906335777,0.0,0.0
2,PAYMENT,5260.41,C135003590,454.0,0.0,M1859956068,0.0,0.0
2,PAYMENT,9105.32,C1281361915,10229.0,1123.68,M1043584830,0.0,0.0
2,PAYMENT,4918.9,C1770125555,2391.0,0.0,M1648217898,0.0,0.0
2,PAYMENT,14349.18,C783172425,0.0,0.0,M243596165,0.0,0.0
2,PAYMENT,16947.34,C1755634886,28890.0,11942.66,M1684802151,0.0,0.0
2,PAYMENT,10211.96,C939829672,31064.0,20852.04,M292890110,0.0,0.0
2,PAYMENT,3073.34,C1601800698,11216.0,8142.66,M1539477312,0.0,0.0
