step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
17,PAYMENT,14245.71,C1952885984,10929.0,0.0,M869494862,0.0,0.0
17,PAYMENT,9834.95,C666327681,0.0,0.0,M734185723,0.0,0.0
17,CASH_IN,350074.01,C1778540751,42462.0,392536.01,C584240576,0.0,0.0
17,TRANSFER,1119880.19,C1115368641,807343.54,0.0,C1528241989,257358.25,1623223.99
17,TRANSFER,509836.85,C1602553181,0.0,0.0,C1683963531,2933460.49,3443297.35
17,TRANSFER,154022.56,C1648204614,0.0,0.0,C1411278061,319880.81,473903.37
17,CASH_IN,106350.75,C465603542,0.0,106350.75,C579172988,677.0,0.0
17,PAYMENT,9442.65,C13017419,106350.75,96908.1,M1998517219,0.0,0.0
17,CASH_IN,192376.76,C2037883373,31144.0,223520.76,C464503817,124790.0,0.0
17,PAYMENT,16623.74,C1719012142,15173.0,0.0,M1393500754,0.0,0.0
17,CASH_OUT,3269.89,C1401831995,51581.0,48311.11,C1687125807,108997.85,112267.74
17,TRANSFER,1197080.58,C389216622,16916.0,0.0,C2011806990,887689.73,2084770.31
17,CASH_IN,263609.81,C1095483357,72250.0,335859.81,C2072829904,0.0,0.0
17,TRANSFER,759356.12,C1803290644,70012.28,0.0,C22323336,1117790.89,1877147.01
17,PAYMENT,657.58,C1254232282,0.0,0.0,M1245411685,0.0,0.0
17,CASH_OUT,188334.31,C1444053672,52624.0,0.0,C1759639142,155356.98,151865.29
17,CASH_OUT,328616.54,C1562713302,455483.0,126866.46,C1874611186,1394626.62,1723243.17
17,TRANSFER,1098532.21,C129733480,25802.0,0.0,C161038819,185981.07,1284513.28
17,PAYMENT,7678.39,C375005867,0.0,0.0,M1419769098,0.0,0.0
17,PAYMENT,15041.57,C556372195,0.0,0.0,M2052220797,0.0,0.0
17,CASH_OUT,358067.41,C1029332454,175.0,0.0,C516154704,2649368.83,3007436.24
17,CASH_OUT,232706.24,C382126306,5052.0,0.0,C1755140654,1513869.05,1746575.28
17,CASH_OUT,117211.26,C2063989841,103127.0,0.0,C372624133,2225009.07,2342220.33
17,CASH_OUT,345541.79,C310707651,23872.0,0.0,C404967055,0.0,345541.79
17,CASH_OUT,415398.43,C2111823640,301628.0,0.0,C2029228330,278.0,415676.43
17,TRANSFER,2279068.47,C1576966553,14478.0,0.0,C1139198878,3916825.57,6359747.5
17,CASH_OUT,751383.81,C164430083,10853.0,0.0,C995361110,2872865.83,5084630.87
17,CASH_OUT,142810.66,C861710052,0.0,0.0,C1713233255,1070235.75,1213046.41
17,CASH_OUT,203290.79,C813205640,0.0,0.0,C171980631,1272588.38,1475879.17
17,CASH_OUT,241299.96,C434371919,0.0,0.0,C18132216,1363956.74,1605256.71
17,CASH_OUT,71457.04,C2026316393,0.0,0.0,C482641208,467094.0,770332.52
17,CASH_OUT,9392.46,C788189203,0.0,0.0,C2019569561,124780.21,134172.68
17,CASH_OUT,68738.41,C1521627532,0.0,0.0,C822402960,501765.63,570504.04
17,CASH_OUT,185823.57,C1555932688,0.0,0.0,C176203926,2419382.76,2481375.61
17,CASH_OUT,250457.74,C497550212,0.0,0.0,C1255337552,475765.32,597178.18
17,CASH_OUT,253364.87,C1705652842,0.0,0.0,C64497195,493397.63,746762.5
17,CASH_OUT,132451.63,C786387202,0.0,0.0,C1867264358,383745.83,516197.45
17,CASH_IN,365886.39,C526647279,107.0,365993.39,C136263775,97651.14,0.0
17,PAYMENT,3664.41,C1116367780,365993.39,362328.98,M1988573437,0.0,0.0
17,PAYMENT,7170.55,C570695790,362328.98,355158.43,M580398918,0.0,0.0
17,CASH_OUT,299656.89,C861841402,560952.53,261295.64,C349371600,471934.36,771591.25
17,PAYMENT,20708.52,C2085691836,261295.64,240587.12,M2144692488,0.0,0.0
17,TRANSFER,463921.44,C475306923,719.0,0.0,C698127433,0.0,463921.44
17,CASH_IN,104865.4,C1517522604,19927.0,124792.4,C27739138,0.0,0.0
17,CASH_OUT,250803.22,C794433695,165989.0,0.0,C857531133,0.0,250803.22
17,PAYMENT,15387.13,C2064886101,14928.0,0.0,M1126366303,0.0,0.0
17,PAYMENT,33308.63,C98704505,4129.0,0.0,M2055434938,0.0,0.0
17,TRANSFER,371967.6,C482092478,0.0,0.0,C942096519,885913.69,1257881.29
17,TRANSFER,94255.41,C1210638962,0.0,0.0,C256488368,198882.39,293137.8
17,TRANSFER,509611.15,C1572617946,0.0,0.0,C1786396642,4527755.21,5037366.36
17,TRANSFER,472464.87,C1019974005,0.0,0.0,C57759114,2251052.52,2723517.39
17,TRANSFER,115570.45,C1101513351,0.0,0.0,C1868086617,6913755.49,7029325.93
17,TRANSFER,490103.95,C1318290355,0.0,0.0,C1935365522,6359235.41,6957724.95
17,TRANSFER,104255.17,C1927622229,0.0,0.0,C2046611860,5712214.29,5816469.46
17,TRANSFER,501389.47,C306534725,0.0,0.0,C54051206,561455.68,1062845.15
17,TRANSFER,1205071.99,C1837695600,0.0,0.0,C1394568230,1511604.8,2716676.79
17,TRANSFER,1228359.59,C1070959209,0.0,0.0,C1381357019,1639773.4,2868132.99
17,TRANSFER,1033836.18,C1679400000,0.0,0.0,C1181134324,1525328.05,2559164.23
17,TRANSFER,304755.42,C1546546935,0.0,0.0,C1376324863,2079910.1,2384665.52
17,TRANSFER,214513.01,C2031185280,0.0,0.0,C1490824989,342213.19,556726.2
17,TRANSFER,503485.73,C1778656777,0.0,0.0,C737412944,1265752.53,1769238.26
17,CASH_IN,239912.67,C1113021589,104116.0,344028.67,C84934641,507526.3,267613.64
17,CASH_IN,175267.59,C1839324158,126199.0,301466.59,C1774818413,1030167.94,904126.06
17,CASH_OUT,286385.64,C523163303,21834.0,0.0,C1172349931,5149.0,327727.0
17,PAYMENT,22647.09,C1423019813,60136.0,37488.91,M748344030,0.0,0.0
17,CASH_OUT,174070.69,C1325892248,0.0,0.0,C892981061,3418345.34,3592416.03
17,PAYMENT,9699.21,C653651505,0.0,0.0,M2114319725,0.0,0.0
17,PAYMENT,18871.26,C83084369,107354.0,88482.74,M1997772053,0.0,0.0
17,CASH_OUT,201450.88,C2124310944,16212.0,0.0,C224366580,0.0,201450.88
17,PAYMENT,31621.61,C803292547,1520.0,0.0,M900390242,0.0,0.0
17,CASH_OUT,367487.75,C1585073663,226945.82,0.0,C1456351628,144829.0,512316.76
17,TRANSFER,358958.96,C1403317497,0.0,0.0,C1520438285,4275735.87,4634694.82
17,PAYMENT,24242.89,C1984718419,68985.68,44742.79,M367981621,0.0,0.0
17,PAYMENT,30126.38,C435640002,44742.79,14616.41,M1841345057,0.0,0.0
17,PAYMENT,7076.09,C2016096052,14616.41,7540.32,M436613976,0.0,0.0
17,CASH_OUT,244878.71,C971257756,34693.0,0.0,C944189707,20096.0,264974.71
17,CASH_OUT,251240.86,C1365101371,52381.0,0.0,C2097106754,4248406.53,4499647.39
17,CASH_IN,225871.83,C1882070187,5195.0,231066.83,C1110164109,0.0,0.0
17,PAYMENT,22668.67,C1536785669,231066.83,208398.16,M1129969981,0.0,0.0
17,PAYMENT,15929.73,C2095249022,108779.0,92849.27,M2083091981,0.0,0.0
17,PAYMENT,13674.85,C1825070552,92849.27,79174.42,M1616167277,0.0,0.0
17,TRANSFER,1423316.73,C191793695,22489.0,0.0,C925108572,0.0,1423316.73
17,CASH_OUT,301082.23,C1019223137,11226.0,0.0,C375030346,0.0,301082.23
17,CASH_OUT,21203.35,C306753724,90590.0,69386.65,C283072302,458271.11,479474.46
17,TRANSFER,243410.8,C1414612017,253698.0,10287.2,C1204904393,478578.49,721989.29
17,CASH_OUT,362258.38,C730858198,35833.0,0.0,C2122960124,0.0,362258.38
17,CASH_OUT,324747.66,C386867409,86469.0,0.0,C1858170625,144009.0,468756.66
17,CASH_OUT,60683.85,C1083555804,0.0,0.0,C617978020,91715.2,0.0
17,DEBIT,7732.45,C507185971,183.0,0.0,C625424625,84010.88,91743.33
17,CASH_OUT,289056.68,C899034256,20052.0,0.0,C1845978303,114950.65,404007.33
17,PAYMENT,22432.35,C1542560603,212219.0,189786.65,M913814694,0.0,0.0
17,CASH_OUT,110558.89,C1884505032,6922.0,0.0,C697373134,59801.0,170359.89
17,CASH_OUT,350780.61,C1956975614,14408.0,0.0,C446529191,0.0,40896.63
17,PAYMENT,31510.07,C601453938,0.0,0.0,M679487275,0.0,0.0
17,CASH_OUT,118721.31,C1109884144,21674.0,0.0,C617220580,234566.8,353288.11
17,PAYMENT,20830.55,C507620777,0.0,0.0,M1994078710,0.0,0.0
17,PAYMENT,5032.52,C1607197049,0.0,0.0,M645060236,0.0,0.0
17,TRANSFER,1402622.27,C894245646,9257.0,0.0,C343033864,50589.0,1453211.27
17,PAYMENT,29328.08,C443973848,175.0,0.0,M448162502,0.0,0.0
17,CASH_OUT,157506.78,C717232554,19068.0,0.0,C779242300,813234.02,970740.81
17,CASH_IN,346603.97,C1997075095,10110.0,356713.97,C1022458520,1334357.79,1241862.76
17,PAYMENT,191.11,C1507253486,41103.0,40911.89,M1889496392,0.0,0.0
17,CASH_OUT,59541.76,C1513633720,300890.0,241348.24,C1137096674,172719.66,232261.42
17,PAYMENT,4381.02,C1779755554,21808.0,17426.98,M97151522,0.0,0.0
17,CASH_OUT,115267.02,C238334718,126659.0,11391.98,C1549680453,1589883.27,1705150.29
17,CASH_IN,99147.62,C355123575,41388.0,140535.62,C1166360497,35828.12,0.0
17,CASH_OUT,186100.36,C1478650890,96677.72,0.0,C1825348684,365045.39,551145.76
17,CASH_OUT,124564.08,C250582614,0.0,0.0,C1536327216,2470990.02,2595554.1
17,CASH_OUT,69163.65,C635921975,41567.0,0.0,C2059369168,0.0,69163.65
17,CASH_IN,428418.16,C1711618693,597.0,429015.16,C1727097309,1260226.7,831808.54
17,CASH_IN,250572.66,C764172403,64642.0,315214.66,C1752786518,2328.14,0.0
17,PAYMENT,9346.2,C1596139186,41035.0,31688.8,M1105933759,0.0,0.0
17,PAYMENT,10038.15,C250998293,31688.8,21650.65,M1106600056,0.0,0.0
17,TRANSFER,2124382.34,C119916610,63967.0,0.0,C895159201,2499311.95,4623694.29
17,CASH_IN,32010.01,C536564692,0.0,32010.01,C1096187131,375849.32,408650.5
17,CASH_IN,10436.34,C1054839672,32010.01,42446.35,C536129683,13257.0,2820.66
17,CASH_IN,232983.32,C1422119547,26340.0,259323.32,C897697267,5832939.36,5599956.04
17,CASH_OUT,446019.24,C2098030457,31486.0,0.0,C2050163658,321185.27,1006577.99
17,PAYMENT,13747.51,C950923007,81917.0,68169.49,M2058092225,0.0,0.0
17,CASH_OUT,73363.11,C816950245,64499.0,0.0,C1623170603,1096126.4,1169489.51
17,PAYMENT,16205.9,C638661669,3253.0,0.0,M1906109454,0.0,0.0
17,CASH_OUT,145555.9,C1424251146,22706.0,0.0,C163296147,397372.05,542927.94
17,PAYMENT,21219.6,C1773612784,71731.0,50511.4,M1177063423,0.0,0.0
17,CASH_IN,165120.44,C1354950568,20801.0,185921.44,C1101441872,102829.5,0.0
17,PAYMENT,19503.09,C639158451,21463.0,1959.91,M1980281390,0.0,0.0
17,PAYMENT,18221.33,C1952291943,19642.0,1420.67,M870697699,0.0,0.0
17,PAYMENT,9511.39,C1406714236,1420.67,0.0,M1618120939,0.0,0.0
17,CASH_OUT,176830.1,C2018805286,16274.0,0.0,C591818840,4548637.54,4725467.64
17,CASH_IN,186410.42,C1711012125,74598.0,261008.42,C1054287225,5795.42,0.0
17,CASH_OUT,182687.76,C1891440639,261008.42,78320.65,C1339462616,213250.74,395938.5
