step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
7,PAYMENT,9023.63,C1801509276,159253.0,150229.37,M1413117445,0.0,0.0
7,PAYMENT,13266.85,C865697287,14358.0,1091.15,M1671164933,0.0,0.0
7,CASH_OUT,77253.21,C249200083,1091.15,0.0,C271588719,471444.0,336403.65
7,TRANSFER,360373.89,C165128275,925.28,0.0,C1213485528,0.0,234828.48
7,PAYMENT,1526.5,C1908839976,0.0,0.0,M1304522697,0.0,0.0
7,PAYMENT,18747.29,C271099719,0.0,0.0,M612958241,0.0,0.0
7,PAYMENT,5248.34,C1631298894,134912.0,129663.66,M658645383,0.0,0.0
7,PAYMENT,4944.21,C1912973495,48167.0,43222.79,M518072030,0.0,0.0
7,PAYMENT,11933.67,C583852441,183330.44,171396.76,M347386462,0.0,0.0
7,CASH_OUT,75359.52,C1269555311,171396.76,96037.24,C400720732,99910.0,45394.67
7,PAYMENT,5624.78,C1550575634,25211.24,19586.46,M435030575,0.0,0.0
7,CASH_OUT,67787.89,C679046414,19586.46,0.0,C2072865894,431002.28,182117.56
7,PAYMENT,5272.45,C1019562230,11681.0,6408.55,M1072499716,0.0,0.0
7,PAYMENT,5947.18,C1446762148,6408.55,461.38,M894025840,0.0,0.0
7,PAYMENT,2392.42,C593341655,75045.0,72652.58,M1946618260,0.0,0.0
7,PAYMENT,7046.53,C2088857414,72652.58,65606.05,M120617702,0.0,0.0
7,TRANSFER,761871.16,C1237669315,1248.0,0.0,C675203915,284974.0,777700.37
7,PAYMENT,3408.19,C88256198,43047.0,39638.81,M1917717111,0.0,0.0
7,TRANSFER,905112.26,C1982708114,23316.0,0.0,C863811613,31091.0,1328510.04
7,PAYMENT,3615.16,C363172313,114.0,0.0,M92350773,0.0,0.0
7,CASH_OUT,112681.95,C119445056,0.0,0.0,C347725669,121448.74,266931.55
7,PAYMENT,11877.65,C484728344,15107.0,3229.35,M628502276,0.0,0.0
7,PAYMENT,9065.86,C691171870,5082.0,0.0,M1517112814,0.0,0.0
7,PAYMENT,12672.81,C1682431013,30515.0,17842.19,M1885192614,0.0,0.0
7,PAYMENT,5528.36,C1246101297,8043.0,2514.64,M2063059370,0.0,0.0
7,TRANSFER,437415.9,C546014245,129552.0,0.0,C1095575585,623.0,0.0
7,TRANSFER,837439.12,C1053106531,0.0,0.0,C801142660,2081530.01,3504660.25
7,PAYMENT,17864.89,C1528622589,152123.0,134258.11,M534955437,0.0,0.0
7,TRANSFER,542435.88,C1664401624,8049.0,0.0,C237988421,0.0,628574.97
7,CASH_OUT,30918.53,C1961704420,0.0,0.0,C1870436181,155620.72,823.49
7,PAYMENT,12691.35,C1210205057,48894.0,36202.65,M1105475717,0.0,0.0
7,PAYMENT,3790.42,C68358753,8414.4,4623.98,M423377692,0.0,0.0
7,PAYMENT,1966.5,C1138249201,4623.98,2657.47,M588801311,0.0,0.0
7,PAYMENT,2627.97,C1057291015,26212.0,23584.03,M1192809248,0.0,0.0
7,CASH_OUT,3336.48,C1185851895,23584.03,20247.55,C83980058,408205.0,0.0
7,CASH_OUT,252322.27,C645794976,20247.55,0.0,C1457383927,503204.0,1273838.38
7,CASH_OUT,271308.11,C1043990443,0.0,0.0,C1477979030,8960118.08,1.078059635E7
7,CASH_OUT,560156.47,C1060786847,0.0,0.0,C1262822392,1.685397868E7,1.799374214E7
7,CASH_OUT,265115.26,C216577438,0.0,0.0,C1335946878,298544.45,828787.26
7,CASH_OUT,160642.36,C1520808879,0.0,0.0,C40075281,190539.16,1674676.75
7,CASH_OUT,23691.12,C877457423,0.0,0.0,C9108707,34225.0,57916.12
7,CASH_OUT,24971.08,C1502606003,0.0,0.0,C1733439693,41401.0,66372.08
7,DEBIT,2226.78,C268630105,30674.0,28447.22,C2110335494,34858.0,19622.4
7,PAYMENT,3358.66,C1741494589,22409.0,19050.34,M877809987,0.0,0.0
7,CASH_OUT,4339.89,C309208848,17897.0,13557.11,C861958315,101607.0,105946.89
7,PAYMENT,12294.76,C355063092,11167.0,0.0,M438448733,0.0,0.0
7,PAYMENT,12091.12,C1012707347,2847.54,0.0,M1600734767,0.0,0.0
7,PAYMENT,1620.17,C70432899,0.0,0.0,M252297858,0.0,0.0
7,PAYMENT,10364.69,C1443641176,14903.0,4538.31,M1128352648,0.0,0.0
