step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
107,TRANSFER,1299860.86,C1480088933,1299860.86,0.0,C279309247,0.0,0.0
107,CASH_OUT,1299860.86,C481898497,1299860.86,0.0,C215244777,0.0,1299860.86
107,TRANSFER,418691.02,C1854590782,418691.02,0.0,C177484937,0.0,0.0
107,CASH_OUT,418691.02,C1963602022,418691.02,0.0,C697599749,628282.31,1046973.33
107,TRANSFER,570649.33,C1866696919,570649.33,0.0,C1840997848,0.0,0.0
107,CASH_OUT,570649.33,C976192518,570649.33,0.0,C582209368,0.0,570649.33
107,TRANSFER,37133.63,C40128322,37133.63,0.0,C1650770381,0.0,0.0
107,CASH_OUT,37133.63,C642373224,37133.63,0.0,C507662237,848718.57,885852.2
107,TRANSFER,204675.48,C399361899,204675.48,0.0,C1430251334,0.0,0.0
107,CASH_OUT,204675.48,C307731888,204675.48,0.0,C717487050,109380.43,314055.91
