step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
64,TRANSFER,31574.65,C1061680194,31574.65,0.0,C2009518683,0.0,0.0
64,CASH_OUT,31574.65,C568731351,31574.65,0.0,C329030670,199385.83,230960.48
64,TRANSFER,37796.75,C1530845932,37796.75,0.0,C2125159934,0.0,0.0
64,CASH_OUT,37796.75,C758006561,37796.75,0.0,C2079728909,211905.39,249702.14
64,TRANSFER,17051.69,C759912226,17051.69,0.0,C287309829,0.0,0.0
64,CASH_OUT,17051.69,C1032527042,17051.69,0.0,C317596259,289129.2,306180.89
64,TRANSFER,960306.85,C273631269,960306.85,0.0,C1035103148,0.0,0.0
64,CASH_OUT,960306.85,C1336358470,960306.85,0.0,C89588966,0.0,960306.85
64,TRANSFER,3097121.75,C941791959,3097121.75,0.0,C1945517835,0.0,0.0
64,CASH_OUT,3097121.75,C1563094045,3097121.75,0.0,C1677375515,0.0,3097121.75
64,TRANSFER,436317.49,C927898109,436317.49,0.0,C542075780,0.0,0.0
64,CASH_OUT,436317.49,C1101896788,436317.49,0.0,C641861955,195948.3,632265.79
64,TRANSFER,104957.85,C1844789908,104957.85,0.0,C2049190094,0.0,0.0
64,CASH_OUT,104957.85,C1731531059,104957.85,0.0,C621663353,29237.79,134195.64
64,TRANSFER,841052.98,C1837436553,841052.98,0.0,C611839321,0.0,0.0
64,CASH_OUT,841052.98,C1776675634,841052.98,0.0,C1757751807,0.0,841052.98
64,TRANSFER,1814483.97,C1198248537,1814483.97,0.0,C29406343,0.0,0.0
64,CASH_OUT,1814483.97,C1694539503,1814483.97,0.0,C1906797318,0.0,1814483.97
