step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
37,CASH_IN,124004.32,C180091714,44951.0,168955.32,C391223526,44127.03,0.0
37,CASH_OUT,222870.25,C201141991,1189.0,0.0,C2004965924,0.0,222870.25
37,CASH_OUT,405410.55,C2093013000,231571.0,0.0,C1548692005,899327.43,1304737.98
37,CASH_OUT,170579.69,C1560581155,52641.0,0.0,C110407,122945.8,293525.49
37,PAYMENT,3936.52,C137364778,0.0,0.0,M1792575709,0.0,0.0
37,CASH_IN,41388.56,C279055638,11880.0,53268.56,C1920362500,0.0,0.0
37,CASH_OUT,373484.07,C1778267821,49928.0,0.0,C220267902,240628.47,614112.55
37,PAYMENT,41454.42,C1643083757,7687.0,0.0,M1331660141,0.0,0.0
37,CASH_OUT,190808.55,C1326840621,58138.0,0.0,C527175306,3557422.76,3748231.31
37,CASH_OUT,105716.19,C1472657212,26472.0,0.0,C1894671348,82380.39,188096.59
37,PAYMENT,56494.61,C1301066294,204612.0,148117.39,M2118853127,0.0,0.0
37,PAYMENT,4913.68,C518480496,148117.39,143203.71,M2130188679,0.0,0.0
37,CASH_IN,286670.4,C1456281964,2403.0,289073.4,C842007096,423057.43,230278.32
37,PAYMENT,12581.13,C1899053736,289073.4,276492.27,M1415600668,0.0,0.0
37,CASH_IN,47211.66,C1785353526,345.0,47556.66,C97858915,0.0,0.0
37,CASH_IN,36906.62,C1423062894,47556.66,84463.28,C1420119684,1533296.39,1496389.77
37,CASH_IN,154320.11,C789388126,84463.28,238783.38,C643048077,4703377.89,4549057.78
37,CASH_IN,137446.88,C2037056537,238783.38,376230.27,C21191225,547506.11,410059.23
37,CASH_IN,167701.27,C1091579367,376230.27,543931.54,C358216710,451899.28,284198.01
37,CASH_IN,485144.65,C79436780,543931.54,1029076.19,C946144514,611664.56,126519.91
37,CASH_IN,182321.32,C1135355854,1029076.19,1211397.51,C1620860396,3605122.67,3422801.35
37,CASH_IN,52801.08,C1657190510,1211397.51,1264198.59,C597655049,446728.16,393927.08
37,CASH_IN,105384.94,C586796740,1264198.59,1369583.52,C1804618754,3083793.89,2978408.95
37,CASH_IN,180333.05,C1182712332,1369583.52,1549916.57,C326336017,541524.18,0.0
37,CASH_IN,183161.34,C1682837338,1549916.57,1733077.91,C51371076,223711.29,285893.55
37,CASH_IN,227536.4,C865918581,1733077.91,1960614.31,C667677499,491059.31,198655.73
37,CASH_IN,129666.37,C1602205996,1960614.31,2090280.68,C1527868268,467129.14,337462.77
37,CASH_IN,78705.09,C1872854637,2090280.68,2168985.77,C777812754,909000.63,830295.53
37,CASH_IN,177984.32,C2063697948,2168985.77,2346970.09,C22768443,436047.32,460559.97
37,CASH_IN,61684.13,C784047743,2346970.09,2408654.22,C2047553290,320663.44,258979.31
37,CASH_IN,270614.04,C212853853,2408654.22,2679268.27,C1433363345,335696.8,65082.76
37,CASH_IN,224971.15,C1746510259,2679268.27,2904239.42,C739181519,1188281.15,963310.0
37,CASH_IN,84211.1,C523212228,2904239.42,2904239.42,C411362965,2904239.42,7542898.25
37,CASH_IN,19073.75,C1830135864,2904239.42,2923313.17,C1318000903,1215755.71,1196681.96
37,CASH_IN,260198.7,C518730955,2923313.17,3183511.87,C315191542,314280.3,54081.59
37,CASH_IN,295946.84,C1004145308,3183511.87,3479458.71,C1851966848,2683116.45,2387169.62
37,CASH_IN,199297.77,C1488464278,3479458.71,3678756.48,C1356143713,618670.89,419373.12
37,CASH_IN,478817.25,C413933265,3678756.48,4157573.73,C1975298587,3621820.73,3650158.85
