step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
61,TRANSFER,475368.94,C397354505,475368.94,0.0,C320276503,0.0,0.0
61,CASH_OUT,475368.94,C916986889,475368.94,0.0,C1738798142,1348026.73,1823395.67
61,TRANSFER,1735466.52,C182416415,1735466.52,0.0,C180492809,0.0,0.0
61,CASH_OUT,1735466.52,C319563760,1735466.52,0.0,C2133088178,0.0,1735466.52
61,TRANSFER,37720.99,C2113787126,37720.99,0.0,C2003052554,0.0,0.0
61,CASH_OUT,37720.99,C188991252,37720.99,0.0,C308006848,288804.07,326525.06
61,TRANSFER,1372301.24,C1544506396,1372301.24,0.0,C2060264943,0.0,0.0
61,CASH_OUT,1372301.24,C1024969195,1372301.24,0.0,C1809017437,0.0,1372301.24
61,TRANSFER,332138.32,C729983243,332138.32,0.0,C246124153,0.0,0.0
61,CASH_OUT,332138.32,C520847673,332138.32,0.0,C362089456,52021.34,384159.66
61,TRANSFER,55062.46,C960647528,55062.46,0.0,C1203056408,0.0,0.0
61,CASH_OUT,55062.46,C983142202,55062.46,0.0,C204026282,0.0,55062.46
61,TRANSFER,1155128.91,C74298259,1155128.91,0.0,C1317404545,0.0,0.0
61,CASH_OUT,1155128.91,C1202518126,1155128.91,0.0,C1162744412,0.0,1155128.91
