step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
117,TRANSFER,251621.18,C879463132,251621.18,0.0,C89396076,0.0,0.0
117,CASH_OUT,251621.18,C1370708725,251621.18,0.0,C558976656,8078266.37,8329887.55
117,TRANSFER,149279.69,C1647475681,149279.69,0.0,C396255249,0.0,0.0
117,CASH_OUT,149279.69,C653347115,149279.69,0.0,C1053517216,229339.41,378619.1
117,TRANSFER,16671.29,C1319377475,16671.29,0.0,C1414915255,0.0,0.0
117,CASH_OUT,16671.29,C93029776,16671.29,0.0,C13750897,794922.06,811593.35
117,TRANSFER,1761021.33,C1956060083,1761021.33,0.0,C770424771,0.0,0.0
117,CASH_OUT,1761021.33,C1485024283,1761021.33,0.0,C1222847172,9967.28,1770988.61
117,TRANSFER,466359.63,C916181834,466359.63,0.0,C2076493196,0.0,0.0
117,CASH_OUT,466359.63,C1868920588,466359.63,0.0,C1810440109,910109.57,1376469.2
117,TRANSFER,4032691.34,C802639228,4032691.34,0.0,C593736656,0.0,0.0
117,CASH_OUT,4032691.34,C1728211150,4032691.34,0.0,C1827237197,0.0,4032691.34
