step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
15,PAYMENT,20679.65,C838420483,0.0,0.0,M674579147,0.0,0.0
15,PAYMENT,13095.07,C1263639530,0.0,0.0,M186614437,0.0,0.0
15,TRANSFER,57548.28,C1893563029,2048.0,0.0,C704068314,52232.0,92781.44
15,CASH_OUT,122823.29,C1920752991,761435.51,638612.21,C9744165,62123.24,281412.0
15,PAYMENT,27049.65,C901060145,638612.21,611562.56,M1120448648,0.0,0.0
15,CASH_IN,120359.38,C1507484566,2200.0,122559.38,C1177873212,0.0,578993.81
15,CASH_IN,179421.71,C1239178071,316.0,179737.71,C1438512813,0.0,0.0
15,TRANSFER,871657.6,C1413863619,179737.71,0.0,C159608248,3231612.44,4103270.04
15,CASH_OUT,16562.25,C1393454643,303643.0,287080.75,C102851091,586958.31,224379.52
15,CASH_IN,365301.7,C1497526551,397131.0,762432.7,C1716892902,579906.57,162020.24
15,CASH_IN,25512.21,C1919913867,40817.0,66329.21,C661540905,803147.63,777635.42
15,CASH_IN,95231.34,C144102085,246125.0,341356.34,C390113200,4097818.88,4002587.54
15,PAYMENT,5411.33,C684280338,341356.34,335945.01,M1657363669,0.0,0.0
15,CASH_OUT,137830.03,C1817482448,415477.71,277647.68,C701975891,1947524.44,2085354.47
15,PAYMENT,16830.86,C1382708069,277647.68,260816.82,M806431456,0.0,0.0
15,CASH_OUT,56373.88,C404158403,21021.0,0.0,C562763766,521812.8,752209.54
15,CASH_OUT,110947.01,C1353454085,9502.0,0.0,C725243821,155382.95,439857.28
15,CASH_IN,327103.65,C1373418030,30558.0,357661.65,C488550214,407991.99,80888.34
15,PAYMENT,4770.58,C1747174623,11500.0,6729.42,M1193578231,0.0,0.0
15,CASH_IN,102858.11,C1999147052,11529.0,114387.11,C705073130,578973.27,824502.7
15,PAYMENT,3371.43,C1129382181,12176.0,8804.57,M891429036,0.0,0.0
15,CASH_OUT,93678.48,C1452430281,74903.0,0.0,C382003886,2759477.98,3025933.56
15,PAYMENT,21288.38,C1703411911,0.0,0.0,M781938042,0.0,0.0
15,CASH_OUT,242478.71,C169353029,40952.0,0.0,C634706255,342.0,133604.91
15,PAYMENT,7702.34,C1322256852,5054.0,0.0,M1811654385,0.0,0.0
15,CASH_OUT,134211.01,C511632969,3508.0,0.0,C2116802101,3706399.99,3840611.0
15,CASH_IN,199470.42,C1414934772,464320.0,663790.42,C1203237364,425446.34,304592.68
15,PAYMENT,2436.55,C444996867,663790.42,661353.87,M754773132,0.0,0.0
