step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
55,TRANSFER,760625.76,C1611123412,760625.76,0.0,C1796277088,0.0,0.0
55,CASH_OUT,760625.76,C749159040,760625.76,0.0,C1749746216,128272.02,888897.78
55,TRANSFER,309254.05,C1323797959,309254.05,0.0,C986375360,0.0,0.0
55,CASH_OUT,309254.05,C906689307,309254.05,0.0,C1018466821,218535.44,527789.5
55,TRANSFER,283400.42,C1745208932,283400.42,0.0,C2118682140,0.0,0.0
55,CASH_OUT,283400.42,C2116041382,283400.42,0.0,C1772301094,2662439.92,2945840.34
55,TRANSFER,109028.8,C215685392,109028.8,0.0,C1679780828,0.0,0.0
55,CASH_OUT,109028.8,C1835596211,109028.8,0.0,C1502942700,674110.57,783139.37
55,TRANSFER,854550.85,C723006620,854550.85,0.0,C240791931,0.0,0.0
55,CASH_OUT,854550.85,C1410522707,854550.85,0.0,C880907246,186808.48,1041359.33
55,TRANSFER,167715.53,C5594712,167715.53,0.0,C69798076,0.0,0.0
55,CASH_OUT,167715.53,C710580864,167715.53,0.0,C349231889,492360.21,660075.73
