step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
6,PAYMENT,4964.82,C347419231,5676.0,711.18,M322981749,0.0,0.0
6,PAYMENT,1993.69,C1825112984,711.18,0.0,M7040976,0.0,0.0
6,PAYMENT,4466.25,C1030849096,45837.0,41370.75,M752572788,0.0,0.0
6,PAYMENT,3092.92,C145382068,41370.75,38277.84,M1407492510,0.0,0.0
6,PAYMENT,3440.78,C1647708776,11264.0,7823.22,M340852643,0.0,0.0
6,PAYMENT,26643.14,C1316317287,19898.0,0.0,M954976358,0.0,0.0
6,PAYMENT,12048.52,C1792864345,11252.0,0.0,M2036508486,0.0,0.0
6,PAYMENT,2125.09,C473030237,114.0,0.0,M2055183685,0.0,0.0
6,CASH_OUT,229790.53,C1999434859,0.0,0.0,C991505714,1695079.69,1924870.22
6,PAYMENT,2892.49,C462959967,132856.0,129963.51,M155833159,0.0,0.0
6,PAYMENT,8940.39,C257614494,122.0,0.0,M533053618,0.0,0.0
6,PAYMENT,15455.85,C1168981208,27793.0,12337.15,M45681857,0.0,0.0
6,PAYMENT,12848.12,C1513046042,1053.0,0.0,M1809767357,0.0,0.0
6,PAYMENT,352.7,C1203331554,0.0,0.0,M221033168,0.0,0.0
6,PAYMENT,10296.83,C757271807,0.0,0.0,M817707477,0.0,0.0
6,PAYMENT,13597.47,C1015539793,0.0,0.0,M1414883107,0.0,0.0
6,PAYMENT,7341.98,C1629805986,8458.0,1116.02,M940454850,0.0,0.0
6,DEBIT,1556.49,C1003000306,22131.0,20574.51,C1917025677,61994.82,63551.31
6,PAYMENT,385.39,C1146848727,20574.51,20189.12,M64330035,0.0,0.0
6,PAYMENT,8545.54,C1242315432,20189.12,11643.58,M892626202,0.0,0.0
6,PAYMENT,7993.75,C760822614,11643.58,3649.83,M40514511,0.0,0.0
6,PAYMENT,27202.42,C689471568,3649.83,0.0,M1058155740,0.0,0.0
6,PAYMENT,18666.07,C1542792163,0.0,0.0,M148018969,0.0,0.0
6,PAYMENT,20112.79,C1696963667,0.0,0.0,M1275013351,0.0,0.0
6,PAYMENT,16419.57,C971497536,0.0,0.0,M630313530,0.0,0.0
6,PAYMENT,5060.44,C1813976543,0.0,0.0,M1586868395,0.0,0.0
6,PAYMENT,1031.66,C1484177113,0.0,0.0,M1943910383,0.0,0.0
6,PAYMENT,7285.68,C1744369062,0.0,0.0,M337314074,0.0,0.0
6,PAYMENT,1200.57,C2037835062,0.0,0.0,M1728726840,0.0,0.0
6,PAYMENT,8335.65,C1207950266,0.0,0.0,M195035534,0.0,0.0
6,PAYMENT,12798.82,C1160845977,0.0,0.0,M1882695296,0.0,0.0
6,PAYMENT,6771.54,C1227653431,0.0,0.0,M1108039149,0.0,0.0
6,PAYMENT,2223.47,C253983463,0.0,0.0,M1122885157,0.0,0.0
6,PAYMENT,10219.4,C1877334646,0.0,0.0,M2010734170,0.0,0.0
6,PAYMENT,24342.09,C1664738820,0.0,0.0,M1334378672,0.0,0.0
6,PAYMENT,7338.27,C243156317,0.0,0.0,M870900038,0.0,0.0
6,PAYMENT,1440.1,C525154553,0.0,0.0,M407254816,0.0,0.0
6,PAYMENT,2824.15,C1693375960,0.0,0.0,M284746450,0.0,0.0
6,PAYMENT,7868.21,C1711573700,0.0,0.0,M1330798099,0.0,0.0
6,PAYMENT,8069.14,C1564494396,0.0,0.0,M184147252,0.0,0.0
6,PAYMENT,4074.95,C1214850053,0.0,0.0,M353786333,0.0,0.0
6,PAYMENT,6445.27,C1247338729,0.0,0.0,M244090091,0.0,0.0
6,CASH_IN,93355.27,C256167987,30333.0,123688.27,C193625667,0.0,0.0
6,PAYMENT,5580.15,C675002551,123688.27,118108.12,M636050161,0.0,0.0
6,PAYMENT,11192.72,C1336420731,104417.0,93224.28,M1715781109,0.0,0.0
6,PAYMENT,18540.96,C332357514,20939.0,2398.04,M2090770896,0.0,0.0
6,PAYMENT,32012.74,C1928572105,388356.0,356343.26,M832248951,0.0,0.0
6,PAYMENT,5393.37,C1480668865,567.0,0.0,M1373146168,0.0,0.0
6,PAYMENT,30042.12,C1050867502,116420.0,86377.88,M1471364137,0.0,0.0
6,PAYMENT,34209.42,C102100768,162.0,0.0,M322505366,0.0,0.0
6,PAYMENT,11436.26,C982226008,0.0,0.0,M1956095316,0.0,0.0
6,PAYMENT,20463.42,C1574057993,720.0,0.0,M107279519,0.0,0.0
6,PAYMENT,8191.6,C1621854559,14584.0,6392.4,M694103323,0.0,0.0
6,PAYMENT,3648.44,C1694587465,9984.0,6335.56,M1155566202,0.0,0.0
6,TRANSFER,33332.86,C2025652936,33332.86,0.0,C1662235713,0.0,0.0
6,CASH_OUT,33332.86,C685428529,33332.86,0.0,C1626759869,31002.0,0.0
6,PAYMENT,5469.25,C1206258545,30.0,0.0,M127269549,0.0,0.0
6,PAYMENT,21248.82,C397284309,31686.0,10437.18,M1777591638,0.0,0.0
6,PAYMENT,1936.85,C515495578,10437.18,8500.33,M911284082,0.0,0.0
6,PAYMENT,18083.03,C1367775958,9575.0,0.0,M665390309,0.0,0.0
6,PAYMENT,1819.34,C2012480396,0.0,0.0,M1235247239,0.0,0.0
6,PAYMENT,7302.26,C739574607,20869.0,13566.74,M1135930380,0.0,0.0
6,PAYMENT,28260.77,C344682389,10993.0,0.0,M1592099291,0.0,0.0
6,PAYMENT,5815.23,C1517223475,23701.0,17885.77,M1046396414,0.0,0.0
