step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
94,PAYMENT,5475.28,C319706366,29963.0,24487.72,M349724451,0.0,0.0
94,CASH_OUT,3163.67,C1158667486,104640.0,101476.33,C2071352839,745649.16,748812.84
94,PAYMENT,8924.72,C961129114,20960.0,12035.28,M1476505833,0.0,0.0
94,PAYMENT,7100.76,C251059597,100705.0,93604.24,M899942817,0.0,0.0
94,PAYMENT,3540.46,C1095592181,31113.0,27572.54,M345902797,0.0,0.0
94,PAYMENT,3159.58,C750564198,10954.0,7794.42,M960515665,0.0,0.0
94,PAYMENT,5221.46,C333484876,1020.0,0.0,M2003574683,0.0,0.0
94,CASH_IN,377315.3,C1040364947,0.0,377315.3,C189798716,1833290.19,1455974.89
94,CASH_IN,302581.14,C93013700,377315.3,679896.44,C1297342391,1678142.76,1375561.62
94,CASH_IN,59356.33,C317120458,679896.44,739252.77,C856417736,77909.15,18552.81
94,CASH_IN,282313.69,C90282698,739252.77,1021566.46,C882629398,892803.76,610490.07
94,CASH_IN,117378.51,C786696664,1021566.46,1138944.97,C794855477,367656.52,250278.0
94,CASH_IN,481468.37,C1904658342,1138944.97,1620413.34,C1683144899,1751433.1,1269964.73
94,CASH_IN,95459.47,C1429888723,1620413.34,1715872.81,C1310255027,1572249.52,1476790.06
94,CASH_IN,346623.6,C1543780724,1715872.81,2062496.41,C1489369739,8441004.28,8094380.68
94,CASH_IN,377850.76,C1377849829,2062496.41,2440347.17,C266140298,1710345.83,1332495.07
94,CASH_IN,134099.24,C366741488,2440347.17,2574446.41,C1723848379,557222.46,423123.22
94,CASH_IN,164360.12,C303505246,2574446.41,2738806.53,C1412291550,241196.49,76836.37
94,CASH_IN,62448.81,C1873107953,2738806.53,2801255.34,C236980850,905404.14,842955.33
94,CASH_IN,15878.45,C1071288473,2801255.34,2817133.79,C2103029245,980896.99,965018.53
94,CASH_IN,94863.56,C1246556949,2817133.79,2911997.36,C873498072,373669.22,278805.66
94,CASH_IN,181075.6,C1619785965,2911997.36,3093072.96,C528313996,1076324.55,895248.95
94,CASH_IN,158179.31,C624188894,3093072.96,3251252.27,C1145742634,515673.83,357494.52
94,CASH_IN,377083.51,C1317097401,3251252.27,3628335.78,C1347177629,2555425.42,2178341.91
94,CASH_IN,235863.93,C1668860199,3628335.78,3864199.7,C358941430,645667.89,409803.96
94,CASH_IN,245962.94,C1544231221,3864199.7,4110162.65,C1104385538,280487.31,34524.36
