step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
86,TRANSFER,305817.12,C1107960128,305817.12,0.0,C76175380,0.0,0.0
86,CASH_OUT,305817.12,C337026029,305817.12,0.0,C1022926752,0.0,305817.12
86,TRANSFER,1.0E7,C1843531771,1.893160789E7,8931607.89,C632110164,0.0,0.0
86,CASH_OUT,1.0E7,C538142346,1.0E7,0.0,C557678014,0.0,1.0E7
86,TRANSFER,8931607.89,C1230337572,8931607.89,0.0,C720836200,0.0,0.0
86,CASH_OUT,8931607.89,C849209216,8931607.89,0.0,C754619416,141515.57,9073123.46
86,TRANSFER,21829.31,C1342024703,21829.31,0.0,C1828683068,0.0,0.0
86,CASH_OUT,21829.31,C1952555964,21829.31,0.0,C1702948277,357009.54,378838.85
86,TRANSFER,6972164.97,C384245570,6972164.97,0.0,C898480186,0.0,0.0
86,CASH_OUT,6972164.97,C1268472825,6972164.97,0.0,C2126149202,5680.28,6977845.25
86,TRANSFER,17822.02,C1763423014,17822.02,0.0,C2088891396,0.0,0.0
86,CASH_OUT,17822.02,C270438906,17822.02,0.0,C976082192,2619609.53,2637431.55
86,TRANSFER,88649.1,C1043173812,88649.1,0.0,C1425524479,0.0,0.0
86,CASH_OUT,88649.1,C796414235,88649.1,0.0,C1743229382,2239755.86,2328404.96
86,TRANSFER,372344.58,C466502993,372344.58,0.0,C1376830476,0.0,0.0
86,CASH_OUT,372344.58,C2134607507,372344.58,0.0,C950019767,0.0,372344.58
86,TRANSFER,72547.29,C759761137,72547.29,0.0,C1046167270,0.0,0.0
86,CASH_OUT,72547.29,C1087665354,72547.29,0.0,C121215038,79736.28,152283.57
