step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
93,CASH_OUT,285013.04,C302466000,10944.0,0.0,C1510475993,1255999.64,1541012.68
93,TRANSFER,416485.12,C298511904,94258.0,0.0,C836019933,195532.13,612017.25
93,PAYMENT,4246.03,C35907578,0.0,0.0,M76679250,0.0,0.0
93,CASH_OUT,178898.81,C748933843,508827.0,329928.19,C1004676621,107652.17,286550.98
93,CASH_OUT,264564.22,C1784578697,371.0,0.0,C375566498,0.0,264564.22
93,PAYMENT,9779.43,C2002756623,51748.0,41968.57,M1662771758,0.0,0.0
93,CASH_OUT,118446.26,C1360822740,380.0,0.0,C234470541,0.0,118446.26
93,PAYMENT,11638.34,C1338514356,0.0,0.0,M1161671070,0.0,0.0
93,PAYMENT,1543.71,C2030776709,315004.0,313460.29,M1277959505,0.0,0.0
93,PAYMENT,1547.18,C1127656155,9254.0,7706.82,M1806647906,0.0,0.0
93,TRANSFER,98069.69,C1267253643,7706.82,0.0,C2042243783,2540835.04,2638904.73
93,PAYMENT,3237.74,C1742904126,24335.0,21097.26,M301241707,0.0,0.0
93,PAYMENT,6942.44,C14248293,21097.26,14154.82,M223376492,0.0,0.0
93,CASH_OUT,29946.91,C2123900307,5026.0,0.0,C211850830,353393.02,383339.93
93,PAYMENT,11626.36,C1274194150,133831.0,122204.64,M11231932,0.0,0.0
93,CASH_IN,7760.9,C248939985,10560.0,18320.9,C1091628606,240712.11,232951.21
93,CASH_OUT,84419.15,C828218661,5934.0,0.0,C1694833755,1261716.26,1346135.41
93,CASH_OUT,257399.07,C1874241136,0.0,0.0,C839883584,672812.05,930211.13
93,PAYMENT,3092.55,C877889464,103233.0,100140.45,M244409582,0.0,0.0
93,CASH_OUT,40448.08,C1400403116,130197.0,89748.92,C1343664063,0.0,40448.08
93,CASH_OUT,16424.9,C161992085,89748.92,73324.02,C694602434,702766.85,719191.75
93,PAYMENT,7353.38,C568456542,40960.0,33606.62,M609371032,0.0,0.0
93,CASH_OUT,33627.9,C882876074,21402.0,0.0,C810370014,0.0,33627.9
93,CASH_OUT,218704.03,C65218249,5060.0,0.0,C1486249495,3606164.26,3824868.29
93,CASH_IN,119725.43,C755394798,29784.0,149509.43,C632547109,0.0,0.0
93,PAYMENT,7491.57,C461287509,108.0,0.0,M1398540126,0.0,0.0
93,CASH_OUT,88693.29,C1234413202,673.0,0.0,C646600154,0.0,88693.29
93,PAYMENT,7900.16,C1464657494,38779.0,30878.84,M970852594,0.0,0.0
93,PAYMENT,2612.23,C176922208,106565.0,103952.77,M1584926357,0.0,0.0
93,PAYMENT,1200.21,C1849044314,61677.0,60476.79,M661004790,0.0,0.0
93,TRANSFER,510825.28,C1900598244,60476.79,0.0,C837659261,1941090.93,2451916.21
93,PAYMENT,7052.62,C1876584446,1041.0,0.0,M811191202,0.0,0.0
93,PAYMENT,5690.55,C648422862,10108.0,4417.45,M298190093,0.0,0.0
93,TRANSFER,711501.44,C765420892,49859.0,0.0,C1697471603,3076722.82,3788224.26
