step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
3,PAYMENT,20971.0,C1415812333,19462.0,0.0,M1715606187,0.0,0.0
3,PAYMENT,27659.67,C647218712,37057.0,9397.33,M876864630,0.0,0.0
3,DEBIT,2673.5,C2093996783,11608.0,8934.5,C1134894336,140222.23,2167.32
3,PAYMENT,501.11,C174999703,8934.5,8433.39,M854977732,0.0,0.0
3,PAYMENT,11866.89,C431939256,10565.0,0.0,M463759298,0.0,0.0
3,PAYMENT,2108.36,C1677115089,0.0,0.0,M2130242983,0.0,0.0
3,PAYMENT,6967.64,C291284958,16736.0,9768.36,M704530496,0.0,0.0
3,PAYMENT,4136.97,C2133359512,13759.0,9622.03,M1183065103,0.0,0.0
3,PAYMENT,1094.13,C840042838,142.0,0.0,M1769339676,0.0,0.0
3,CASH_IN,36563.86,C1430104337,100035.0,136598.86,C875917495,0.0,0.0
3,PAYMENT,24826.85,C847141861,593.0,0.0,M277130309,0.0,0.0
3,CASH_IN,23669.02,C1450121298,0.0,23669.02,C1060830840,49059.87,25390.85
3,CASH_IN,143254.72,C1856128687,23669.02,166923.73,C459857341,360326.58,84207.15
3,CASH_IN,439543.98,C776178157,166923.73,606467.71,C932583850,4349631.34,3512606.05
3,CASH_IN,140728.41,C462487268,606467.71,747196.12,C1134894336,142895.73,2167.32
3,CASH_IN,159116.29,C890488908,747196.12,906312.41,C453211571,4024850.63,3809570.13
3,CASH_IN,140313.48,C1232631679,906312.41,1046625.89,C836514715,457666.01,411058.34
3,CASH_IN,98313.86,C2076611420,1046625.89,1144939.75,C995911260,139849.41,8629.02
3,CASH_IN,302642.08,C1740453150,1144939.75,1447581.84,C1916720513,6794806.94,6235766.54
3,CASH_IN,194242.46,C1288163341,1447581.84,1641824.3,C1870252780,7298141.96,7103899.5
3,CASH_IN,236510.08,C1183745381,1641824.3,1878334.38,C1453128758,723308.11,486798.02
3,CASH_IN,76284.92,C152937115,1878334.38,1954619.3,C481402298,693773.32,617488.4
