step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
41,CASH_OUT,150402.51,C1230304333,15703.0,0.0,C999222882,194108.63,344511.14
41,PAYMENT,11014.81,C1809338988,697136.0,686121.19,M2070949215,0.0,0.0
41,PAYMENT,6039.91,C1630147573,686121.19,680081.28,M254964993,0.0,0.0
41,PAYMENT,7579.46,C651173305,7861.0,281.54,M1555093225,0.0,0.0
41,PAYMENT,12193.65,C1832178481,281.54,0.0,M1907505643,0.0,0.0
41,PAYMENT,7739.18,C1462362033,255.0,0.0,M234118179,0.0,0.0
41,CASH_OUT,49270.63,C1184017399,15448.0,0.0,C1945895458,317261.32,305239.13
41,CASH_OUT,127592.24,C638562223,105737.0,0.0,C291060123,243027.88,370620.12
41,CASH_OUT,328187.78,C1061300360,14452.0,0.0,C137073075,310167.71,995131.02
41,PAYMENT,7326.81,C284716551,2546.0,0.0,M1130803964,0.0,0.0
41,CASH_OUT,305719.0,C407838696,26528.0,0.0,C1695655997,1143364.15,1301823.07
41,CASH_OUT,126011.98,C921137665,4208.0,0.0,C666432513,250034.01,376045.99
41,PAYMENT,23231.56,C1706867340,0.0,0.0,M322639253,0.0,0.0
41,PAYMENT,17789.05,C1944844357,187.0,0.0,M2115107651,0.0,0.0
41,CASH_OUT,282282.68,C2130269911,30975.0,0.0,C262480736,79971.9,549264.88
41,PAYMENT,5713.19,C900035360,0.0,0.0,M429956097,0.0,0.0
41,CASH_IN,98488.3,C1746577301,256.0,98744.3,C1270974360,940332.72,583472.04
41,CASH_OUT,94511.5,C1558256559,2067.0,0.0,C1195945883,0.0,546534.58
41,CASH_IN,133322.48,C1111711584,146740.0,280062.48,C651501771,0.0,0.0
41,PAYMENT,17681.99,C1604228029,280062.48,262380.49,M1652928980,0.0,0.0
41,CASH_OUT,286931.14,C921559624,244.0,0.0,C580774916,0.0,286931.14
41,CASH_OUT,296943.71,C1854735274,23584.0,0.0,C281184253,229753.34,972152.92
41,PAYMENT,6238.42,C1160079037,10432.0,4193.58,M174159068,0.0,0.0
41,CASH_OUT,105763.13,C1405560954,835.0,0.0,C1499142229,83086.23,248930.32
41,CASH_OUT,71301.37,C1439818235,11078.0,0.0,C570055253,0.0,0.0
41,CASH_OUT,2672.04,C1001350514,52580.0,49907.96,C664203889,439665.29,442337.33
41,TRANSFER,464502.24,C979968335,49907.96,0.0,C312366166,1293937.84,1758440.08
41,PAYMENT,3015.84,C1351043712,25974.2,22958.36,M168015698,0.0,0.0
41,TRANSFER,299173.48,C1246222229,22958.36,0.0,C1983851816,461254.3,760427.78
41,TRANSFER,153109.73,C970450123,0.0,0.0,C1661901745,878457.04,1149382.08
41,TRANSFER,17877.77,C1408133691,0.0,0.0,C1637645191,20410.36,38288.13
41,CASH_OUT,104773.54,C1153498675,820.0,0.0,C126391118,269371.35,374144.89
41,CASH_OUT,90335.66,C810508865,19733.0,0.0,C1206208699,88647.98,178983.64
41,CASH_OUT,196942.04,C918042943,810.0,0.0,C654576463,200.0,52412.71
41,CASH_IN,218405.88,C371663457,6231.0,224636.88,C1412572692,1339408.23,1121002.35
41,CASH_IN,300831.5,C1440049136,47660.0,348491.5,C762137726,128901.8,0.0
41,PAYMENT,5793.18,C507730529,348491.5,342698.32,M1766193495,0.0,0.0
41,CASH_IN,313296.03,C1189018164,20048.0,333344.03,C388949607,1181547.53,906177.39
41,CASH_OUT,61260.82,C952827896,71073.0,9812.18,C767383506,0.0,61260.82
41,CASH_OUT,194035.93,C1021192914,169.0,0.0,C953269798,2152982.11,2574709.65
41,PAYMENT,16687.9,C2056774495,0.0,0.0,M1261021539,0.0,0.0
41,CASH_OUT,129828.04,C619948737,161.0,0.0,C868060023,4489435.17,4619263.21
41,PAYMENT,12523.1,C1773571127,51323.0,38799.9,M746460997,0.0,0.0
41,TRANSFER,303763.71,C706396440,38799.9,0.0,C2088083573,517112.65,820876.36
41,TRANSFER,1345371.62,C327598904,0.0,0.0,C571989612,2754225.37,4099596.99
41,CASH_OUT,80282.48,C1317806667,1189.0,0.0,C1243922837,1488313.29,1568595.77
41,CASH_OUT,187643.67,C311738592,6024.0,0.0,C609419253,74556.25,262199.91
41,PAYMENT,1309.71,C1853542827,19952.0,18642.29,M1270894687,0.0,0.0
41,PAYMENT,2934.36,C1693560086,18642.29,15707.92,M1356264104,0.0,0.0
41,PAYMENT,25821.93,C1746507408,15707.92,0.0,M563241316,0.0,0.0
41,CASH_IN,257276.67,C1222828381,298864.0,556140.67,C1636577881,0.0,0.0
41,CASH_OUT,395746.17,C801507675,249.0,0.0,C890657551,173245.77,568991.94
41,PAYMENT,4998.72,C189769509,11522.0,6523.28,M962883177,0.0,0.0
41,CASH_OUT,51583.78,C1716750353,84828.0,33244.22,C573457361,146886.58,191982.5
41,CASH_OUT,53035.13,C2034288977,33244.22,0.0,C1501575806,166288.49,219323.62
41,CASH_OUT,310594.69,C264257491,40433.0,0.0,C1278177264,0.0,310594.69
41,CASH_OUT,235893.61,C365764452,3706.0,0.0,C604813556,0.0,583565.73
41,CASH_OUT,354735.0,C1873026764,2501.0,0.0,C153109035,0.0,354735.0
41,PAYMENT,4724.47,C282150952,60609.0,55884.53,M509723462,0.0,0.0
41,PAYMENT,624.62,C1672137169,55884.53,55259.91,M741865750,0.0,0.0
41,PAYMENT,13370.55,C918381744,55259.91,41889.36,M651619026,0.0,0.0
41,PAYMENT,23965.04,C327633816,7164.0,0.0,M15462327,0.0,0.0
41,CASH_OUT,282989.35,C1571722238,0.0,0.0,C301328365,357671.61,984852.78
41,CASH_OUT,87136.66,C1287615203,25098.0,0.0,C1440332872,0.0,87136.66
41,PAYMENT,2200.81,C1707944807,0.0,0.0,M973403710,0.0,0.0
41,PAYMENT,5347.45,C329036771,0.0,0.0,M604238617,0.0,0.0
41,CASH_OUT,175222.68,C672752365,48.0,0.0,C2137083225,140209.25,315431.93
41,CASH_OUT,176429.81,C892458198,904.0,0.0,C2141821347,111874.31,288304.12
41,PAYMENT,7827.67,C1136945720,21717.0,13889.33,M2028257890,0.0,0.0
41,PAYMENT,26449.2,C453630361,343.0,0.0,M547694922,0.0,0.0
41,CASH_OUT,40779.4,C1078989516,14935.0,0.0,C1738449029,0.0,34584.91
41,CASH_OUT,578662.57,C511262582,10361.0,0.0,C948606995,1144936.38,1723598.95
41,PAYMENT,5587.63,C1273624625,79873.0,74285.37,M1108309887,0.0,0.0
41,CASH_OUT,79243.14,C34200448,44625.0,0.0,C2036123830,6346.98,85590.12
41,CASH_IN,73154.18,C1440536120,89211.0,162365.18,C1999490109,0.0,0.0
41,CASH_OUT,176645.68,C1366328514,162365.18,0.0,C1504745102,3715832.23,4494073.52
41,CASH_OUT,41550.71,C1753064732,0.0,0.0,C285569297,1946055.06,1987605.77
41,CASH_OUT,12200.32,C618964552,0.0,0.0,C1816401635,2429851.0,1738596.01
41,CASH_OUT,109703.53,C389732858,0.0,0.0,C1013996610,2499761.77,2609465.3
41,CASH_OUT,222740.64,C1111034187,0.0,0.0,C3918315,1466638.16,1689378.79
41,CASH_OUT,62844.65,C1206452565,0.0,0.0,C2021672269,581260.4,644105.04
41,CASH_OUT,94376.96,C1178482950,0.0,0.0,C974115570,3765644.93,3860021.9
41,CASH_OUT,63327.92,C126537010,0.0,0.0,C276558833,1417027.8,1580696.56
41,CASH_OUT,13283.45,C234090457,0.0,0.0,C274682593,370074.11,383357.55
41,CASH_OUT,8758.59,C35628187,0.0,0.0,C880266891,526962.25,897898.55
41,CASH_OUT,142892.07,C895376343,0.0,0.0,C751010408,1236810.81,1477160.26
41,CASH_OUT,361800.87,C1693250323,0.0,0.0,C803913246,425290.37,787091.25
41,CASH_OUT,61792.9,C1995654512,0.0,0.0,C104558753,201798.18,353869.23
41,CASH_OUT,423164.53,C154602569,0.0,0.0,C1102288148,878720.36,1301884.89
41,CASH_OUT,192335.85,C1324383835,0.0,0.0,C556534527,658301.31,850637.16
41,TRANSFER,113877.35,C1292335357,34369.0,0.0,C1648839832,3918.85,406909.23
41,CASH_IN,205255.14,C557018344,50312.0,255567.14,C1552389048,2596112.34,2390857.2
41,CASH_IN,433275.17,C274164163,163987.0,597262.17,C1224866550,194069.28,0.0
41,PAYMENT,730.93,C1561911092,57035.0,56304.07,M732861690,0.0,0.0
41,CASH_OUT,384197.46,C297859403,57442.0,0.0,C1842167014,540108.79,984375.77
41,CASH_IN,96596.97,C988971969,386988.0,483584.97,C31001632,0.0,0.0
41,CASH_IN,174875.45,C554175188,52591.0,227466.45,C309896473,392739.35,217863.91
41,CASH_IN,121504.05,C2128499531,50211.0,171715.05,C505488197,0.0,0.0
41,CASH_OUT,323007.89,C1749219194,107160.0,0.0,C2057213413,67431.0,0.0
41,CASH_OUT,21899.07,C1182829880,234.0,0.0,C1025487590,990550.59,1012449.66
41,PAYMENT,2683.5,C658465174,797.0,0.0,M737618481,0.0,0.0
41,PAYMENT,868.03,C1425137938,273778.0,272909.97,M383406073,0.0,0.0
41,CASH_OUT,59939.95,C1245036389,21948.0,0.0,C1998839117,355277.86,415217.81
41,TRANSFER,274865.27,C1484894896,121700.0,0.0,C1607185096,24659.11,299524.39
41,PAYMENT,13746.36,C61026755,0.0,0.0,M1195508681,0.0,0.0
41,TRANSFER,157198.95,C543900371,39502.0,0.0,C2075847804,1250507.06,1407706.01
41,TRANSFER,48133.77,C1965711452,101241.0,53107.23,C973958630,0.0,48133.77
