step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
72,TRANSFER,2947783.87,C1641673590,2947783.87,0.0,C227659861,0.0,0.0
72,CASH_OUT,2947783.87,C1092143469,2947783.87,0.0,C528593406,353246.54,3301030.4
72,TRANSFER,730574.39,C1671411740,730574.39,0.0,C2033875224,0.0,0.0
72,CASH_OUT,730574.39,C1283613009,730574.39,0.0,C1291527211,183897.18,914471.57
72,TRANSFER,3786438.03,C1659791860,3786438.03,0.0,C199886377,0.0,0.0
72,CASH_OUT,3786438.03,C1706727269,3786438.03,0.0,C98727471,84013.26,3870451.29
72,TRANSFER,622235.32,C2071698582,622235.32,0.0,C1036746993,0.0,0.0
72,CASH_OUT,622235.32,C615309889,622235.32,0.0,C755984599,3377968.96,4000204.28
72,TRANSFER,3243092.91,C891068137,3243092.91,0.0,C177386089,0.0,0.0
72,CASH_OUT,3243092.91,C78395024,3243092.91,0.0,C1981613973,1299786.59,4542879.5
72,TRANSFER,1.0E7,C53057884,1.859406509E7,8594065.09,C588547519,0.0,0.0
72,CASH_OUT,1.0E7,C1438388258,1.0E7,0.0,C1089455271,81810.42,1.008181042E7
72,TRANSFER,8594065.09,C1801750044,8594065.09,0.0,C1420708952,0.0,0.0
72,CASH_OUT,8594065.09,C1456711816,8594065.09,0.0,C1231373551,5844.51,8599909.6
