step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
5,PAYMENT,7847.65,C920603686,41051.0,33203.35,M1988265335,0.0,0.0
5,CASH_OUT,85070.76,C947069810,33203.35,0.0,C451111351,3757745.24,3678302.15
5,PAYMENT,438.7,C1671214984,102381.0,101942.3,M804153761,0.0,0.0
5,PAYMENT,8215.28,C1294333974,51382.0,43166.72,M1819028083,0.0,0.0
5,PAYMENT,2882.94,C1783296129,12973.0,10090.06,M917847816,0.0,0.0
5,PAYMENT,6822.49,C1412600960,10090.06,3267.57,M1493177287,0.0,0.0
5,PAYMENT,1024.56,C1693658782,3267.57,2243.01,M2065764471,0.0,0.0
5,PAYMENT,6784.39,C997657863,21226.0,14441.61,M1655750533,0.0,0.0
5,CASH_OUT,195542.41,C533392019,14441.61,0.0,C1360767589,1741724.79,1937267.2
5,PAYMENT,2634.1,C1822159797,11678.0,9043.9,M1862784020,0.0,0.0
5,PAYMENT,550.7,C145494758,5711.0,5160.3,M1090191122,0.0,0.0
5,PAYMENT,7930.66,C1934605027,975.0,0.0,M574187498,0.0,0.0
5,PAYMENT,6608.18,C1248488041,73482.0,66873.82,M1568611929,0.0,0.0
5,PAYMENT,6292.42,C1407795127,66873.82,60581.4,M981865495,0.0,0.0
5,PAYMENT,5542.54,C589699084,11280.0,5737.46,M109987815,0.0,0.0
5,PAYMENT,3365.83,C469816326,9040.0,5674.17,M380390717,0.0,0.0
5,PAYMENT,851.94,C89772444,28751.0,27899.06,M1906057135,0.0,0.0
5,PAYMENT,3765.86,C1806062974,82083.0,78317.14,M521611410,0.0,0.0
5,TRANSFER,120074.73,C1409933277,120074.73,0.0,C162114152,0.0,0.0
5,CASH_OUT,120074.73,C1174000532,120074.73,0.0,C410033330,0.0,120074.73
5,PAYMENT,3728.76,C472736752,1873.0,0.0,M978881375,0.0,0.0
5,CASH_OUT,89888.52,C548752638,0.0,0.0,C97730845,1.294658344E7,1.413398262E7
5,TRANSFER,30608.52,C735796751,659400.0,628791.48,C885951223,137893.88,11201.36
5,PAYMENT,489.56,C1553893991,192.0,0.0,M576909528,0.0,0.0
5,PAYMENT,10814.39,C674925270,0.0,0.0,M1507885816,0.0,0.0
5,DEBIT,1251.24,C1904600593,209439.0,208187.76,C859193874,18182.93,19434.17
5,DEBIT,68.95,C1154759881,4720.0,4651.05,C24119573,49476.7,49545.65
5,PAYMENT,28965.75,C944009919,4651.05,0.0,M1701756941,0.0,0.0
5,PAYMENT,2273.88,C998574047,10946.0,8672.12,M1590842898,0.0,0.0
5,PAYMENT,4289.33,C1159206653,83003.0,78713.67,M1457899771,0.0,0.0
5,PAYMENT,3710.8,C1171097095,71978.0,68267.2,M165886570,0.0,0.0
5,PAYMENT,5513.44,C206142037,4128.0,0.0,M1955846455,0.0,0.0
5,PAYMENT,6225.18,C1573356572,34194.0,27968.82,M1298650532,0.0,0.0
5,PAYMENT,5352.45,C171672975,8174.0,2821.55,M1611382686,0.0,0.0
5,PAYMENT,3543.75,C26030311,6058.0,2514.25,M1924403079,0.0,0.0
5,PAYMENT,52.58,C611711907,3178.0,3125.42,M431966204,0.0,0.0
5,PAYMENT,2070.73,C1910326820,12524.0,10453.27,M591902639,0.0,0.0
5,PAYMENT,247.56,C677705863,105861.0,105613.44,M1258801872,0.0,0.0
5,PAYMENT,9201.12,C1349536242,198647.0,189445.88,M1318348444,0.0,0.0
5,PAYMENT,11936.0,C1102782217,189445.88,177509.88,M882838692,0.0,0.0
5,PAYMENT,5146.88,C1727196188,106.0,0.0,M188729048,0.0,0.0
5,PAYMENT,7429.59,C317051873,47657.0,40227.41,M1590892341,0.0,0.0
5,PAYMENT,10260.12,C800097023,21594.0,11333.88,M1514969303,0.0,0.0
5,PAYMENT,2728.03,C1720332964,27315.0,24586.97,M539425791,0.0,0.0
5,CASH_OUT,72688.93,C195699326,24586.97,0.0,C456172878,103175.0,172958.83
5,DEBIT,3068.71,C891193852,10082.0,7013.29,C875761527,3626.46,6695.18
5,PAYMENT,17770.7,C45515497,7013.29,0.0,M358115395,0.0,0.0
5,PAYMENT,5851.45,C1337659716,6023.0,171.55,M237711398,0.0,0.0
5,PAYMENT,11446.18,C951868096,36560.0,25113.82,M1861236708,0.0,0.0
5,PAYMENT,88.17,C2044082767,1067.0,978.83,M774610771,0.0,0.0
5,CASH_OUT,74375.02,C1956358668,978.83,0.0,C766681183,1.031569028E7,1.236281681E7
5,PAYMENT,1661.29,C456911980,30268.0,28606.71,M1408739590,0.0,0.0
5,PAYMENT,25185.32,C559179052,28606.71,3421.39,M146174144,0.0,0.0
5,PAYMENT,4255.36,C1277867318,7627.0,3371.64,M586914348,0.0,0.0
5,CASH_OUT,139705.19,C545580634,3371.64,0.0,C1816757085,8975709.58,8743280.64
5,PAYMENT,7651.8,C462398202,216.0,0.0,M34940856,0.0,0.0
5,PAYMENT,267.92,C2093086508,14507.0,14239.08,M2070964440,0.0,0.0
5,CASH_OUT,164935.63,C495885630,14239.08,0.0,C2118255842,259015.25,166742.65
5,CASH_OUT,247480.23,C906838480,0.0,0.0,C1750563752,252667.53,298682.8
5,PAYMENT,4927.23,C1166452906,41669.0,36741.77,M1036529258,0.0,0.0
5,PAYMENT,3864.48,C1413886848,21574.0,17709.52,M135920409,0.0,0.0
5,PAYMENT,6579.48,C2016067912,25214.0,18634.52,M74259289,0.0,0.0
5,TRANSFER,84466.1,C1641214567,25724.0,0.0,C769507769,0.0,73595.15
5,PAYMENT,2927.68,C651431031,10908.0,7980.32,M140163428,0.0,0.0
5,PAYMENT,6484.32,C1686232293,94294.0,87809.68,M305552344,0.0,0.0
5,CASH_OUT,128823.03,C344410717,29292.0,0.0,C1382717704,0.0,133220.41
5,PAYMENT,836.64,C1238061104,162104.0,161267.36,M600296216,0.0,0.0
5,CASH_IN,348231.98,C51362851,5102.0,353333.98,C998351292,122805.91,0.0
5,PAYMENT,1158.71,C762629053,107891.12,106732.41,M1043154163,0.0,0.0
5,CASH_IN,746177.2,C598722341,106732.41,852909.6,C728526866,6671931.33,5154700.22
5,CASH_IN,225812.6,C1564449239,852909.6,1078722.2,C1339858954,381816.17,156003.57
5,CASH_IN,171335.97,C1444776174,1078722.2,1250058.17,C1446521801,5692737.46,4670978.14
5,CASH_IN,260004.65,C46351362,1250058.17,1510062.82,C306206744,7801173.17,7129559.36
5,CASH_IN,122539.12,C1602764176,1510062.82,1632601.94,C598551831,180809.0,46515.29
5,CASH_IN,217846.27,C2119759511,1632601.94,1850448.2,C1281580764,501641.71,262374.4
5,CASH_IN,596406.73,C1144539978,1850448.2,2446854.94,C977993101,1615874.57,962737.6
5,CASH_IN,673111.47,C1556341915,2446854.94,3119966.4,C1721246982,1628181.42,876481.82
5,CASH_IN,298431.03,C1111041582,3119966.4,3418397.43,C1446521801,5521401.49,4670978.14
5,CASH_IN,39058.08,C2079100080,3418397.43,3457455.51,C2012808675,105279.81,66221.72
5,CASH_IN,106334.08,C2106129052,3457455.51,3563789.59,C1774531247,145599.15,39265.07
5,CASH_IN,354741.15,C1051471498,3563789.59,3918530.75,C2134357721,405361.32,50620.17
5,CASH_IN,223115.02,C892299047,3918530.75,4141645.77,C481402298,742165.13,217562.01
5,CASH_IN,63737.25,C716825662,4141645.77,4205383.02,C905650857,173516.34,109779.08
5,CASH_IN,84014.41,C283092975,4205383.02,4289397.43,C1590550415,1.826342657E7,1.642055626E7
5,CASH_IN,178040.87,C1339556608,4289397.43,4467438.3,C667346055,1.067090724E7,9827546.97
5,CASH_IN,334503.92,C25187203,4467438.3,4801942.23,C667346055,1.049286637E7,9827546.97
5,CASH_IN,75978.27,C1694355353,4801942.23,4877920.49,C1261031890,98446.83,22468.56
5,CASH_IN,396286.33,C166788150,4877920.49,5274206.82,C909295153,7490080.0,6661385.87
5,CASH_IN,82914.35,C104803851,5274206.82,5357121.18,C766681183,1.03900653E7,1.236281681E7
5,CASH_IN,83707.76,C94398724,5357121.18,5440828.93,C1891031939,166613.07,82905.31
5,CASH_IN,17431.43,C262926126,5440828.93,5458260.36,C248609774,6736054.44,6393139.71
5,CASH_IN,76579.67,C28615585,5458260.36,5534840.03,C1587143371,531883.0,181733.94
5,CASH_IN,197165.91,C2122615530,5534840.03,5732005.94,C306206744,7541168.52,7129559.36
5,CASH_IN,5159.29,C2020226167,5732005.94,5737165.23,C1670479841,21885.0,0.0
5,CASH_IN,40210.51,C677930699,5737165.23,5777375.74,C1146719991,51337.45,11126.94
5,CASH_IN,158367.85,C216359372,5777375.74,5935743.59,C33524623,448276.17,289908.33
5,CASH_IN,81886.69,C1458334048,5935743.59,6017630.28,C1259769769,109421.19,27534.5
5,CASH_IN,176095.63,C2139895366,6017630.28,6193725.92,C1234776885,1623962.37,944225.12
5,CASH_IN,258127.75,C347691330,6193725.92,6451853.66,C1303868418,5515949.57,4313939.72
5,CASH_IN,378866.85,C863351064,6451853.66,6830720.52,C1303868418,5257821.82,4313939.72
5,CASH_IN,281300.4,C107444607,6830720.52,7112020.91,C1590550415,1.817941216E7,1.642055626E7
5,CASH_IN,16427.61,C407327219,7112020.91,7128448.52,C1917025677,78422.43,61994.82
5,CASH_IN,157301.05,C1189771504,7128448.52,7285749.57,C885951223,168502.4,11201.36
5,CASH_IN,644028.87,C1485438020,7285749.57,7929778.44,C1446521801,5222970.47,4670978.14
5,CASH_IN,375306.09,C1704512171,7929778.44,8305084.52,C1674899618,6894729.18,6161537.75
5,CASH_IN,44538.32,C1207093026,8305084.52,8349622.85,C542895457,93380.65,48842.33
5,CASH_IN,119336.24,C1388972756,8349622.85,8468959.09,C832279283,148278.19,28941.95
5,CASH_IN,255710.36,C1161209621,8468959.09,8724669.46,C1590550415,1.789811176E7,1.642055626E7
5,CASH_IN,94588.1,C1717104778,8724669.46,8819257.56,C1397088232,152984.0,0.0
5,CASH_IN,231917.45,C935522484,8819257.56,9051175.0,C1816757085,9115414.77,8743280.64
5,CASH_IN,84189.52,C903663666,9051175.0,9135364.53,C1653859230,88475.76,4286.23
5,CASH_IN,49251.21,C1159911315,9135364.53,9184615.73,C459857341,105680.92,56429.71
5,CASH_IN,257208.23,C1692381981,9184615.73,9441823.96,C2118255842,423950.88,166742.65
5,CASH_IN,20337.14,C1144567906,9441823.96,9462161.1,C1761291320,193361.51,173024.37
5,CASH_IN,74948.39,C397847959,9462161.1,9537109.49,C214774813,1.338124246E7,1.302509792E7
5,CASH_IN,243756.18,C1157328573,9537109.49,9780865.67,C1303868418,4878954.97,4313939.72
5,CASH_IN,21391.13,C1571125860,9780865.67,9802256.8,C985934102,1796138.08,1589065.96
5,CASH_IN,31416.69,C1558127130,9802256.8,9833673.49,C932583850,6963508.84,6932092.15
5,CASH_IN,123951.78,C2116548099,9833673.49,9957625.27,C1794893473,141505.0,3416.33
5,CASH_IN,67056.65,C1630986748,9957625.27,1.002468191E7,C1926673338,271710.52,204653.87
5,CASH_IN,20410.45,C389464548,1.002468191E7,1.004509237E7,C283747838,20608.0,0.0
5,CASH_IN,29351.64,C853343978,1.004509237E7,1.007444401E7,C187649742,99535.4,19647.88
5,CASH_IN,58431.85,C1938456924,1.007444401E7,1.013287585E7,C451111351,3842816.0,3678302.15
5,CASH_IN,182501.56,C627419088,1.013287585E7,1.031537742E7,C1076835071,245514.21,63012.65
5,CASH_IN,17101.74,C83721081,1.031537742E7,1.033247916E7,C1997859171,84261.95,60314.73
5,CASH_IN,24248.86,C1359212194,1.033247916E7,1.035672802E7,C2083562754,2748383.99,2808555.73
5,CASH_IN,585796.59,C1982072255,1.035672802E7,1.094252461E7,C728526866,5925754.14,5154700.22
5,CASH_IN,12163.38,C2121754508,1.094252461E7,1.095468799E7,C667346055,1.015836245E7,9827546.97
5,CASH_IN,208834.32,C289336712,1.095468799E7,1.116352231E7,C662736689,4775319.66,4429394.13
5,CASH_IN,360262.92,C1594259443,1.116352231E7,1.152378523E7,C1590550415,1.76424014E7,1.642055626E7
5,CASH_IN,129630.74,C165255249,1.152378523E7,1.165341597E7,C1850042097,336737.08,84362.06
5,CASH_IN,130078.54,C1289213409,1.165341597E7,1.178349452E7,C667346055,1.014619906E7,9827546.97
5,CASH_IN,125558.59,C719528798,1.178349452E7,1.19090531E7,C644345897,1063443.49,652290.45
5,CASH_IN,357885.34,C1186361374,1.19090531E7,1.226693844E7,C1674899618,6519423.1,6161537.75
5,CASH_IN,281196.15,C57172873,1.226693844E7,1.25481346E7,C214774813,1.330629408E7,1.302509792E7
5,CASH_IN,59784.87,C1910687448,1.25481346E7,1.260791947E7,C71364493,107613.0,23122.31
5,CASH_IN,181240.21,C1109979753,1.260791947E7,1.278915968E7,C657736958,5384343.15,5203102.94
5,CASH_IN,140216.68,C929782962,1.278915968E7,1.292937635E7,C1816757085,8883497.32,8743280.64
5,CASH_IN,81126.42,C2002720253,1.292937635E7,1.301050278E7,C434091818,108733.31,27606.88
5,PAYMENT,718.51,C275569096,1283.0,564.49,M357751318,0.0,0.0
5,CASH_IN,861582.21,C2016512706,564.49,862146.7,C1590550415,1.728213847E7,1.642055626E7
5,CASH_IN,185257.33,C2010024132,862146.7,1047404.03,C728526866,5339957.55,5154700.22
5,CASH_IN,250891.95,C18529644,1047404.03,1298295.98,C1167066016,955637.72,455191.58
5,CASH_IN,119072.9,C43734323,1298295.98,1417368.88,C716083600,1487676.44,1423811.37
5,CASH_IN,101055.18,C1980278840,1417368.88,1518424.06,C392292416,4397452.99,4296397.8
5,CASH_IN,128336.28,C1971558037,1518424.06,1646760.35,C539058198,147338.0,19001.72
5,CASH_IN,71887.0,C564569236,1646760.35,1718647.34,C660143728,103167.33,160577.57
5,CASH_IN,366645.12,C2035048286,1718647.34,2085292.46,C1870252780,6800716.51,6434071.39
5,CASH_IN,281593.55,C1253466407,2085292.46,2366886.01,C1789550256,2772312.14,2490718.59
5,CASH_IN,145475.51,C594043354,2366886.01,2512361.52,C634440506,263109.52,117634.01
5,CASH_IN,380950.81,C939455271,2512361.52,2893312.33,C1303868418,4635198.78,4313939.72
5,CASH_IN,566903.96,C752090153,2893312.33,3460216.29,C1782113663,1473468.42,906564.46
5,CASH_IN,201464.96,C1435836365,3460216.29,3661681.26,C1750563752,500147.76,298682.8
5,CASH_IN,16593.82,C890491412,3661681.26,3678275.07,C1526298704,32092.07,15498.25
5,CASH_IN,78588.13,C1966372954,3678275.07,3756863.21,C1721246982,955069.95,876481.82
5,CASH_IN,185680.98,C1186328673,3756863.21,3942544.19,C985934102,1774746.94,1589065.96
5,CASH_IN,67017.13,C1000600589,3942544.19,4009561.32,C1163619825,118844.67,51827.53
5,CASH_IN,122744.28,C277549599,4009561.32,4132305.6,C1850042097,207106.34,84362.06
5,CASH_IN,414729.24,C1185631996,4132305.6,4547034.84,C991505714,2109808.94,1695079.69
5,CASH_IN,328776.1,C804559024,4547034.84,4875810.94,C977993101,1019467.84,962737.6
5,CASH_IN,50535.87,C189993695,4875810.94,4926346.82,C187649742,70183.75,19647.88
5,CASH_IN,10870.95,C1124131392,4926346.82,4937217.76,C769507769,84466.1,73595.15
5,CASH_IN,44694.86,C1598068850,4937217.76,4981912.63,C1459035867,58638.78,13943.92
5,CASH_IN,208812.28,C1417325106,4981912.63,5190724.91,C801142660,1482025.15,1273212.87
5,CASH_IN,146193.7,C1194106760,5190724.91,5336918.6,C146305349,344441.76,198248.07
5,CASH_IN,201261.11,C58353615,5336918.6,5538179.71,C564160838,217964.09,16702.98
5,CASH_IN,132745.75,C1478683866,5538179.71,5670925.46,C1234776885,1447866.74,944225.12
5,CASH_IN,102749.59,C1493755606,5670925.46,5773675.05,C709091500,265635.7,162886.11
5,CASH_IN,425052.43,C2063332000,5773675.05,6198727.47,C1286084959,2648013.13,2222960.7
5,CASH_IN,133038.81,C711964207,6198727.47,6331766.28,C909295153,7093793.67,6661385.87
5,CASH_IN,44347.45,C1709493124,6331766.28,6376113.74,C476179877,123755.39,79407.93
5,CASH_IN,542616.63,C2068103096,6376113.74,6918730.36,C1262822392,1.213841045E7,1.351126476E7
5,CASH_IN,178230.41,C1578052738,6918730.36,7096960.77,C662736689,4566485.34,4429394.13
5,CASH_IN,138641.99,C159791010,7096960.77,7235602.76,C1680630881,159603.0,11865.12
5,CASH_IN,61663.75,C1258120701,7235602.76,7297266.51,C1883840933,1.725859084E7,1.686074738E7
5,PAYMENT,5922.53,C337295973,21103.0,15180.47,M861339480,0.0,0.0
5,PAYMENT,3046.6,C190182839,11626.0,8579.4,M715570093,0.0,0.0
5,PAYMENT,4158.31,C1798239502,8579.4,4421.09,M1871084300,0.0,0.0
5,PAYMENT,4372.99,C1264243462,42146.0,37773.01,M1421763091,0.0,0.0
5,PAYMENT,6448.84,C1218734863,52102.3,45653.46,M338048780,0.0,0.0
5,PAYMENT,72.23,C167318637,45653.46,45581.23,M787497403,0.0,0.0
