step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
92,TRANSFER,1461930.03,C593029629,1461930.03,0.0,C1743578484,0.0,0.0
92,CASH_OUT,1461930.03,C1928781788,1461930.03,0.0,C1636281428,3762496.73,5224426.76
92,TRANSFER,271908.4,C1340312777,271908.4,0.0,C863062485,0.0,0.0
92,CASH_OUT,271908.4,C71055143,271908.4,0.0,C1732817669,1488088.26,1759996.66
92,TRANSFER,101903.69,C1615802716,101903.69,0.0,C1977391812,0.0,0.0
92,CASH_OUT,101903.69,C612571830,101903.69,0.0,C544677509,280117.63,382021.32
92,TRANSFER,21574.55,C2002083627,21574.55,0.0,C1024161943,0.0,0.0
92,CASH_OUT,21574.55,C313908201,21574.55,0.0,C1295977505,0.0,21574.55
92,TRANSFER,19742.71,C199871794,19742.71,0.0,C1396988344,0.0,0.0
92,CASH_OUT,19742.71,C931340371,19742.71,0.0,C781083195,2098671.68,2118414.39
