step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
96,PAYMENT,645.55,C1131415341,51437.0,50791.45,M2022928047,0.0,0.0
96,PAYMENT,7201.36,C848174632,50791.45,43590.09,M1260618910,0.0,0.0
96,PAYMENT,2125.71,C136948664,18052.0,15926.29,M1798068740,0.0,0.0
96,TRANSFER,44144.55,C689006103,79219.0,35074.45,C1639462749,3456718.75,3500863.3
96,PAYMENT,5645.76,C2118189279,35074.45,29428.69,M997195972,0.0,0.0
96,PAYMENT,768.21,C839225812,2886.0,2117.79,M268855389,0.0,0.0
96,CASH_OUT,106934.62,C1723323770,11422.0,0.0,C1864980133,0.0,106934.62
96,PAYMENT,362.66,C1576705864,30200.0,29837.34,M1131363858,0.0,0.0
96,PAYMENT,3159.89,C1611195042,1511.0,0.0,M944564188,0.0,0.0
96,PAYMENT,3031.35,C826617666,12674.0,9642.65,M190843094,0.0,0.0
96,PAYMENT,868.57,C752543466,20544.0,19675.43,M1937213098,0.0,0.0
96,PAYMENT,4757.65,C1808828601,7120.0,2362.35,M1627196333,0.0,0.0
96,PAYMENT,3074.62,C460016878,15947.0,12872.38,M1424411647,0.0,0.0
96,PAYMENT,7152.44,C991696026,11378.0,4225.56,M867487799,0.0,0.0
96,PAYMENT,3014.06,C1920591507,120471.0,117456.94,M279081488,0.0,0.0
96,PAYMENT,1361.85,C1270946906,114809.0,113447.15,M1583433853,0.0,0.0
96,PAYMENT,5160.18,C1662083164,11515.0,6354.82,M1621146844,0.0,0.0
96,PAYMENT,3105.53,C599809886,796.0,0.0,M2000083451,0.0,0.0
96,PAYMENT,4192.63,C525161665,21047.0,16854.37,M2054053288,0.0,0.0
96,TRANSFER,388136.36,C1534449428,16854.37,0.0,C137328414,599217.0,987353.36
96,PAYMENT,7884.87,C449655936,5550.0,0.0,M1876136004,0.0,0.0
96,PAYMENT,10649.59,C1742209803,0.0,0.0,M308323731,0.0,0.0
96,PAYMENT,30217.84,C1643833963,0.0,0.0,M307759008,0.0,0.0
96,PAYMENT,17561.38,C901746363,0.0,0.0,M577038754,0.0,0.0
96,PAYMENT,6479.87,C343668279,0.0,0.0,M1179420191,0.0,0.0
96,PAYMENT,4837.57,C265224763,0.0,0.0,M182698905,0.0,0.0
96,PAYMENT,2948.02,C1096963772,0.0,0.0,M1673284849,0.0,0.0
96,PAYMENT,7165.76,C345326695,0.0,0.0,M16687719,0.0,0.0
96,PAYMENT,6005.28,C1408942962,0.0,0.0,M1386268216,0.0,0.0
96,PAYMENT,45343.57,C1814562423,0.0,0.0,M422607887,0.0,0.0
96,PAYMENT,31617.11,C483712264,0.0,0.0,M1209096620,0.0,0.0
96,PAYMENT,24179.29,C1680270695,0.0,0.0,M2129407464,0.0,0.0
96,PAYMENT,7137.89,C1156223904,0.0,0.0,M108293800,0.0,0.0
96,PAYMENT,144.03,C1437249244,0.0,0.0,M1253460716,0.0,0.0
96,PAYMENT,3795.28,C1515304841,0.0,0.0,M2138411845,0.0,0.0
96,PAYMENT,11867.73,C2141785657,0.0,0.0,M120637962,0.0,0.0
96,PAYMENT,9323.25,C1342888090,0.0,0.0,M53909093,0.0,0.0
96,PAYMENT,7287.73,C886671612,0.0,0.0,M892892407,0.0,0.0
96,PAYMENT,3771.76,C863020226,54089.0,50317.24,M71473527,0.0,0.0
96,CASH_OUT,6824.68,C2082766699,50317.24,43492.56,C563115202,535421.48,542246.16
96,CASH_OUT,89783.23,C181216212,43492.56,0.0,C394162275,179870.72,269653.94
96,PAYMENT,2098.79,C1009631483,6074.0,3975.21,M741637928,0.0,0.0
