step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
20,PAYMENT,2744.1,C1742160031,57852.0,55107.9,M763594498,0.0,0.0
20,CASH_IN,65628.06,C210880472,26419.0,92047.06,C1762565236,0.0,0.0
20,CASH_OUT,210628.92,C1849967641,92047.06,0.0,C1504420803,2585182.3,3329422.67
20,CASH_OUT,19827.22,C860496630,0.0,0.0,C1148448357,288146.58,443808.8
20,CASH_OUT,302977.91,C37754890,0.0,0.0,C1749232081,3015082.95,4525279.06
20,CASH_OUT,48364.86,C15577245,0.0,0.0,C1749389228,189879.85,454277.69
20,CASH_OUT,17551.14,C1288001557,0.0,0.0,C1873189623,1871744.64,1889295.79
20,CASH_OUT,282576.98,C779788009,0.0,0.0,C575853652,1.054561936E7,1.082819634E7
20,CASH_OUT,119327.01,C754467684,0.0,0.0,C1314041882,148687.88,473011.25
20,CASH_OUT,270105.99,C1107060542,0.0,0.0,C801984124,533733.26,803839.25
20,CASH_OUT,132186.84,C664767204,0.0,0.0,C1918807050,2039718.98,2171905.82
20,CASH_OUT,55622.91,C1567147304,0.0,0.0,C1700992909,314188.88,369811.79
20,PAYMENT,5627.27,C870669954,712.0,0.0,M285350487,0.0,0.0
20,CASH_OUT,159627.74,C1251043897,0.0,0.0,C1749039853,224568.49,150732.12
20,CASH_OUT,231664.64,C1363916742,69548.0,0.0,C1197187659,0.0,231664.64
20,CASH_OUT,111441.16,C1220796963,1026.0,0.0,C641397376,0.0,111441.16
20,CASH_IN,238014.4,C1234340302,57091.0,295105.4,C1757235933,99272.42,0.0
20,CASH_OUT,95768.51,C135520871,295105.4,199336.88,C629896069,1545670.87,1641439.39
20,CASH_OUT,194824.87,C82481444,199336.88,4512.02,C1106003753,1730872.08,1925696.95
20,CASH_OUT,92427.74,C1408219488,968.0,0.0,C1332565049,0.0,92427.74
20,CASH_OUT,2965.43,C250512938,14425.0,11459.57,C1859020669,3970.0,0.0
20,CASH_IN,111270.2,C427384138,24251.21,135521.41,C2008394397,0.0,0.0
20,PAYMENT,7116.11,C1229626608,135521.41,128405.3,M1740642304,0.0,0.0
20,CASH_OUT,266176.09,C493165828,147868.0,0.0,C1778062511,0.0,266176.09
20,CASH_OUT,41109.58,C1319469295,232801.0,191691.42,C334841833,1059229.09,1100338.67
20,PAYMENT,23122.26,C1402288343,21087.0,0.0,M888289981,0.0,0.0
20,CASH_IN,49711.01,C21666842,25723.0,75434.01,C824019285,4506060.84,4456349.83
20,PAYMENT,7023.88,C1670043172,75434.01,68410.13,M430119170,0.0,0.0
20,PAYMENT,4198.81,C1017249625,62316.0,58117.19,M1776160411,0.0,0.0
20,PAYMENT,12692.81,C1548799602,525904.72,513211.91,M1572517875,0.0,0.0
20,PAYMENT,4422.87,C1850921002,513211.91,508789.05,M2002891181,0.0,0.0
20,PAYMENT,28040.27,C756597357,438396.28,410356.02,M630582546,0.0,0.0
20,CASH_OUT,138485.73,C1564387850,410356.02,271870.28,C574439165,1538085.44,1910215.44
20,CASH_OUT,173388.59,C665355481,271870.28,98481.7,C1599009738,7984184.76,8157573.35
20,CASH_OUT,2621.96,C1279799787,98481.7,95859.74,C1381853161,1948733.91,1951355.86
20,CASH_OUT,121061.17,C1186969613,95859.74,0.0,C1061034243,3201415.74,3188428.51
20,CASH_OUT,169229.85,C1861821482,0.0,0.0,C2068271890,174720.33,343950.19
20,CASH_OUT,102666.55,C227863392,0.0,0.0,C896861713,1821322.03,1923349.59
20,CASH_OUT,216142.92,C6181968,0.0,0.0,C927977902,444965.55,686939.93
20,CASH_OUT,315626.96,C1000008582,0.0,0.0,C1462566442,1005922.02,1321548.98
20,CASH_OUT,248707.49,C484786347,0.0,0.0,C526035976,3733434.54,3818798.13
20,CASH_OUT,160337.59,C906000316,0.0,0.0,C1694080924,2570815.55,3401413.5
20,CASH_OUT,251680.02,C1150175736,0.0,0.0,C400640881,747997.39,999677.4
20,CASH_OUT,82260.6,C681856052,0.0,0.0,C1939860831,175325.37,363838.05
20,CASH_OUT,48659.7,C519221651,0.0,0.0,C1745021524,100941.2,149600.9
20,CASH_OUT,238159.06,C737839206,0.0,0.0,C1226227730,2315444.63,2553603.7
20,CASH_OUT,80685.55,C495830376,0.0,0.0,C263052114,137759.06,218444.62
20,CASH_OUT,112001.68,C390266625,0.0,0.0,C924776233,591767.83,703769.51
