step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
9,TRANSFER,807403.86,C1885327608,5087.0,0.0,C769507769,12049.14,486591.18
9,TRANSFER,2094070.92,C73832883,4574.0,0.0,C243194708,0.0,2470538.39
9,PAYMENT,14895.07,C1995774121,1894.0,0.0,M232773553,0.0,0.0
9,CASH_OUT,232131.32,C50929378,0.0,0.0,C1549086472,1045543.65,1941140.63
9,CASH_OUT,111687.21,C856863793,41523.0,0.0,C1564588329,0.0,133674.84
9,PAYMENT,5809.85,C1845281450,11301.0,5491.15,M510522107,0.0,0.0
9,TRANSFER,924463.55,C1440223706,61443.54,0.0,C2038994826,771935.59,1352078.42
9,PAYMENT,19056.54,C1934460012,0.0,0.0,M2016403773,0.0,0.0
9,CASH_OUT,9917.26,C153370345,13687.0,3769.74,C305646302,0.0,0.0
9,TRANSFER,1029896.67,C476559574,116140.0,0.0,C1258643950,10304.0,1040200.67
9,CASH_OUT,175296.4,C60170706,4877.0,0.0,C157113649,0.0,339744.94
9,CASH_OUT,380907.49,C79105684,162.0,0.0,C1448147359,3495.0,98126.25
9,CASH_IN,121253.07,C751610781,0.0,121253.07,C312537393,5048862.6,5221274.92
9,CASH_IN,43429.18,C231479258,121253.07,164682.25,C381350369,52010.0,452025.36
9,CASH_IN,386855.62,C1072054016,164682.25,551537.87,C769507769,819453.0,486591.18
9,CASH_IN,36679.92,C60376518,551537.87,588217.79,C875761527,1238942.28,1092384.0
9,CASH_IN,78744.32,C1254135403,588217.79,666962.11,C2052185144,860127.32,706435.71
9,CASH_IN,171441.1,C668940846,666962.11,838403.21,C1058634310,2971750.65,2800309.54
9,CASH_IN,182902.9,C693047274,838403.21,1021306.11,C1347476631,196854.0,13506.52
9,CASH_IN,371976.86,C1613875312,1021306.11,1393282.97,C1554540309,9478197.06,9243879.92
9,CASH_IN,159801.6,C780954067,1393282.97,1553084.57,C304406966,1328381.45,1328608.04
9,CASH_IN,22254.12,C1893476454,1553084.57,1575338.69,C1353907767,49564.0,570143.11
9,CASH_IN,68903.12,C566053320,1575338.69,1644241.81,C1249000159,549159.08,244094.28
9,CASH_IN,27265.22,C1335982023,1644241.81,1671507.03,C540610664,118873.0,1525107.32
9,CASH_IN,15726.18,C36588817,1671507.03,1687233.2,C1768641212,4328282.38,4312556.2
9,CASH_IN,189626.78,C320916010,1687233.2,1876859.98,C765206415,249679.0,0.0
9,CASH_IN,230032.32,C1477976719,1876859.98,2106892.3,C1379289710,1820155.85,1888584.7
9,CASH_IN,429631.78,C474183940,2106892.3,2536524.08,C1482979717,2581338.81,2054023.16
9,CASH_IN,127979.61,C1819670872,2536524.08,2664503.69,C701855966,502892.15,427431.39
9,CASH_IN,21202.62,C2039553894,2664503.69,2685706.32,C36553668,145996.88,76667.6
9,CASH_IN,28298.59,C1610897025,2685706.32,2714004.91,C619716246,80285.0,103922.89
9,CASH_IN,547695.62,C1737001180,2714004.91,3261700.52,C1305075214,860331.45,312635.83
9,CASH_IN,123214.26,C619971148,3261700.52,3384914.79,C1141137903,1.415746795E7,1.720274609E7
9,CASH_IN,67127.12,C1441747867,3384914.79,3452041.91,C1554622120,3786614.82,3797114.94
9,CASH_IN,48875.29,C387819513,3452041.91,3500917.2,C2051343924,51563.0,0.0
9,CASH_IN,6841.74,C888148910,3500917.2,3507758.94,C1144968432,52904.0,57199.89
9,CASH_IN,258074.65,C806519070,3507758.94,3765833.59,C2067466390,2035082.94,3195253.76
9,CASH_IN,149323.27,C533622540,3765833.59,3915156.87,C207471579,610300.47,565986.81
9,PAYMENT,32013.56,C1704337763,201983.0,169969.44,M1372529436,0.0,0.0
9,PAYMENT,17517.4,C1978745418,71204.0,53686.6,M422311415,0.0,0.0
9,PAYMENT,21285.68,C1298289288,851075.0,829789.33,M1704812539,0.0,0.0
9,PAYMENT,2628.97,C444707344,829789.33,827160.35,M1547925754,0.0,0.0
9,CASH_IN,30139.42,C57317352,297.0,30436.42,C181168745,0.0,0.0
9,PAYMENT,8454.04,C201810681,42635.63,34181.59,M453070939,0.0,0.0
9,PAYMENT,19398.24,C1556246377,34181.59,14783.35,M197162702,0.0,0.0
9,TRANSFER,2694220.17,C1013435877,164389.0,0.0,C1109959414,3059.74,3222265.29
9,PAYMENT,22945.75,C762696122,111824.0,88878.25,M1644382810,0.0,0.0
9,CASH_OUT,138884.66,C1786586834,1195.0,0.0,C1789550256,4979930.33,7486134.54
9,TRANSFER,1706979.35,C1761072797,0.0,0.0,C1802632685,2262387.36,5367945.86
9,PAYMENT,7029.31,C1804345912,45.0,0.0,M321254537,0.0,0.0
9,TRANSFER,1320656.25,C275581833,610.0,0.0,C1984192708,0.0,1577594.52
9,PAYMENT,345.24,C1190687783,0.0,0.0,M1290736418,0.0,0.0
9,CASH_IN,277754.86,C1884432266,116001.0,393755.86,C802113875,9104.0,0.0
9,CASH_OUT,142154.24,C136010570,393755.86,251601.62,C1059781259,1.361524974E7,1.440072809E7
9,PAYMENT,19973.77,C222777122,106077.0,86103.23,M956644267,0.0,0.0
9,PAYMENT,10382.91,C1485448566,812.0,0.0,M177861670,0.0,0.0
9,PAYMENT,14815.47,C1032885256,0.0,0.0,M760752242,0.0,0.0
9,TRANSFER,1828682.26,C611326266,35223.0,0.0,C643658493,519943.76,2960418.56
9,CASH_OUT,146765.9,C1636692310,11.0,0.0,C910119139,333300.12,480066.02
9,CASH_OUT,275989.82,C1476663739,11044.0,0.0,C746359178,1793011.1,2444599.06
9,PAYMENT,8317.44,C888381809,59426.0,51108.56,M275699484,0.0,0.0
9,PAYMENT,5914.18,C510104326,4922.0,0.0,M1716951216,0.0,0.0
9,PAYMENT,39260.21,C1325880610,11283.0,0.0,M699907561,0.0,0.0
9,CASH_OUT,360695.73,C191554682,602.0,0.0,C1467740330,3058399.05,3706442.17
9,PAYMENT,9390.98,C1504407231,37812.0,28421.02,M745574125,0.0,0.0
9,CASH_OUT,203927.0,C951854719,219386.23,15459.23,C639695157,46803.29,571124.89
9,PAYMENT,4712.54,C1688816678,15459.23,10746.7,M1718950042,0.0,0.0
9,PAYMENT,1934.53,C1322968415,202731.0,200796.47,M386710821,0.0,0.0
9,CASH_IN,180658.13,C963251102,65826.0,246484.13,C900505277,0.0,0.0
9,CASH_OUT,77074.15,C2006279649,82723.0,5648.85,C285990786,21255.0,0.0
9,PAYMENT,34220.19,C1862047313,5648.85,0.0,M476834622,0.0,0.0
9,PAYMENT,1120.6,C1974740438,351270.0,350149.4,M693300460,0.0,0.0
9,CASH_OUT,55738.69,C597076361,8097.0,0.0,C1160387631,20736.0,0.0
9,PAYMENT,15020.49,C1625785566,11480.0,0.0,M875136897,0.0,0.0
